"year","mean_burden","max_burden","min_burden","scenario"
2012,0.243504920278913,0.259544465729847,0.229801803724071,"to-present"
2013,0.246309691256275,0.261721091691859,0.22916816314074,"to-present"
2014,0.210528909447784,0.224605316651554,0.194497086052041,"to-present"
2015,0.163115480434,0.180669622490228,0.138846218338496,"to-present"
2016,0.215152891270897,0.233895453230193,0.194592299913216,"to-present"
2017,0.218179472957601,0.234793080299275,0.196376764936162,"to-present"
2018,0.157560968063351,0.176312525195575,0.135720974050868,"to-present"
2019,0.222555983710733,0.239036771900827,0.197418927534813,"to-present"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"to-present"
2021,0.227655508184763,0.244305002396131,0.203959268368775,"BAU"
2022,0.241146984119866,0.256621929177484,0.219026883783913,"BAU"
2023,0.191891421688234,0.207112052873721,0.1673544123639,"BAU"
2024,0.239261437712827,0.254938218425974,0.210811390970717,"BAU"
2025,0.247854371150713,0.265187977098543,0.217033426117312,"BAU"
2026,0.196967017742532,0.212472761829596,0.175841049867183,"BAU"
2027,0.243838388933498,0.260362480004042,0.215221096027892,"BAU"
2028,0.249888953135518,0.268292661210819,0.222331651773813,"BAU"
2029,0.199869062461708,0.218033137291824,0.180602309385399,"BAU"
2030,0.244216568511528,0.264507733890599,0.213271815934569,"BAU"
2021,0.154226528772989,0.180631264089266,0.128043667214174,"GF"
2022,0.149859960155929,0.175111872972553,0.109920963696039,"GF"
2023,0.156299000484333,0.182984265862902,0.104465435946361,"GF"
2024,0.162404411268433,0.187405387369155,0.120216547770526,"GF"
2025,0.168940407320005,0.192825047174368,0.132922210608588,"GF"
2026,0.172009132508367,0.198947957937153,0.137925869230337,"GF"
2027,0.173781072161388,0.196227788333307,0.143355275302293,"GF"
2028,0.177731922047428,0.198086549685526,0.146191230204064,"GF"
2029,0.18192265087893,0.199086514769157,0.148975001384984,"GF"
2030,0.184946963872331,0.203506412427462,0.155081352384184,"GF"
2021,0.103642945988371,0.137065389200424,0.0729203220429903,"GF with PBO"
2022,0.0832259085736061,0.118914062852738,0.0443272177078558,"GF with PBO"
2023,0.0850207042152079,0.122908557706401,0.0483240445266149,"GF with PBO"
2024,0.089936266223186,0.120547997909263,0.0510196352129827,"GF with PBO"
2025,0.0963337450379091,0.130648604405688,0.0568801948761264,"GF with PBO"
2026,0.105320291058498,0.142419303348683,0.0621647373421935,"GF with PBO"
2027,0.115148404532723,0.159679403139127,0.0624510689394489,"GF with PBO"
2028,0.124418389034429,0.158240796037131,0.0679639131722173,"GF with PBO"
2029,0.130769768402842,0.159982582374571,0.061964052591968,"GF with PBO"
2030,0.138386933232363,0.165771710615477,0.0703752814726088,"GF with PBO"
2021,0.164757698624611,0.187859322162713,0.135700916927249,"GF at 80%"
2022,0.165846068267548,0.19471163710601,0.121804131725649,"GF at 80%"
2023,0.172221678943028,0.199323546559449,0.132475393117027,"GF at 80%"
2024,0.176460844529026,0.194927629116476,0.144869348432001,"GF at 80%"
2025,0.181977057889952,0.206531945747691,0.144913995490426,"GF at 80%"
2026,0.186187092069099,0.208491943191402,0.150103285225343,"GF at 80%"
2027,0.18962832011337,0.208836789932327,0.156828527231641,"GF at 80%"
2028,0.194206190103805,0.215808108538075,0.159359090500403,"GF at 80%"
2029,0.196031540774287,0.217026148702231,0.161610496469119,"GF at 80%"
2030,0.197227148061729,0.212105075282357,0.160776927311213,"GF at 80%"
2021,0.111224346487642,0.145018944464557,0.08235455679569,"GF at 80% with PBO"
2022,0.0949900530363583,0.138955809930478,0.0593913293489007,"GF at 80% with PBO"
2023,0.100059063255648,0.139136690936444,0.0621724596958261,"GF at 80% with PBO"
2024,0.107158366320243,0.141015539574129,0.0657312479114968,"GF at 80% with PBO"
2025,0.116823934561807,0.152006627865658,0.0707803170114491,"GF at 80% with PBO"
2026,0.124255027146702,0.168095937951953,0.0741465395835084,"GF at 80% with PBO"
2027,0.129889827506791,0.167242696411732,0.0745470790535663,"GF at 80% with PBO"
2028,0.139816724407503,0.175356778320469,0.0767346120698483,"GF at 80% with PBO"
2029,0.14594075637033,0.172220625419253,0.0899471870206125,"GF at 80% with PBO"
2030,0.151699760114324,0.180752266064132,0.0999024694751124,"GF at 80% with PBO"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"BAU"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"GF"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"GF with PBO"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"GF at 80%"
2020,0.18228213846889,0.195214170141913,0.165715521682721,"GF at 80% with PBO"
