"year","mean_burden","max_burden","min_burden","scenario"
2012,0.208318214511827,0.2210366745103,0.19190835156362,"to-present"
2013,0.219171673447248,0.229210991057403,0.204811688331595,"to-present"
2014,0.190359189048017,0.19970864892689,0.17453598931676,"to-present"
2015,0.13240419932843,0.150996643433239,0.108875801922946,"to-present"
2016,0.184199193314114,0.194670631609381,0.173360468249033,"to-present"
2017,0.197424013777284,0.206002206665877,0.187475808757174,"to-present"
2018,0.117754191975172,0.13391023202325,0.0970546699540815,"to-present"
2019,0.172960547165786,0.183944524538976,0.15671234388168,"to-present"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"to-present"
2021,0.204954022107533,0.215031675818866,0.197372341057073,"BAU"
2022,0.228776972788628,0.238097322260534,0.21982049219023,"BAU"
2023,0.174834786568353,0.184917195723089,0.163356906535981,"BAU"
2024,0.220948303299255,0.230725075191022,0.210622294340403,"BAU"
2025,0.234469385887527,0.242404814586244,0.224334524920604,"BAU"
2026,0.176353817746104,0.187101796565,0.165272654835157,"BAU"
2027,0.221336235603149,0.226705239541733,0.214388557493193,"BAU"
2028,0.235218983179528,0.241405869879413,0.224923070138985,"BAU"
2029,0.176559466853319,0.189176873145125,0.165218200286501,"BAU"
2030,0.221439918412819,0.229416963263861,0.211271471685659,"BAU"
2021,0.197135248137454,0.206176141204125,0.189106218045967,"GF"
2022,0.212164417074921,0.219291411277408,0.202049511544286,"GF"
2023,0.112085942146378,0.130118881958696,0.0927974305301153,"GF"
2024,0.173721440751618,0.186328383169166,0.16032280320529,"GF"
2025,0.212229487683139,0.222349971117962,0.205045898913513,"GF"
2026,0.119670439280295,0.138751516081205,0.101292451887867,"GF"
2027,0.188133437951441,0.200916138527708,0.17714888607315,"GF"
2028,0.222960553392215,0.234037018124518,0.213960649764103,"GF"
2029,0.124563745175707,0.14202532501589,0.1055643238325,"GF"
2030,0.194755144884447,0.204880259833202,0.182967667995605,"GF"
2021,0.197135248115198,0.206176140873236,0.189106218378756,"GF with PBO"
2022,0.212164417106663,0.219291411544271,0.20204951175826,"GF with PBO"
2023,0.112085942154421,0.130118882066232,0.0927974305326272,"GF with PBO"
2024,0.173721440844256,0.186328383062805,0.16032280282764,"GF with PBO"
2025,0.212229487674801,0.222349971361794,0.205045898788196,"GF with PBO"
2026,0.119670439319591,0.13875151623703,0.101292452294762,"GF with PBO"
2027,0.188133437937851,0.200916138551894,0.177148886251798,"GF with PBO"
2028,0.22296055337915,0.234037017881845,0.213960649785878,"GF with PBO"
2029,0.124563745211612,0.142025324736896,0.105564323964829,"GF with PBO"
2030,0.194755144862844,0.204880259533952,0.182967667831473,"GF with PBO"
2021,0.186355738567396,0.19226087930397,0.178690816772094,"GF at 80%"
2022,0.195710489140108,0.204427139031063,0.184061592264947,"GF at 80%"
2023,0.0945527389298317,0.109000915248748,0.0796706722461465,"GF at 80%"
2024,0.153352514547431,0.170087943662423,0.125697429863174,"GF at 80%"
2025,0.191808273038187,0.202534174991561,0.17046604417468,"GF at 80%"
2026,0.101513173953094,0.115776386138022,0.0854893348689801,"GF at 80%"
2027,0.169667576956711,0.18115775708301,0.148507565155609,"GF at 80%"
2028,0.205282946293245,0.215387495542585,0.190628033526797,"GF at 80%"
2029,0.107970357183131,0.124670889609146,0.0923403171189462,"GF at 80%"
2030,0.179997494890029,0.192817738013752,0.163051229391876,"GF at 80%"
2021,0.186355738567396,0.19226087930397,0.178690816772094,"GF at 80% with PBO"
2022,0.195710489140108,0.204427139031063,0.184061592264947,"GF at 80% with PBO"
2023,0.0945527389298317,0.109000915248748,0.0796706722461465,"GF at 80% with PBO"
2024,0.153352514547431,0.170087943662423,0.125697429863174,"GF at 80% with PBO"
2025,0.191808273038187,0.202534174991561,0.17046604417468,"GF at 80% with PBO"
2026,0.101513173953094,0.115776386138022,0.0854893348689801,"GF at 80% with PBO"
2027,0.169667576956711,0.18115775708301,0.148507565155609,"GF at 80% with PBO"
2028,0.205282946293245,0.215387495542585,0.190628033526797,"GF at 80% with PBO"
2029,0.107970357183131,0.124670889609146,0.0923403171189462,"GF at 80% with PBO"
2030,0.179997494890029,0.192817738013752,0.163051229391876,"GF at 80% with PBO"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"BAU"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"GF"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"GF with PBO"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"GF at 80%"
2020,0.157878793702624,0.171524552976132,0.141108651739631,"GF at 80% with PBO"
