"year","mean_burden","max_burden","min_burden","scenario"
2012,4369.14106577724,4809.7768473326,4003.36947035203,"to-present"
2013,4588.07563995299,5028.84061080115,4169.35289369178,"to-present"
2014,4348.38533446341,4778.79435101893,3993.1784581897,"to-present"
2015,4426.60138024468,5017.07618219846,3893.4373995813,"to-present"
2016,4784.82396721813,5269.92005344801,4080.98113991491,"to-present"
2017,4328.12473389838,4916.88896077674,3685.31934761308,"to-present"
2018,3672.34230619981,4341.88187980441,3009.46952493151,"to-present"
2019,4332.55860698336,4981.05790792705,3636.37960955997,"to-present"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"to-present"
2021,4496.27983118866,5158.67504296089,3773.11977530644,"BAU"
2022,4671.70931528718,5332.72033269749,3886.78180475975,"BAU"
2023,4623.29507627133,5194.21301903741,3785.44202212795,"BAU"
2024,4751.14346673298,5449.36322511967,4025.00647810639,"BAU"
2025,4671.67876248691,5345.49627283869,3869.45883914511,"BAU"
2026,4568.29686167704,5280.28029232066,3971.2599701363,"BAU"
2027,4721.29060760029,5314.98216467899,4167.42327060807,"BAU"
2028,4676.14027754489,5305.34549548199,4160.05890124489,"BAU"
2029,4598.27664270465,5228.91909560792,3955.02274261508,"BAU"
2030,4721.63379968731,5284.88948260365,4088.04609408419,"BAU"
2021,4584.11217889842,5253.85172024803,3751.91250681551,"GF"
2022,4898.04753999253,5749.77519295481,3945.22411142864,"GF"
2023,4945.5709444484,5713.01974215409,4052.16999567948,"GF"
2024,4947.85943283409,5669.89163475782,4059.125583997,"GF"
2025,4921.52290153141,5695.50864976704,4179.46949161837,"GF"
2026,4977.70965033455,5668.31164116057,4195.91850508384,"GF"
2027,4975.25224661165,5659.79055330823,4205.12182210029,"GF"
2028,4970.39442533398,5539.96576655242,4162.97003361421,"GF"
2029,4971.75512608477,5668.65428629822,4205.99555290168,"GF"
2030,4996.66885849677,5597.85898165916,4132.03753790913,"GF"
2021,4527.52066473619,5210.13344084048,3647.06908454047,"GF with PBO"
2022,4751.85165444034,5355.22753846364,3771.46504033297,"GF with PBO"
2023,4799.79633783547,5466.11931020421,3814.43424075948,"GF with PBO"
2024,4790.91890737486,5577.93510148002,3959.03473823616,"GF with PBO"
2025,4807.27374083202,5520.8122918818,3963.82767768474,"GF with PBO"
2026,4800.79931917427,5439.16925336311,4104.15734056932,"GF with PBO"
2027,4809.8032277013,5505.1108167454,3895.96318759646,"GF with PBO"
2028,4810.65979196573,5356.00274347239,4058.4168450724,"GF with PBO"
2029,4821.85704337011,5430.06071486424,4097.86886022194,"GF with PBO"
2030,4793.22301265373,5422.25123607356,4112.17387115595,"GF with PBO"
2021,4394.86073785927,5010.34873193676,3587.78817921011,"GF at 80%"
2022,4640.46886735791,5345.46685376189,3816.29283016427,"GF at 80%"
2023,4676.21598725353,5426.06169752336,3814.22063451785,"GF at 80%"
2024,4674.13489884352,5312.92507491721,3855.9397354342,"GF at 80%"
2025,4687.77428431913,5296.46601254648,3819.1278941301,"GF at 80%"
2026,4706.77503918401,5390.59924810887,3935.05106878845,"GF at 80%"
2027,4670.29765942102,5444.29593527683,3976.52985347989,"GF at 80%"
2028,4709.74547541177,5397.3451983823,4077.0492951565,"GF at 80%"
2029,4760.96681588062,5342.66864440673,4122.78491557428,"GF at 80%"
2030,4734.23374198216,5357.28738241271,4073.64472846169,"GF at 80%"
2021,4303.70825931759,5061.85384428324,3484.81854360063,"GF at 80% with PBO"
2022,4473.47867572908,5094.90539078515,3572.36245137365,"GF at 80% with PBO"
2023,4502.73304631077,5098.49960329541,3748.19598728099,"GF at 80% with PBO"
2024,4500.33105156326,5179.62125122419,3760.15902127085,"GF at 80% with PBO"
2025,4507.71681909206,5107.1483372512,3734.95523341357,"GF at 80% with PBO"
2026,4532.34529009016,5239.12434402488,3732.92351978509,"GF at 80% with PBO"
2027,4525.02334150785,5130.06242102896,3791.66692427086,"GF at 80% with PBO"
2028,4556.49891363419,5219.96552090924,3747.35931625732,"GF at 80% with PBO"
2029,4577.65563270343,5345.6746508338,3857.63664937597,"GF at 80% with PBO"
2030,4579.59828209711,5436.39808804249,3856.9344768269,"GF at 80% with PBO"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"BAU"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF with PBO"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF at 80%"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF at 80% with PBO"
