"year","mean_burden","max_burden","min_burden","scenario"
2012,3045.06259257768,3562.76667433663,2747.58907703597,"to-present"
2013,3211.5441553486,3674.81425253259,2708.8197412313,"to-present"
2014,2783.86510773209,3294.46775688489,2388.91745279494,"to-present"
2015,2469.13141622263,2932.70064391986,1943.83521920692,"to-present"
2016,3423.70012649089,4118.6033633051,2816.27345600495,"to-present"
2017,3338.18199833708,3924.74214593209,2723.68245303748,"to-present"
2018,2510.45848152093,3137.34288456549,2039.88914816859,"to-present"
2019,3519.8188125735,4076.43444993753,3033.44939377809,"to-present"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"to-present"
2021,3652.44889898925,4267.57207368947,2992.5219769552,"BAU"
2022,3868.45504421747,4488.73003406424,3286.89618643809,"BAU"
2023,3576.93661132672,4129.76713869495,2988.09880728664,"BAU"
2024,3940.00118985212,4543.33588873739,3174.83048099618,"BAU"
2025,3954.25899103561,4581.08892912722,3171.2855600669,"BAU"
2026,3527.83621576145,4281.15604958843,2809.98430483111,"BAU"
2027,3928.71268820404,4546.26306158144,3239.53621156762,"BAU"
2028,3925.57361870209,4568.32809308707,3271.92930069715,"BAU"
2029,3549.19635355583,4174.0828283396,2909.29208565157,"BAU"
2030,3906.42507457871,4573.79809194565,3262.98244918516,"BAU"
2021,3343.94871881256,4106.5626969045,2582.92483683673,"GF"
2022,3457.01214769373,4083.37638093624,2794.9474893142,"GF"
2023,3473.15197904199,4125.78142240236,2599.63068211631,"GF"
2024,3478.02412877444,4084.52459778615,2577.44938636809,"GF"
2025,3507.66547653256,4031.33223903278,2665.23546160741,"GF"
2026,3514.96330560514,3921.64244527543,2804.16565544673,"GF"
2027,3517.73359522228,4130.97024739449,2762.30306983159,"GF"
2028,3538.38187945164,4180.4232992735,2839.47662861727,"GF"
2029,3489.71200326371,4131.78827605086,2778.82293217405,"GF"
2030,3502.65034763455,4338.30676271538,2677.9954072295,"GF"
2021,1702.08004908635,2530.22345428646,1039.59729314496,"GF with PBO"
2022,1600.07034200043,2292.46820988469,723.549163483342,"GF with PBO"
2023,1675.06992765251,2412.61247191622,785.382210847274,"GF with PBO"
2024,1749.32120242043,2542.37340079392,935.760776531811,"GF with PBO"
2025,1841.19781064244,2626.75225333764,1072.20285970493,"GF with PBO"
2026,1925.16262649863,2706.6658768866,1292.62390460893,"GF with PBO"
2027,1975.09627177569,2760.62006211593,1245.78816946343,"GF with PBO"
2028,2056.75364057424,2740.37681207005,1286.04243268211,"GF with PBO"
2029,2107.38665248251,3041.29535610428,1280.68069000456,"GF with PBO"
2030,2160.82360646775,2897.19226921812,1549.24732642516,"GF with PBO"
2021,3367.37076455026,4037.43246387238,2620.87843183192,"GF at 80%"
2022,3497.29611772397,4086.73201644746,2666.9692133673,"GF at 80%"
2023,3542.21726342281,4231.04140580438,2878.36139054317,"GF at 80%"
2024,3546.01644794414,4023.38965633812,2840.16067354823,"GF at 80%"
2025,3533.80760957052,3948.27025391971,2808.36999604162,"GF at 80%"
2026,3526.97462435874,3919.03919659195,2902.70520391919,"GF at 80%"
2027,3546.62985214364,4127.01980778076,2940.19802771484,"GF at 80%"
2028,3558.5947513597,4137.16753139805,2939.75814395945,"GF at 80%"
2029,3585.80979421299,4354.6007993526,2886.29285657901,"GF at 80%"
2030,3590.59029343507,4171.58210990315,2879.13490877492,"GF at 80%"
2021,1701.27910890195,2625.03131045983,902.464375047102,"GF at 80% with PBO"
2022,1593.59359297234,2582.17904816272,908.923990717284,"GF at 80% with PBO"
2023,1670.92722160992,2468.56226111521,865.56901126461,"GF at 80% with PBO"
2024,1770.43950278697,2758.36504434019,926.918616070681,"GF at 80% with PBO"
2025,1874.42696336969,2800.90285201486,931.734308467981,"GF at 80% with PBO"
2026,1939.46298611491,2958.86205381637,1059.49782617324,"GF at 80% with PBO"
2027,2042.80347344079,2983.08852922174,1120.03844688522,"GF at 80% with PBO"
2028,2110.21321113139,3083.15221961894,1110.34900120942,"GF at 80% with PBO"
2029,2159.62945520786,3026.22916785907,1243.12750043067,"GF at 80% with PBO"
2030,2213.73402213385,3049.94707151939,1441.4870121831,"GF at 80% with PBO"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"BAU"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"GF"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"GF with PBO"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"GF at 80%"
2020,2757.6536563819,3285.53638932335,2206.06010060607,"GF at 80% with PBO"
