"year","mean_burden","max_burden","min_burden","scenario"
2012,4369.14106577724,4809.7768473326,4003.36947035203,"to-present"
2013,4588.07563995299,5028.84061080115,4169.35289369178,"to-present"
2014,4348.38533446341,4778.79435101893,3993.1784581897,"to-present"
2015,4426.60138024468,5017.07618219846,3893.4373995813,"to-present"
2016,4784.82396721813,5269.92005344801,4080.98113991491,"to-present"
2017,4328.12473389838,4916.88896077674,3685.31934761308,"to-present"
2018,3672.34230619981,4341.88187980441,3009.46952493151,"to-present"
2019,4332.55860698336,4981.05790792705,3636.37960955997,"to-present"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"to-present"
2021,4496.27983118866,5158.67504296089,3773.11977530644,"BAU"
2022,4671.70931528718,5332.72033269749,3886.78180475975,"BAU"
2023,4623.29507627133,5194.21301903741,3785.44202212795,"BAU"
2024,4751.14346673298,5449.36322511967,4025.00647810639,"BAU"
2025,4671.67876248691,5345.49627283869,3869.45883914511,"BAU"
2026,4568.29686167704,5280.28029232066,3971.2599701363,"BAU"
2027,4721.29060760029,5314.98216467899,4167.42327060807,"BAU"
2028,4676.14027754489,5305.34549548199,4160.05890124489,"BAU"
2029,4598.27664270465,5228.91909560792,3955.02274261508,"BAU"
2030,4721.63379968731,5284.88948260365,4088.04609408419,"BAU"
2021,4553.79355360942,5173.00741397574,3641.53867890625,"GF"
2022,4788.70125115335,5348.77785613473,4030.21612752652,"GF"
2023,4804.85823761206,5410.37366566054,4031.53137854037,"GF"
2024,4789.18441743393,5410.53304889223,4123.49078269109,"GF"
2025,4832.08226055452,5322.24136361572,4159.77226155489,"GF"
2026,4827.21079963157,5312.17617191662,4180.39447069271,"GF"
2027,4817.02424454499,5319.54074772214,4171.23358451919,"GF"
2028,4816.44692903993,5467.11614213665,4148.76613581965,"GF"
2029,4783.74116658994,5405.26001006213,4147.77765290743,"GF"
2030,4818.97048499428,5413.63063723821,4037.46775127575,"GF"
2021,4488.01544299342,5169.95519623602,3687.37271094277,"GF with PBO"
2022,4632.07699711784,5302.21856277491,3818.63603646628,"GF with PBO"
2023,4635.90639554169,5143.37250485269,3831.76140571147,"GF with PBO"
2024,4633.04165840232,5253.08668546532,3844.18963923129,"GF with PBO"
2025,4609.29941540657,5189.49891396389,3965.71723364536,"GF with PBO"
2026,4623.56087816759,5154.73042810057,3975.22999792239,"GF with PBO"
2027,4651.21948103503,5199.82261703413,4051.94906557181,"GF with PBO"
2028,4639.42057414737,5188.47680117534,3945.52976346135,"GF with PBO"
2029,4627.56946786006,5148.28440689239,3958.39207010258,"GF with PBO"
2030,4650.88420742852,5352.06453811596,4006.93846957631,"GF with PBO"
2021,4394.86073785927,5010.34873193676,3587.78817921011,"GF at 80%"
2022,4640.46886735791,5345.46685376189,3816.29283016427,"GF at 80%"
2023,4676.21598725353,5426.06169752336,3814.22063451785,"GF at 80%"
2024,4674.13489884352,5312.92507491721,3855.9397354342,"GF at 80%"
2025,4687.77428431913,5296.46601254648,3819.1278941301,"GF at 80%"
2026,4706.77503918401,5390.59924810887,3935.05106878845,"GF at 80%"
2027,4670.29765942102,5444.29593527683,3976.52985347989,"GF at 80%"
2028,4709.74547541177,5397.3451983823,4077.0492951565,"GF at 80%"
2029,4760.96681588062,5342.66864440673,4122.78491557428,"GF at 80%"
2030,4734.23374198216,5357.28738241271,4073.64472846169,"GF at 80%"
2021,4303.70825931759,5061.85384428324,3484.81854360063,"GF at 80% with PBO"
2022,4473.47867572908,5094.90539078515,3572.36245137365,"GF at 80% with PBO"
2023,4502.73304631077,5098.49960329541,3748.19598728099,"GF at 80% with PBO"
2024,4500.33105156326,5179.62125122419,3760.15902127085,"GF at 80% with PBO"
2025,4507.71681909206,5107.1483372512,3734.95523341357,"GF at 80% with PBO"
2026,4532.34529009016,5239.12434402488,3732.92351978509,"GF at 80% with PBO"
2027,4525.02334150785,5130.06242102896,3791.66692427086,"GF at 80% with PBO"
2028,4556.49891363419,5219.96552090924,3747.35931625732,"GF at 80% with PBO"
2029,4577.65563270343,5345.6746508338,3857.63664937597,"GF at 80% with PBO"
2030,4579.59828209711,5436.39808804249,3856.9344768269,"GF at 80% with PBO"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"BAU"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF with PBO"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF at 80%"
2020,3367.06692905574,3965.56876297954,2647.88899563352,"GF at 80% with PBO"
