"year","mean_burden","max_burden","min_burden","scenario"
2012,2377.16215502756,2561.64945847338,2177.35534864458,"to-present"
2013,2501.01784355288,2675.39626759392,2302.02714858769,"to-present"
2014,2177.75773139856,2314.13999518739,1957.65912848678,"to-present"
2015,2034.66206521348,2235.96301721746,1813.06242580213,"to-present"
2016,2615.17181429411,2844.62175313912,2426.82334649724,"to-present"
2017,2487.6743286177,2671.91181867193,2255.91101246109,"to-present"
2018,1759.17887045899,1989.24747958029,1517.86464107597,"to-present"
2019,2411.43202598121,2649.63731969401,2118.9906345869,"to-present"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"to-present"
2021,2690.97986117673,2930.06635058939,2486.22045025548,"BAU"
2022,2761.19285422887,2979.11926595942,2542.51502312005,"BAU"
2023,2263.37914073067,2433.22956460759,2032.37988601808,"BAU"
2024,2805.2439705784,2983.93517385597,2596.15752675165,"BAU"
2025,2795.86814367032,2961.56353831999,2584.57607182823,"BAU"
2026,2282.56283584995,2472.25946191784,2011.93773830876,"BAU"
2027,2795.32410352296,2996.77805978396,2589.49950225603,"BAU"
2028,2786.65096350102,2959.12152380416,2576.27412316079,"BAU"
2029,2261.16148828893,2448.97453500377,2015.6653021027,"BAU"
2030,2793.84616468693,2960.46939266025,2574.50178761197,"BAU"
2021,2598.12185754945,2873.08904159554,2348.89098005032,"GF"
2022,2627.09211011387,2916.35521769792,2381.71583899659,"GF"
2023,1873.67738823556,2106.93575613238,1575.55827722295,"GF"
2024,2590.43772209364,2866.97090414429,2318.77670786667,"GF"
2025,2689.41625658001,2935.92172242787,2456.26165870096,"GF"
2026,1942.69059895365,2187.6986982819,1614.75465020861,"GF"
2027,2674.23178081061,2891.68183606116,2452.45477754978,"GF"
2028,2736.61681231133,2961.15584462828,2504.33197483849,"GF"
2029,1966.73246490689,2199.83570942508,1711.42473387186,"GF"
2030,2707.35710702952,2910.62027373555,2467.30312886979,"GF"
2021,2518.08287602241,2794.44100746716,2286.04728127225,"GF with PBO"
2022,2516.97271905717,2768.98526313835,2283.75691318214,"GF with PBO"
2023,1730.596004135,1941.63877649559,1448.07511355755,"GF with PBO"
2024,2441.2226667273,2668.65815690667,2203.77873773344,"GF with PBO"
2025,2548.93176815322,2797.92236553482,2333.21319198984,"GF with PBO"
2026,1800.97954407064,2020.18084417506,1487.59160505144,"GF with PBO"
2027,2544.32540850214,2757.4040736776,2325.03580187283,"GF with PBO"
2028,2629.90101650376,2892.88348130083,2385.67244654171,"GF with PBO"
2029,1849.01615767484,2072.97264132358,1588.02285694565,"GF with PBO"
2030,2597.57358324999,2813.19944081918,2368.35219956158,"GF with PBO"
2021,2571.04787219013,2860.39522042953,2330.55499654124,"GF at 80%"
2022,2554.61098172868,2800.48256055461,2334.17874259141,"GF at 80%"
2023,1754.86526767308,2038.63965203385,1431.33673393904,"GF at 80%"
2024,2501.87722748262,2744.55244361331,2164.11431891902,"GF at 80%"
2025,2602.29258175563,2832.14068979407,2340.01420434607,"GF at 80%"
2026,1820.29897530233,2107.48509214942,1563.24624531641,"GF at 80%"
2027,2602.5030319077,2830.82049963978,2294.52077617999,"GF at 80%"
2028,2676.8448936186,2906.98956352911,2419.3468717652,"GF at 80%"
2029,1868.99891263318,2119.18637332301,1628.94025088241,"GF at 80%"
2030,2664.32706446168,2924.83016447143,2414.87263072889,"GF at 80%"
2021,2489.75517157344,2771.02392895358,2240.9129434443,"GF at 80% with PBO"
2022,2450.45776936961,2661.52691312007,2220.62539564812,"GF at 80% with PBO"
2023,1627.54102456416,1903.03747256122,1346.44583830161,"GF at 80% with PBO"
2024,2376.38107079959,2645.50762939932,2077.61265636709,"GF at 80% with PBO"
2025,2480.16600955929,2714.90996729581,2238.39623916792,"GF at 80% with PBO"
2026,1691.39114245944,1995.36711400696,1406.10668765493,"GF at 80% with PBO"
2027,2483.89889784893,2755.24015534255,2167.54266450557,"GF at 80% with PBO"
2028,2559.67995278095,2852.10961222039,2276.57138760903,"GF at 80% with PBO"
2029,1750.71070869705,2027.98317016359,1500.56407453237,"GF at 80% with PBO"
2030,2554.73295269391,2792.36248767642,2294.52116179273,"GF at 80% with PBO"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"BAU"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"GF"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"GF with PBO"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"GF at 80%"
2020,2004.53625686642,2213.30885738062,1737.41427721411,"GF at 80% with PBO"
