"year","mean_burden","max_burden","min_burden","scenario"
2012,2244.80874905262,2387.19880237253,2041.24128692898,"to-present"
2013,2414.37803152468,2597.62496989529,2198.84548169061,"to-present"
2014,2136.97366165482,2316.94670952422,1883.85637421051,"to-present"
2015,1817.61744523612,2054.51515739174,1505.82501651548,"to-present"
2016,2410.92719051925,2600.82221215137,2165.31891478266,"to-present"
2017,2396.06690965556,2583.00272053504,2167.38759205604,"to-present"
2018,1608.98180294671,1807.81752008262,1335.71948841875,"to-present"
2019,2241.04830359412,2443.57166427944,1971.41771401648,"to-present"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"to-present"
2021,2547.16283741231,2718.33738433783,2317.85882660599,"BAU"
2022,2712.78735981358,2893.45296290222,2486.6372213596,"BAU"
2023,2163.14035048211,2340.74544103523,1857.88812167677,"BAU"
2024,2685.96467237399,2880.22735813989,2445.17180449587,"BAU"
2025,2755.69759862575,2964.60607688394,2521.76595629727,"BAU"
2026,2173.23482050739,2377.33485970445,1862.60463352563,"BAU"
2027,2684.91851308552,2882.26023358586,2447.27528454056,"BAU"
2028,2741.74401775042,2951.19248259619,2519.58272786824,"BAU"
2029,2167.20906403731,2398.34053655121,1906.8011238998,"BAU"
2030,2678.38826915912,2878.96976430861,2478.90466772676,"BAU"
2021,2451.4581008065,2632.54527284378,2193.78405524286,"GF"
2022,2540.00063796984,2732.87977406426,2307.71671233416,"GF"
2023,1755.41950379151,1965.04321605312,1415.16815983729,"GF"
2024,2365.90139336932,2577.1144601119,2109.35837496083,"GF"
2025,2575.07682734451,2829.61208451137,2322.94825955198,"GF"
2026,1804.83768279764,2024.45727681564,1496.49247055814,"GF"
2027,2438.21984136383,2627.19585916251,2165.29701356044,"GF"
2028,2618.70170948652,2815.66333900917,2348.51137369159,"GF"
2029,1827.21318117491,2020.63019187112,1489.5256984502,"GF"
2030,2474.47661695143,2662.93810335436,2246.68463316261,"GF"
2021,2372.31943836456,2567.33878054512,2106.29533002488,"GF with PBO"
2022,2430.44634850011,2638.13044297893,2184.54940123786,"GF with PBO"
2023,1614.05301266647,1822.53828602132,1320.71426605592,"GF with PBO"
2024,2219.9037907243,2434.14239590084,1973.6244730168,"GF with PBO"
2025,2432.67480092405,2671.50444526508,2199.64620253431,"GF with PBO"
2026,1672.80315658489,1879.88124810721,1373.95610442273,"GF with PBO"
2027,2305.42571401129,2522.38692072572,2055.80103500626,"GF with PBO"
2028,2494.00940845429,2701.47796818361,2225.61073665424,"GF with PBO"
2029,1709.38738565712,1921.75954762837,1370.03854560554,"GF with PBO"
2030,2363.60548436003,2570.13496796865,2078.44269069408,"GF with PBO"
2021,2440.65642463545,2630.96558977171,2168.26231941128,"GF at 80%"
2022,2498.99565520093,2709.51100338233,2222.99821857101,"GF at 80%"
2023,1622.21790394905,1852.72001788731,1273.61385706502,"GF at 80%"
2024,2258.64584369349,2548.58410747377,1915.91189306356,"GF at 80%"
2025,2510.15469263069,2754.65232744276,2216.48433014953,"GF at 80%"
2026,1691.34699963065,1970.77161796909,1344.54134511173,"GF at 80%"
2027,2372.37054601292,2631.42400834693,2102.48826770258,"GF at 80%"
2028,2591.45092203038,2821.59612510146,2354.75074929071,"GF at 80%"
2029,1726.26142656254,2031.54960572763,1450.22174009809,"GF at 80%"
2030,2432.34457743557,2679.97342441963,2156.69699052199,"GF at 80%"
2021,2356.59041607655,2544.60601626949,2086.7543678817,"GF at 80% with PBO"
2022,2386.45917925081,2594.20230716994,2143.95614964975,"GF at 80% with PBO"
2023,1492.47269835442,1735.50319154738,1169.72181596366,"GF at 80% with PBO"
2024,2128.67138729815,2395.97406220711,1790.08975820657,"GF at 80% with PBO"
2025,2382.59489491681,2624.29215983755,2099.96725121742,"GF at 80% with PBO"
2026,1564.39395110476,1856.01226260166,1276.13875678938,"GF at 80% with PBO"
2027,2246.41619472503,2512.32532408626,1984.1118672309,"GF at 80% with PBO"
2028,2464.34742007378,2683.08860177458,2227.1688385684,"GF at 80% with PBO"
2029,1608.60499917442,1920.90953803235,1340.33691110362,"GF at 80% with PBO"
2030,2319.37962813172,2569.52460984435,2051.55221811901,"GF at 80% with PBO"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"BAU"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"GF"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"GF with PBO"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"GF at 80%"
2020,1910.7278607973,2089.26072482006,1633.26697794038,"GF at 80% with PBO"
