"year","mean_burden","max_burden","min_burden","scenario"
2012,2734.67463466581,2904.30396947859,2479.67010997691,"to-present"
2013,2848.9287986037,3079.06555564527,2611.51127160498,"to-present"
2014,2446.92138103344,2608.09271351985,2157.33925195449,"to-present"
2015,2263.2606588398,2568.73283700891,1934.27769184254,"to-present"
2016,2994.21565368619,3228.91156610246,2717.36070097525,"to-present"
2017,2859.46773901888,3062.03099736458,2563.77981654353,"to-present"
2018,1942.66264570872,2251.74682883423,1576.76493516669,"to-present"
2019,2751.24995211726,3021.56870412289,2330.5232287522,"to-present"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"to-present"
2021,3122.89074052505,3391.76303520747,2812.41212318165,"BAU"
2022,3175.89860252267,3419.57155203058,2889.48157723853,"BAU"
2023,2602.61622824857,2771.24445112571,2281.09007930925,"BAU"
2024,3239.6612348567,3464.78076223363,2985.12163897616,"BAU"
2025,3210.87378725476,3468.26677519882,2942.00636597616,"BAU"
2026,2619.2591824778,2854.45324307724,2296.29523489704,"BAU"
2027,3225.17971843904,3441.20560609301,2956.89246560146,"BAU"
2028,3196.43018988526,3419.9852871693,2939.32085081881,"BAU"
2029,2593.74951685521,2843.62658546177,2288.10051093242,"BAU"
2030,3218.73240801703,3437.22330961921,2952.79756400552,"BAU"
2021,3091.72197360485,3338.39137024987,2790.9089117621,"GF"
2022,3026.81066356396,3339.62302539659,2722.46836591789,"GF"
2023,1938.87868468587,2189.35199462018,1466.76170191694,"GF"
2024,3006.78206706422,3243.41561615226,2710.76595255357,"GF"
2025,3059.49013896039,3310.03613844872,2766.80754229084,"GF"
2026,1985.02538628249,2243.54085731098,1566.95637650292,"GF"
2027,3077.36508589636,3339.47881926605,2814.9175124724,"GF"
2028,3110.68751317868,3295.55128108965,2811.66521699034,"GF"
2029,2028.43088509772,2311.85964006792,1642.37700603225,"GF"
2030,3136.64216744126,3350.02781329724,2873.97736412845,"GF"
2021,3091.72197360485,3338.39137024987,2790.9089117621,"GF with PBO"
2022,3026.81066356396,3339.62302539659,2722.46836591789,"GF with PBO"
2023,1938.87868468587,2189.35199462018,1466.76170191694,"GF with PBO"
2024,3006.78206706422,3243.41561615226,2710.76595255357,"GF with PBO"
2025,3059.49013896039,3310.03613844872,2766.80754229084,"GF with PBO"
2026,1985.02538628249,2243.54085731098,1566.95637650292,"GF with PBO"
2027,3077.36508589636,3339.47881926605,2814.9175124724,"GF with PBO"
2028,3110.68751317868,3295.55128108965,2811.66521699034,"GF with PBO"
2029,2028.43088509772,2311.85964006792,1642.37700603225,"GF with PBO"
2030,3136.64216744126,3350.02781329724,2873.97736412845,"GF with PBO"
2021,3122.34125948883,3412.50798622487,2775.23307365308,"GF at 80%"
2022,3033.29640420912,3292.42432672607,2771.23885141304,"GF at 80%"
2023,1800.62995716397,2155.21406212399,1372.4923737856,"GF at 80%"
2024,2964.8095394527,3260.56699595407,2647.36231444829,"GF at 80%"
2025,3086.53674767234,3322.59875715395,2818.98883074203,"GF at 80%"
2026,1879.88384297404,2214.2293463622,1464.60113225254,"GF at 80%"
2027,3087.28853666466,3384.30641659488,2758.12068624484,"GF at 80%"
2028,3163.43901520819,3427.13008791442,2850.2064917559,"GF at 80%"
2029,1930.55813866817,2242.62757069303,1552.46879158513,"GF at 80%"
2030,3167.41305038406,3427.66054678738,2832.56410455906,"GF at 80%"
2021,3122.34126065868,3412.50799729468,2775.23306406851,"GF at 80% with PBO"
2022,3033.29640082277,3292.42432559065,2771.23885233281,"GF at 80% with PBO"
2023,1800.62995569016,2155.2140417468,1372.49236365436,"GF at 80% with PBO"
2024,2964.80954049424,3260.5670016041,2647.36229156761,"GF at 80% with PBO"
2025,3086.53674673429,3322.5987629036,2818.98884530125,"GF at 80% with PBO"
2026,1879.88384678135,2214.22935790996,1464.60113324725,"GF at 80% with PBO"
2027,3087.28853796091,3384.3064187898,2758.12068324089,"GF at 80% with PBO"
2028,3163.43901616232,3427.13010359953,2850.20649669456,"GF at 80% with PBO"
2029,1930.55814160332,2242.62759275345,1552.46878229109,"GF at 80% with PBO"
2030,3167.41304822904,3427.66054577737,2832.56410004432,"GF at 80% with PBO"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"BAU"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF with PBO"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF at 80%"
2020,2356.41900647701,2584.68943070489,1968.27825930139,"GF at 80% with PBO"
