"year","mean_burden","max_burden","min_burden","scenario"
2012,1052.15085969558,1104.1284478886,995.30580872257,"to-present"
2013,1125.26578666021,1186.91247841226,1065.18007376256,"to-present"
2014,947.01856313788,996.04033120562,879.881240257283,"to-present"
2015,809.501960851306,895.01786074081,731.28096729664,"to-present"
2016,1121.66636752676,1178.36026664416,1077.38684617477,"to-present"
2017,1094.86591582717,1147.54321718128,1036.85604236543,"to-present"
2018,718.041775421754,815.682288786406,632.840012948434,"to-present"
2019,1088.53258581738,1141.54579812464,988.650667803623,"to-present"
2020,888.053672823125,970.543402051184,818.145241601257,"to-present"
2021,1275.56410238394,1348.61746444945,1219.18343994062,"BAU"
2022,1390.8684715856,1452.36597778909,1338.87206254555,"BAU"
2023,1271.16925773697,1334.25889132063,1216.33446918789,"BAU"
2024,1430.99095895279,1496.64363265784,1370.06542293046,"BAU"
2025,1417.17395868102,1467.90592387909,1352.83647793082,"BAU"
2026,1247.41883624614,1295.74243693728,1191.36646422594,"BAU"
2027,1404.29086473165,1453.27427181105,1339.19157977049,"BAU"
2028,1392.91888905896,1449.95727189615,1330.83349385578,"BAU"
2029,1222.07979824945,1274.92142210739,1162.85153634978,"BAU"
2030,1372.84992295233,1422.55146514736,1320.66880788125,"BAU"
2021,1236.43957542033,1311.51785186484,1161.03575360712,"GF"
2022,1299.45507586966,1360.92691596155,1233.71633837402,"GF"
2023,915.462240327288,1015.30675503208,815.078179430508,"GF"
2024,1319.29428079073,1378.23422375601,1248.98106904314,"GF"
2025,1369.60619022916,1432.41485131133,1298.41993105092,"GF"
2026,952.542110187658,1046.39638142797,861.656112897872,"GF"
2027,1370.22737312135,1434.65691056162,1311.20760583497,"GF"
2028,1401.74648412983,1466.16391707365,1323.02623652757,"GF"
2029,971.286448879088,1058.69220792184,862.951358152013,"GF"
2030,1395.41452638373,1440.79519720226,1344.75026110874,"GF"
2021,1173.75795594284,1257.9478581611,1104.59286732813,"GF with PBO"
2022,1206.03462269531,1275.75606489316,1139.11784635712,"GF with PBO"
2023,742.37312367797,856.371759690171,646.423427957879,"GF with PBO"
2024,1149.58771818895,1208.86698695586,1081.06072131364,"GF with PBO"
2025,1247.90722101589,1306.73242090913,1186.87878685913,"GF with PBO"
2026,797.80491601792,920.445284760463,702.630094566646,"GF with PBO"
2027,1238.26808851259,1319.46301326615,1160.47645226298,"GF with PBO"
2028,1330.91973824441,1396.01398580767,1223.66228928303,"GF with PBO"
2029,850.593494856991,954.823261985033,735.699704745188,"GF with PBO"
2030,1304.56622123263,1370.24184801366,1222.01389156924,"GF with PBO"
2021,1190.49463147213,1276.01667574182,1110.46952937242,"GF at 80%"
2022,1209.40651870786,1278.2336282601,1131.15285418871,"GF at 80%"
2023,803.490520214254,883.145616876438,707.667192399275,"GF at 80%"
2024,1199.39591873793,1284.19084488619,1090.11972544352,"GF at 80%"
2025,1268.03921282369,1334.06582981771,1170.64909468775,"GF at 80%"
2026,855.701351319234,959.038108847532,765.98470897693,"GF at 80%"
2027,1287.86648877594,1365.77531882053,1162.91934075415,"GF at 80%"
2028,1339.57841096662,1437.04528467614,1233.22430486152,"GF at 80%"
2029,896.085257614606,1005.7808353696,793.506019780652,"GF at 80%"
2030,1341.71245701765,1414.87049670273,1256.60688501672,"GF at 80%"
2021,1133.80801860127,1218.67823616667,1056.95239884753,"GF at 80% with PBO"
2022,1121.78944906069,1174.34861374986,1042.31927072069,"GF at 80% with PBO"
2023,663.197168432005,760.151617447887,560.233682508212,"GF at 80% with PBO"
2024,1061.01022965878,1146.25761752281,947.53921559426,"GF at 80% with PBO"
2025,1135.94722568498,1203.63923243766,1036.63442345865,"GF at 80% with PBO"
2026,721.381626468181,820.779605304281,615.560070928156,"GF at 80% with PBO"
2027,1162.56519263136,1242.38184985904,1030.44927440377,"GF at 80% with PBO"
2028,1223.95335480488,1319.20067176406,1094.47378381941,"GF at 80% with PBO"
2029,774.539026676362,869.328060294888,638.790468561934,"GF at 80% with PBO"
2030,1235.33010855954,1306.81499264409,1105.99451550922,"GF at 80% with PBO"
2020,888.053672823125,970.543402051184,818.145241601257,"BAU"
2020,888.053672823125,970.543402051184,818.145241601257,"GF"
2020,888.053672823125,970.543402051184,818.145241601257,"GF with PBO"
2020,888.053672823125,970.543402051184,818.145241601257,"GF at 80%"
2020,888.053672823125,970.543402051184,818.145241601257,"GF at 80% with PBO"
