"year","mean_burden","max_burden","min_burden","scenario"
2012,1052.15085969558,1104.1284478886,995.30580872257,"to-present"
2013,1125.26578666021,1186.91247841226,1065.18007376256,"to-present"
2014,947.01856313788,996.04033120562,879.881240257283,"to-present"
2015,809.501960851306,895.01786074081,731.28096729664,"to-present"
2016,1121.66636752676,1178.36026664416,1077.38684617477,"to-present"
2017,1094.86591582717,1147.54321718128,1036.85604236543,"to-present"
2018,718.041775421754,815.682288786406,632.840012948434,"to-present"
2019,1088.53258581738,1141.54579812464,988.650667803623,"to-present"
2020,888.053672823125,970.543402051184,818.145241601257,"to-present"
2021,1275.56410238394,1348.61746444945,1219.18343994062,"BAU"
2022,1390.8684715856,1452.36597778909,1338.87206254555,"BAU"
2023,1271.16925773697,1334.25889132063,1216.33446918789,"BAU"
2024,1430.99095895279,1496.64363265784,1370.06542293046,"BAU"
2025,1417.17395868102,1467.90592387909,1352.83647793082,"BAU"
2026,1247.41883624614,1295.74243693728,1191.36646422594,"BAU"
2027,1404.29086473165,1453.27427181105,1339.19157977049,"BAU"
2028,1392.91888905896,1449.95727189615,1330.83349385578,"BAU"
2029,1222.07979824945,1274.92142210739,1162.85153634978,"BAU"
2030,1372.84992295233,1422.55146514736,1320.66880788125,"BAU"
2021,1238.97492207692,1320.44217413819,1183.82930944485,"GF"
2022,1299.39971396497,1370.0883582471,1220.04633660377,"GF"
2023,926.306691581202,1026.5629565145,848.394636524405,"GF"
2024,1320.01089112736,1373.30502427219,1243.9876218457,"GF"
2025,1353.07275915737,1399.30525119519,1285.41849475139,"GF"
2026,953.889697679052,1049.9804203332,870.847589549227,"GF"
2027,1354.04330792118,1420.31628031659,1263.24048131509,"GF"
2028,1371.7469091887,1424.81825418214,1316.41440851711,"GF"
2029,958.950087958039,1039.09863044016,890.14668454574,"GF"
2030,1363.75960669618,1416.22740902816,1314.84683027506,"GF"
2021,1177.97241390612,1269.35088836221,1125.81483283157,"GF with PBO"
2022,1208.85161028575,1298.14247641987,1147.73927509456,"GF with PBO"
2023,756.734570730765,883.149168299115,672.395190942557,"GF with PBO"
2024,1158.97516227328,1216.9196707986,1102.77379534656,"GF with PBO"
2025,1245.33922268606,1305.10349996059,1170.90726779762,"GF with PBO"
2026,807.825122733716,912.914031959426,700.301946281628,"GF with PBO"
2027,1232.52839445394,1301.51885027013,1165.09273460305,"GF with PBO"
2028,1301.36708065569,1375.73867427684,1225.88724693974,"GF with PBO"
2029,840.420165420244,935.122017775871,746.960275445226,"GF with PBO"
2030,1274.82045717238,1325.4564593242,1224.18095974402,"GF with PBO"
2021,1190.49463147213,1276.01667574182,1110.46952937242,"GF at 80%"
2022,1209.40651870786,1278.2336282601,1131.15285418871,"GF at 80%"
2023,803.490520214254,883.145616876438,707.667192399275,"GF at 80%"
2024,1199.39591873793,1284.19084488619,1090.11972544352,"GF at 80%"
2025,1268.03921282369,1334.06582981771,1170.64909468775,"GF at 80%"
2026,855.701351319234,959.038108847532,765.98470897693,"GF at 80%"
2027,1287.86648877594,1365.77531882053,1162.91934075415,"GF at 80%"
2028,1339.57841096662,1437.04528467614,1233.22430486152,"GF at 80%"
2029,896.085257614606,1005.7808353696,793.506019780652,"GF at 80%"
2030,1341.71245701765,1414.87049670273,1256.60688501672,"GF at 80%"
2021,1133.80801860127,1218.67823616667,1056.95239884753,"GF at 80% with PBO"
2022,1121.78944906069,1174.34861374986,1042.31927072069,"GF at 80% with PBO"
2023,663.197168432005,760.151617447887,560.233682508212,"GF at 80% with PBO"
2024,1061.01022965878,1146.25761752281,947.53921559426,"GF at 80% with PBO"
2025,1135.94722568498,1203.63923243766,1036.63442345865,"GF at 80% with PBO"
2026,721.381626468181,820.779605304281,615.560070928156,"GF at 80% with PBO"
2027,1162.56519263136,1242.38184985904,1030.44927440377,"GF at 80% with PBO"
2028,1223.95335480488,1319.20067176406,1094.47378381941,"GF at 80% with PBO"
2029,774.539026676362,869.328060294888,638.790468561934,"GF at 80% with PBO"
2030,1235.33010855954,1306.81499264409,1105.99451550922,"GF at 80% with PBO"
2020,888.053672823125,970.543402051184,818.145241601257,"BAU"
2020,888.053672823125,970.543402051184,818.145241601257,"GF"
2020,888.053672823125,970.543402051184,818.145241601257,"GF with PBO"
2020,888.053672823125,970.543402051184,818.145241601257,"GF at 80%"
2020,888.053672823125,970.543402051184,818.145241601257,"GF at 80% with PBO"
