"year","mean_burden","max_burden","min_burden","scenario"
2012,1489.97189956229,1572.75818248619,1384.22500317817,"to-present"
2013,1537.61231531067,1625.52440160888,1466.98888513658,"to-present"
2014,1428.71296510114,1493.43488285096,1354.98524816029,"to-present"
2015,1438.62972063578,1522.68376791657,1334.4947299278,"to-present"
2016,1550.53260116388,1667.11832072762,1408.74140331847,"to-present"
2017,1405.70259816223,1504.91207988273,1258.33875014293,"to-present"
2018,1210.43465225674,1340.61438933626,995.691003002466,"to-present"
2019,1431.29408693839,1559.60949895985,1269.77533880025,"to-present"
2020,1115.73228064066,1231.47541116803,932.177549576385,"to-present"
2021,1535.83154627688,1668.77541980046,1397.87379357952,"BAU"
2022,1612.46024403798,1717.93456571604,1471.07056387577,"BAU"
2023,1610.02479881285,1731.34654222522,1474.81573328965,"BAU"
2024,1684.35987651231,1845.24314777238,1558.43432845433,"BAU"
2025,1670.91793191478,1797.40416946469,1555.3618182751,"BAU"
2026,1643.08215880083,1774.48474029852,1544.78361309139,"BAU"
2027,1706.30586718172,1787.81267540991,1611.4549143774,"BAU"
2028,1691.71152060967,1772.88915312844,1591.65190854015,"BAU"
2029,1652.82384195864,1720.54670521089,1526.85240389532,"BAU"
2030,1702.59687110404,1809.21840402482,1574.88832936897,"BAU"
2021,1558.40882064793,1663.52696172727,1366.80928486419,"GF"
2022,1651.365416409,1743.26032451877,1524.20911768144,"GF"
2023,1683.73063687931,1779.48471707319,1553.95981107395,"GF"
2024,1703.83528628406,1816.37624484428,1599.78421779732,"GF"
2025,1718.39238988796,1839.63393059333,1609.64732724521,"GF"
2026,1717.97390570988,1832.56392246737,1594.27280995893,"GF"
2027,1720.3310955281,1826.13096788167,1593.31661203116,"GF"
2028,1725.99481545393,1832.18166790001,1577.65168754519,"GF"
2029,1712.34414249275,1792.95797713313,1581.52027957627,"GF"
2030,1725.39515165458,1815.65333984769,1585.3782464471,"GF"
2021,1527.03557953971,1641.83986790237,1383.7028150498,"GF with PBO"
2022,1605.19826846301,1703.47458235066,1456.63312345783,"GF with PBO"
2023,1628.19681914783,1708.25216387578,1477.37497241778,"GF with PBO"
2024,1645.61879670628,1747.38734261795,1518.21064077022,"GF with PBO"
2025,1659.02621376541,1768.97974454417,1572.2662208213,"GF with PBO"
2026,1668.38925906263,1750.66650870645,1567.35580285132,"GF with PBO"
2027,1682.83779793905,1779.53910741012,1601.9266086257,"GF with PBO"
2028,1683.67629879186,1776.39831389597,1581.85636576766,"GF with PBO"
2029,1684.7994321198,1772.97819816799,1609.30345886223,"GF with PBO"
2030,1687.01753312767,1786.54283185637,1601.08274529973,"GF with PBO"
2021,1476.01203645404,1583.50853908078,1329.57116905727,"GF at 80%"
2022,1565.97293205192,1687.45249242604,1400.05499273181,"GF at 80%"
2023,1601.57753844659,1725.86363375375,1449.71647743413,"GF at 80%"
2024,1629.02384354828,1757.95419936228,1476.99111564763,"GF at 80%"
2025,1647.99698544202,1739.42311022933,1484.77330545197,"GF at 80%"
2026,1672.2204039413,1772.02579824859,1541.09655028442,"GF at 80%"
2027,1677.99247807997,1791.19558348827,1564.47014900834,"GF at 80%"
2028,1702.76237920207,1820.48892981825,1592.38465900784,"GF at 80%"
2029,1709.35031435228,1792.98659625532,1590.7030478137,"GF at 80%"
2030,1709.14380882328,1829.86764746254,1604.74209512127,"GF at 80%"
2021,1446.89597812686,1587.13274472294,1292.7622646242,"GF at 80% with PBO"
2022,1531.02523644103,1649.62362320665,1362.72926512392,"GF at 80% with PBO"
2023,1569.79542003475,1696.23178602404,1439.69027715877,"GF at 80% with PBO"
2024,1588.68290270456,1704.56714723398,1471.24433968746,"GF at 80% with PBO"
2025,1611.50381872615,1702.13439438754,1474.30742069272,"GF at 80% with PBO"
2026,1633.6422966205,1747.80170667009,1509.18578383146,"GF at 80% with PBO"
2027,1644.46286104956,1744.54529421866,1547.49825672395,"GF at 80% with PBO"
2028,1662.54304873464,1795.73206954034,1501.87335034405,"GF at 80% with PBO"
2029,1673.78577717632,1823.42993995719,1572.87447230545,"GF at 80% with PBO"
2030,1683.02173852175,1848.48009033651,1570.52618385122,"GF at 80% with PBO"
2020,1115.73228064066,1231.47541116803,932.177549576385,"BAU"
2020,1115.73228064066,1231.47541116803,932.177549576385,"GF"
2020,1115.73228064066,1231.47541116803,932.177549576385,"GF with PBO"
2020,1115.73228064066,1231.47541116803,932.177549576385,"GF at 80%"
2020,1115.73228064066,1231.47541116803,932.177549576385,"GF at 80% with PBO"
