"year","mean_burden","max_burden","min_burden","scenario"
2012,1504.26499522148,1568.31469291787,1401.71751574842,"to-present"
2013,1555.1994916073,1610.8408061966,1464.25948516774,"to-present"
2014,1437.66414413086,1499.17488207789,1371.5215347916,"to-present"
2015,1509.52648398425,1594.49617157033,1415.98315735844,"to-present"
2016,1579.0516726556,1670.38244522871,1471.59729357469,"to-present"
2017,1394.50861120179,1494.4702003055,1274.59950311156,"to-present"
2018,1259.69338682894,1422.04838584705,1110.70868431003,"to-present"
2019,1448.4468689344,1620.98000740168,1302.82399660295,"to-present"
2020,1125.76042749336,1326.7813910624,979.564383991446,"to-present"
2021,1544.9984690536,1682.29213531014,1431.94584862503,"BAU"
2022,1544.28972748098,1688.61734287966,1383.14200818587,"BAU"
2023,1470.71383678158,1617.7308353922,1328.61065414721,"BAU"
2024,1637.24515902108,1741.32692619995,1546.89755525305,"BAU"
2025,1612.975659679,1717.57476285519,1528.50712496331,"BAU"
2026,1530.3827381058,1643.03864559477,1407.49257325991,"BAU"
2027,1688.30126782117,1775.58610722752,1606.6233856403,"BAU"
2028,1649.68383288362,1736.13153649026,1544.80332546545,"BAU"
2029,1548.15215920953,1657.5871322949,1474.33380204772,"BAU"
2030,1706.1265172906,1779.50694487758,1611.42513130446,"BAU"
2021,1575.22139246492,1746.85004651168,1449.7501994899,"GF"
2022,1665.14830275399,1859.16686272708,1556.7520939857,"GF"
2023,1693.45469256678,1836.10431038967,1563.08289204744,"GF"
2024,1724.5108159237,1862.09102540614,1620.65094960188,"GF"
2025,1743.66782743525,1850.92920044039,1624.34659297005,"GF"
2026,1759.36349957146,1834.6779819186,1645.04585276523,"GF"
2027,1768.58716535228,1874.04251781854,1678.57578382447,"GF"
2028,1770.68931745329,1876.11160984314,1652.06447166121,"GF"
2029,1780.54970791797,1857.63423698221,1678.1546943857,"GF"
2030,1786.64793165204,1883.72311169257,1713.51687255694,"GF"
2021,1564.32526348315,1742.83916933284,1428.22553406314,"GF with PBO"
2022,1631.49207881777,1780.46454968492,1481.70694587247,"GF with PBO"
2023,1674.04743629752,1843.28769299596,1545.35455760996,"GF with PBO"
2024,1690.98047792007,1835.07120931332,1548.71843362998,"GF with PBO"
2025,1719.44841856976,1856.56033207593,1597.39832814647,"GF with PBO"
2026,1733.29445799624,1857.30730268293,1606.5918330162,"GF with PBO"
2027,1742.79941196392,1889.63592110261,1620.50435630123,"GF with PBO"
2028,1754.8272629212,1872.34980395985,1636.68195345293,"GF with PBO"
2029,1767.95578402351,1863.22794705123,1648.32238962619,"GF with PBO"
2030,1772.49990185168,1879.82369966096,1644.34714231679,"GF with PBO"
2021,1479.65045355753,1685.89344671813,1327.70206369697,"GF at 80%"
2022,1547.49918039893,1698.48877876749,1397.05322756019,"GF at 80%"
2023,1580.02119714305,1745.91216996143,1396.85988531872,"GF at 80%"
2024,1608.49356980705,1729.11673774006,1466.34815196074,"GF at 80%"
2025,1633.31441116882,1775.20429616791,1451.42044937831,"GF at 80%"
2026,1648.07850495704,1815.55534599732,1432.7249105678,"GF at 80%"
2027,1669.67894155971,1814.88540639659,1522.82098481118,"GF at 80%"
2028,1680.63659670989,1845.93300638381,1494.85544133453,"GF at 80%"
2029,1691.6053259845,1829.65306564344,1493.76620306163,"GF at 80%"
2030,1702.10841376181,1825.95294524316,1533.54923024148,"GF at 80%"
2021,1461.18736193301,1637.80450200905,1302.32206207511,"GF at 80% with PBO"
2022,1535.44275457189,1683.84559236529,1361.29987115398,"GF at 80% with PBO"
2023,1563.24355340813,1719.09567689893,1443.75155541547,"GF at 80% with PBO"
2024,1582.83457865669,1764.45603191654,1446.59013064231,"GF at 80% with PBO"
2025,1610.90586934236,1784.11599635481,1520.07780267669,"GF at 80% with PBO"
2026,1625.65166372025,1812.48489603163,1520.17309929256,"GF at 80% with PBO"
2027,1642.77922871818,1801.10631101592,1537.12237447071,"GF at 80% with PBO"
2028,1660.02656827103,1797.35070089759,1580.34062993058,"GF at 80% with PBO"
2029,1660.73169497053,1765.4692778644,1549.00865275117,"GF at 80% with PBO"
2030,1671.23419419243,1767.25365506888,1549.45711278661,"GF at 80% with PBO"
2020,1125.76042749336,1326.7813910624,979.564383991446,"BAU"
2020,1125.76042749336,1326.7813910624,979.564383991446,"GF"
2020,1125.76042749336,1326.7813910624,979.564383991446,"GF with PBO"
2020,1125.76042749336,1326.7813910624,979.564383991446,"GF at 80%"
2020,1125.76042749336,1326.7813910624,979.564383991446,"GF at 80% with PBO"
