"year","mean_burden","max_burden","min_burden","scenario"
2012,1136.22019416995,1198.46684753051,1077.57798214031,"to-present"
2013,1242.0599428005,1293.02423440502,1180.65062979649,"to-present"
2014,1041.96248045711,1097.08811039311,968.610637085177,"to-present"
2015,798.843538043589,916.836413849319,656.337495800067,"to-present"
2016,1196.06083486888,1251.63740894091,1124.02307990767,"to-present"
2017,1219.52007991603,1278.18160117461,1167.72887725914,"to-present"
2018,726.523773021361,837.629337620535,618.387041785415,"to-present"
2019,1166.15978949501,1230.05315697217,1079.56913271559,"to-present"
2020,1003.33688734869,1088.63167117821,913.74950460618,"to-present"
2021,1400.75711401881,1445.38447209407,1350.5331302346,"BAU"
2022,1500.03465887237,1583.02702133029,1424.73944972339,"BAU"
2023,1151.40886496602,1224.04418042805,1092.44923803118,"BAU"
2024,1505.52919893844,1569.1347495239,1424.31137526372,"BAU"
2025,1535.01894681179,1585.83238255309,1471.24978507569,"BAU"
2026,1150.4494358995,1225.31324932192,1069.06084024221,"BAU"
2027,1498.65507290745,1537.11587006798,1438.86085032548,"BAU"
2028,1525.86684990413,1573.2460306832,1455.25293397854,"BAU"
2029,1136.61202971063,1203.01140046458,1079.86691216719,"BAU"
2030,1483.18835494141,1527.41704979533,1401.11217515065,"BAU"
2021,1368.99511289557,1422.12540477776,1307.92746617805,"GF"
2022,1403.32151486934,1486.43072852465,1324.70950529288,"GF"
2023,705.339149832973,826.507422206658,563.690828685174,"GF"
2024,1222.74388972481,1327.06660122262,1121.70230558486,"GF"
2025,1445.18419207008,1538.37611327506,1331.80996776249,"GF"
2026,770.827755708264,917.702780045564,623.122324059876,"GF"
2027,1351.43000007796,1407.65259828883,1286.66080489671,"GF"
2028,1533.37641047681,1590.00286691015,1453.40215218602,"GF"
2029,813.255007694163,956.930304043039,675.795574805648,"GF"
2030,1433.24242446306,1501.73050035237,1352.2044294872,"GF"
2021,1368.99511343794,1422.1254087023,1307.92747036401,"GF with PBO"
2022,1403.32151340123,1486.43072619682,1324.70953608573,"GF with PBO"
2023,705.339147502625,826.507415163739,563.690812052063,"GF with PBO"
2024,1222.7438894737,1327.06660255839,1121.70229398303,"GF with PBO"
2025,1445.1841906313,1538.37611903553,1331.80996555123,"GF with PBO"
2026,770.827756136219,917.702767956123,623.12232005476,"GF with PBO"
2027,1351.42999758123,1407.65260019685,1286.66081338928,"GF with PBO"
2028,1533.37641745524,1590.00286132389,1453.40217116288,"GF with PBO"
2029,813.255006342826,956.930295333904,675.795562318175,"GF with PBO"
2030,1433.24242580423,1501.73051553677,1352.20441618331,"GF with PBO"
2021,1356.9919407406,1420.23782643571,1283.4215090351,"GF at 80%"
2022,1361.1412694088,1423.96268785532,1279.53593718194,"GF at 80%"
2023,625.555039788365,727.21273552402,519.367621514712,"GF at 80%"
2024,1151.63892194996,1272.55189873567,926.416401909154,"GF at 80%"
2025,1365.20892323878,1429.86980849627,1210.18001937158,"GF at 80%"
2026,689.398203607152,788.212560405236,574.10380427807,"GF at 80%"
2027,1294.61117729317,1360.91465945779,1139.77507036933,"GF at 80%"
2028,1474.82312349427,1532.91627361697,1371.34360723577,"GF at 80%"
2029,734.89054601054,863.879338901113,624.107644423657,"GF at 80%"
2030,1381.31404016878,1470.72247128477,1267.2888467733,"GF at 80%"
2021,1356.9919407406,1420.23782643571,1283.4215090351,"GF at 80% with PBO"
2022,1361.1412694088,1423.96268785532,1279.53593718194,"GF at 80% with PBO"
2023,625.555039788365,727.21273552402,519.367621514712,"GF at 80% with PBO"
2024,1151.63892194996,1272.55189873567,926.416401909154,"GF at 80% with PBO"
2025,1365.20892323878,1429.86980849627,1210.18001937158,"GF at 80% with PBO"
2026,689.398203607152,788.212560405236,574.10380427807,"GF at 80% with PBO"
2027,1294.61117729317,1360.91465945779,1139.77507036933,"GF at 80% with PBO"
2028,1474.82312349427,1532.91627361697,1371.34360723577,"GF at 80% with PBO"
2029,734.89054601054,863.879338901113,624.107644423657,"GF at 80% with PBO"
2030,1381.31404016878,1470.72247128477,1267.2888467733,"GF at 80% with PBO"
2020,1003.33688734869,1088.63167117821,913.74950460618,"BAU"
2020,1003.33688734869,1088.63167117821,913.74950460618,"GF"
2020,1003.33688734869,1088.63167117821,913.74950460618,"GF with PBO"
2020,1003.33688734869,1088.63167117821,913.74950460618,"GF at 80%"
2020,1003.33688734869,1088.63167117821,913.74950460618,"GF at 80% with PBO"
