"year","mean_burden","max_burden","min_burden","scenario"
2012,4.01470363828245,4.62817704177358,3.32310669559097,"to-present"
2013,3.79598586177377,4.57405446565626,3.34840305961765,"to-present"
2014,2.78081662902256,3.44549197217003,2.1461585384532,"to-present"
2015,2.17928162523965,2.77312617910899,1.70626780809709,"to-present"
2016,2.66240135261617,3.28794104847629,2.0349654754737,"to-present"
2017,2.71728496601168,3.62002472736928,2.16186087878217,"to-present"
2018,1.75658376346549,2.13709968685544,1.34328795259084,"to-present"
2019,2.58139484868305,3.32346722298914,1.9834902026124,"to-present"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"to-present"
2021,3.01824936105906,3.48572362210024,2.57858930367529,"BAU"
2022,3.08817641845953,3.95786801562704,2.35274300209195,"BAU"
2023,2.30711149531094,2.87587552102293,1.78072625967816,"BAU"
2024,3.12388791459964,3.62675704684765,2.42802547410923,"BAU"
2025,3.29840550074378,4.35859915054988,2.50509643547733,"BAU"
2026,2.27499528006392,2.77817156845695,1.73144505090751,"BAU"
2027,3.13543336789158,3.59180320719695,2.74863038765953,"BAU"
2028,3.12318288148465,3.61436051423651,2.56123907146672,"BAU"
2029,2.31936315256723,2.88547614977741,1.70415082958391,"BAU"
2030,3.17734575999092,3.76833909993211,2.5962071576222,"BAU"
2021,2.39275970356704,2.92409572290131,1.75040378110412,"GF"
2022,2.51715852872651,3.26634064092821,1.86552791053018,"GF"
2023,1.76388254407126,2.32512146264684,1.12466585842701,"GF"
2024,2.27712524164928,2.97028824269416,1.68418805634218,"GF"
2025,2.57425003957715,3.04897623217116,1.97677240921581,"GF"
2026,1.67067499495056,2.07604398833103,1.19672451355279,"GF"
2027,2.45411554594091,2.97515607997002,1.98104587555389,"GF"
2028,2.61100519572607,3.30815361080396,1.94007649850472,"GF"
2029,1.7032021955223,2.3271030136299,1.27594167780974,"GF"
2030,2.44558399821196,2.99916693347773,2.08938781894582,"GF"
2021,2.33851228098204,2.98263590089681,1.68350150218663,"GF with PBO"
2022,2.48884147419118,3.17843507818889,1.85027189043687,"GF with PBO"
2023,1.50782067067799,1.98353080058357,1.06990916693317,"GF with PBO"
2024,2.11656525836605,2.70051102729625,1.49529572879944,"GF with PBO"
2025,2.40081322195784,2.87114542236293,1.74832109154969,"GF with PBO"
2026,1.56306917685827,1.99166466444131,1.16610225573919,"GF with PBO"
2027,2.28738235658511,2.7402471257974,1.71511402299559,"GF with PBO"
2028,2.49616977803303,2.92549330444573,1.88593505005482,"GF with PBO"
2029,1.59250320476079,2.17484466558361,1.08677829473032,"GF with PBO"
2030,2.27687633993551,2.73493944132472,1.84662031369255,"GF with PBO"
2021,2.13559812051054,2.59971577070386,1.43008558451519,"GF at 80%"
2022,2.19162328860834,2.84106252345085,1.65030222369226,"GF at 80%"
2023,1.4067389164759,2.07815245985262,0.958757634715097,"GF at 80%"
2024,1.9822075555177,2.70924245023514,1.3609601823427,"GF at 80%"
2025,2.17887172091352,2.88504182402907,1.52214866763729,"GF at 80%"
2026,1.37412982599756,2.05396026693431,1.01439212952168,"GF at 80%"
2027,2.1311282597491,3.08523214001506,1.48465893488526,"GF at 80%"
2028,2.22448057732721,2.63989429325056,1.81368173905192,"GF at 80%"
2029,1.44518154236014,1.98139815824496,0.886332803383794,"GF at 80%"
2030,2.10897798830362,2.66734218789436,1.42034985652099,"GF at 80%"
2021,2.07360927529596,2.74731793863272,1.40121462012371,"GF at 80% with PBO"
2022,2.07840535168872,2.85357281517896,1.57326020143952,"GF at 80% with PBO"
2023,1.25833783092081,1.62121031087779,0.827899843831906,"GF at 80% with PBO"
2024,1.92989651590603,2.51443947377529,1.47287427682073,"GF at 80% with PBO"
2025,2.16358603748115,2.74254010412339,1.57550323153123,"GF at 80% with PBO"
2026,1.29817404278339,2.27998783583703,0.922221122389567,"GF at 80% with PBO"
2027,2.0569230848718,2.70870802815879,1.53006433317511,"GF at 80% with PBO"
2028,2.1085260694402,2.64423353024126,1.70519142818772,"GF at 80% with PBO"
2029,1.36631401549797,1.82325771273807,0.980942159023546,"GF at 80% with PBO"
2030,1.95680921748847,2.75769574379336,1.38231765847945,"GF at 80% with PBO"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"BAU"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"GF"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"GF with PBO"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"GF at 80%"
2020,2.04095604558542,2.53955836970858,1.55837182179051,"GF at 80% with PBO"
