"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.256482441004042,0.272529083921752,0.236455893674474,"to-present"
1,2013,"2013-01-01",0.249137130478045,0.267303328448674,0.227272701124186,"to-present"
1,2014,"2014-01-01",0.239202571632359,0.253513938803933,0.21787307020458,"to-present"
1,2015,"2015-01-01",0.13861093297507,0.156260749986446,0.117415279545219,"to-present"
1,2016,"2016-01-01",0.186823697979932,0.201360310748073,0.167897449220467,"to-present"
1,2017,"2017-01-01",0.201465822683418,0.217454365574235,0.185412090141239,"to-present"
1,2018,"2018-01-01",0.120827137696416,0.136177193579386,0.100699327129159,"to-present"
1,2019,"2019-01-01",0.157722113938414,0.173085939876527,0.137825126788234,"to-present"
1,2020,"2020-01-01",0.178987747212404,0.19856715985491,0.155673434915656,"to-present"
2,2012,"2012-02-01",0.238582258427931,0.257914939474016,0.220820694083577,"to-present"
2,2013,"2013-02-01",0.234775085346311,0.253414471115146,0.21275408210307,"to-present"
2,2014,"2014-02-01",0.225031440846849,0.243146215559195,0.204817893136781,"to-present"
2,2015,"2015-02-01",0.131929223086125,0.150059921046486,0.109413615506257,"to-present"
2,2016,"2016-02-01",0.176116325531197,0.191290211594637,0.159108162796856,"to-present"
2,2017,"2017-02-01",0.193624973164359,0.209589093204032,0.17878490293777,"to-present"
2,2018,"2018-02-01",0.112009683297185,0.125955125413894,0.0918069249998428,"to-present"
2,2019,"2019-02-01",0.155225893265076,0.173454610701459,0.137323482375136,"to-present"
2,2020,"2020-02-01",0.147764008004708,0.163340237363622,0.129194474187577,"to-present"
3,2012,"2012-03-01",0.20980182840212,0.225196780143351,0.192030728596112,"to-present"
3,2013,"2013-03-01",0.205673027167684,0.223040932280145,0.184800912095277,"to-present"
3,2014,"2014-03-01",0.19581651302656,0.217030105836372,0.17201443896635,"to-present"
3,2015,"2015-03-01",0.116796179567941,0.136966196993092,0.0986382422653057,"to-present"
3,2016,"2016-03-01",0.155339947319703,0.168068525376616,0.142475230850631,"to-present"
3,2017,"2017-03-01",0.170682033998696,0.184367110888398,0.154026936994908,"to-present"
3,2018,"2018-03-01",0.0956725242316069,0.110254613150243,0.0727228368954671,"to-present"
3,2019,"2019-03-01",0.139050259248673,0.153464496099933,0.119119566849337,"to-present"
3,2020,"2020-03-01",0.112862453459158,0.127235991074722,0.0938360582077761,"to-present"
4,2012,"2012-04-01",0.209781367839421,0.225186450718121,0.189244994579825,"to-present"
4,2013,"2013-04-01",0.205119458744772,0.223670403421563,0.187177938303157,"to-present"
4,2014,"2014-04-01",0.196134431453375,0.216150657851928,0.176245129410412,"to-present"
4,2015,"2015-04-01",0.126610710704552,0.144999151910085,0.108389702253417,"to-present"
4,2016,"2016-04-01",0.160323417729793,0.176292537156724,0.144406930983458,"to-present"
4,2017,"2017-04-01",0.172597258457614,0.188885082601465,0.155504309138622,"to-present"
4,2018,"2018-04-01",0.107203765713056,0.120189891025715,0.0904419399708626,"to-present"
4,2019,"2019-04-01",0.14797884756492,0.163042143690403,0.130137367212086,"to-present"
4,2020,"2020-04-01",0.114354888215373,0.130886972370286,0.0927391741384512,"to-present"
5,2012,"2012-05-01",0.219166300954468,0.239108652328708,0.198451570605752,"to-present"
5,2013,"2013-05-01",0.214526079951244,0.23273488938924,0.193856989960551,"to-present"
5,2014,"2014-05-01",0.203163424511476,0.219587527744373,0.181416970514819,"to-present"
5,2015,"2015-05-01",0.134320929173567,0.153282069129523,0.120108551981679,"to-present"
5,2016,"2016-05-01",0.166100256356117,0.179982897636854,0.148842845602858,"to-present"
5,2017,"2017-05-01",0.176242868845606,0.194885504636432,0.160543271476781,"to-present"
5,2018,"2018-05-01",0.108338260143972,0.123793364616528,0.0901692281754227,"to-present"
5,2019,"2019-05-01",0.152114003637973,0.168743789604241,0.134370497428044,"to-present"
5,2020,"2020-05-01",0.115260106610178,0.132550223575956,0.094229792737346,"to-present"
6,2012,"2012-06-01",0.230919820413811,0.252475569830082,0.208670097695363,"to-present"
6,2013,"2013-06-01",0.224580876835673,0.243533335877099,0.204023422817943,"to-present"
6,2014,"2014-06-01",0.214598053507146,0.233315282011227,0.192913687430909,"to-present"
6,2015,"2015-06-01",0.147800906436727,0.163135803395146,0.133392023322441,"to-present"
6,2016,"2016-06-01",0.174303631690281,0.188467263711208,0.157204971796593,"to-present"
6,2017,"2017-06-01",0.181701784305326,0.199940360802109,0.163795780398292,"to-present"
6,2018,"2018-06-01",0.106276251522021,0.120606828414719,0.0921012682527639,"to-present"
6,2019,"2019-06-01",0.156422790524106,0.172580694112509,0.136664210420445,"to-present"
6,2020,"2020-06-01",0.120276991202671,0.138125901154595,0.0981895787014298,"to-present"
7,2012,"2012-07-01",0.217622252032261,0.238309945137811,0.196484971645214,"to-present"
7,2013,"2013-07-01",0.210925359517587,0.226863745824615,0.19260881780238,"to-present"
7,2014,"2014-07-01",0.20011706406697,0.221283969064911,0.179328997298669,"to-present"
7,2015,"2015-07-01",0.139102314782731,0.15374748619483,0.122330184404786,"to-present"
7,2016,"2016-07-01",0.160819488726707,0.174144979987071,0.144755291961491,"to-present"
7,2017,"2017-07-01",0.164225683365083,0.178100896692943,0.147276127443176,"to-present"
7,2018,"2018-07-01",0.0958846179388043,0.112978700811326,0.0800682686733252,"to-present"
7,2019,"2019-07-01",0.140513205836702,0.155010424610782,0.121861261001527,"to-present"
7,2020,"2020-07-01",0.10883658911542,0.126502490002341,0.08853962446573,"to-present"
8,2012,"2012-08-01",0.181942333829135,0.204493193315964,0.161568714484905,"to-present"
8,2013,"2013-08-01",0.174793472703241,0.194523868375427,0.148994881350885,"to-present"
8,2014,"2014-08-01",0.154216833138321,0.170147292530404,0.136205617007382,"to-present"
8,2015,"2015-08-01",0.117280678253474,0.129304790437423,0.102002511641646,"to-present"
8,2016,"2016-08-01",0.132681427982475,0.145638343686673,0.119033769938291,"to-present"
8,2017,"2017-08-01",0.134210723246917,0.146009068795823,0.11703198343208,"to-present"
8,2018,"2018-08-01",0.0785976101531692,0.0908117519618192,0.0642730316030199,"to-present"
8,2019,"2019-08-01",0.112754508700059,0.127772876394799,0.094894044312471,"to-present"
8,2020,"2020-08-01",0.0877556363378865,0.10386721591768,0.0687804185479077,"to-present"
9,2012,"2012-09-01",0.168870323183889,0.18834704438539,0.148746909259666,"to-present"
9,2013,"2013-09-01",0.162880589887527,0.184802199617499,0.137962824549548,"to-present"
9,2014,"2014-09-01",0.114753438899583,0.128618688299013,0.0949803771368149,"to-present"
9,2015,"2015-09-01",0.116166826587441,0.129764217086231,0.101057806381177,"to-present"
9,2016,"2016-09-01",0.127382314614702,0.139946746351942,0.111602911326178,"to-present"
9,2017,"2017-09-01",0.13031398469188,0.147066157355406,0.11098839498176,"to-present"
9,2018,"2018-09-01",0.0833889992897302,0.095205596867614,0.0660798488377564,"to-present"
9,2019,"2019-09-01",0.111084635397306,0.126016102962238,0.0926941214468022,"to-present"
9,2020,"2020-09-01",0.0903900840650758,0.105311182404639,0.0724209709282933,"to-present"
10,2012,"2012-10-01",0.218822476414732,0.243519537193484,0.196070386623087,"to-present"
10,2013,"2013-10-01",0.209674831404817,0.228230098079534,0.190608817943471,"to-present"
10,2014,"2014-10-01",0.132958713353905,0.146134336242968,0.112241999873783,"to-present"
10,2015,"2015-10-01",0.155223094598502,0.169411255856517,0.137289419644538,"to-present"
10,2016,"2016-10-01",0.17052617522807,0.183907169029616,0.155290866314022,"to-present"
10,2017,"2017-10-01",0.162910282116749,0.177965646408119,0.145589322268413,"to-present"
10,2018,"2018-10-01",0.117709702412554,0.130823532844789,0.101624724103458,"to-present"
10,2019,"2019-10-01",0.155358979008823,0.17190936588856,0.13480978053377,"to-present"
10,2020,"2020-10-01",0.130519850962073,0.149875147061775,0.113073085963285,"to-present"
11,2012,"2012-11-01",0.253747598942467,0.277374731284047,0.229875479594844,"to-present"
11,2013,"2013-11-01",0.241987841559329,0.262137241865774,0.221223296146988,"to-present"
11,2014,"2014-11-01",0.141517216336504,0.158331365684361,0.115738090023934,"to-present"
11,2015,"2015-11-01",0.18065689933291,0.198556220389042,0.165092525164101,"to-present"
11,2016,"2016-11-01",0.195443831342981,0.210170055455764,0.176765463143841,"to-present"
11,2017,"2017-11-01",0.152134272056764,0.16981324774277,0.132557876861457,"to-present"
11,2018,"2018-11-01",0.139974181278593,0.156283066707869,0.121251843529328,"to-present"
11,2019,"2019-11-01",0.184505401361893,0.202386574182223,0.162985858591312,"to-present"
11,2020,"2020-11-01",0.156372183337056,0.176666935905448,0.139387213861732,"to-present"
12,2012,"2012-12-01",0.254987142063914,0.274553015245225,0.232062954006178,"to-present"
12,2013,"2013-12-01",0.244163945861795,0.261108682322884,0.225592444452911,"to-present"
12,2014,"2014-12-01",0.139808592545087,0.156158030770815,0.114474524210535,"to-present"
12,2015,"2015-12-01",0.184831634843784,0.205820766336356,0.165452396935824,"to-present"
12,2016,"2016-12-01",0.196928321171231,0.216837970240387,0.180336925952986,"to-present"
12,2017,"2017-12-01",0.133026432576353,0.147692861524904,0.112662483515206,"to-present"
12,2018,"2018-12-01",0.14663757511256,0.162130062081549,0.130079241033816,"to-present"
12,2019,"2019-12-01",0.186385636872751,0.202259369968936,0.165415131400529,"to-present"
12,2020,"2020-12-01",0.163783625837005,0.181959690404433,0.146178671749391,"to-present"
1,2021,"2021-01-01",0.175325324920968,0.192762144159464,0.161019994760406,"BAU"
1,2022,"2022-01-01",0.213129507692516,0.22634189299422,0.193820104741241,"BAU"
1,2023,"2023-01-01",0.161675549032093,0.174128877824514,0.139066200987561,"BAU"
1,2024,"2024-01-01",0.193816865271064,0.206069465876054,0.180353491043228,"BAU"
1,2025,"2025-01-01",0.218778838265063,0.230650743489231,0.204156954407469,"BAU"
1,2026,"2026-01-01",0.163100584432884,0.176733606757238,0.141230700749037,"BAU"
1,2027,"2027-01-01",0.195133723548953,0.207421480018932,0.180863319993757,"BAU"
1,2028,"2028-01-01",0.217144770564946,0.231365561813882,0.201070941310953,"BAU"
1,2029,"2029-01-01",0.163062260972418,0.175202407781309,0.143191762082413,"BAU"
1,2030,"2030-01-01",0.194367024968717,0.208034855976764,0.176770691323647,"BAU"
2,2021,"2021-02-01",0.168168708945205,0.189239984224358,0.153017039108823,"BAU"
2,2022,"2022-02-01",0.199415308673997,0.213326042252527,0.180277614341526,"BAU"
2,2023,"2023-02-01",0.141462166391558,0.155997111945727,0.118606712363878,"BAU"
2,2024,"2024-02-01",0.183949884151968,0.201639737913098,0.166804771641235,"BAU"
2,2025,"2025-02-01",0.203952775192127,0.218721503023494,0.189103593631711,"BAU"
2,2026,"2026-02-01",0.142681938512058,0.158753955820627,0.124636565901642,"BAU"
2,2027,"2027-02-01",0.184235656960454,0.198597371586671,0.168705053699376,"BAU"
2,2028,"2028-02-01",0.20263449289961,0.217448023993436,0.187734102641384,"BAU"
2,2029,"2029-02-01",0.142629678186111,0.154280901910353,0.120912422308955,"BAU"
2,2030,"2030-02-01",0.182926966818387,0.195915264962556,0.166662327431294,"BAU"
3,2021,"2021-03-01",0.145229475954507,0.163079008100386,0.131059491305074,"BAU"
3,2022,"2022-03-01",0.169244196302958,0.182959833774518,0.148064379516078,"BAU"
3,2023,"2023-03-01",0.11494883344289,0.132827155307465,0.0954660278688559,"BAU"
3,2024,"2024-03-01",0.158203049737055,0.17370659777677,0.142633571628583,"BAU"
3,2025,"2025-03-01",0.172369580613925,0.186779934200364,0.154212496300091,"BAU"
3,2026,"2026-03-01",0.116364186679455,0.131083199592891,0.0976391445892058,"BAU"
3,2027,"2027-03-01",0.158576971094546,0.174126271073913,0.141718085589757,"BAU"
3,2028,"2028-03-01",0.172543553979596,0.189019734229462,0.153841329686895,"BAU"
3,2029,"2029-03-01",0.116324704163295,0.127671136727103,0.0983280608521699,"BAU"
3,2030,"2030-03-01",0.157096797861195,0.171311156349535,0.139643966166735,"BAU"
4,2021,"2021-04-01",0.153753960113898,0.171924728078899,0.139714555079718,"BAU"
4,2022,"2022-04-01",0.17234852467244,0.187754313002715,0.15310251218738,"BAU"
4,2023,"2023-04-01",0.123248189920307,0.138572743329437,0.10474041076492,"BAU"
4,2024,"2024-04-01",0.16442707463867,0.179030625250639,0.147966264399269,"BAU"
4,2025,"2025-04-01",0.175259203145484,0.191454070611719,0.155440227076647,"BAU"
4,2026,"2026-04-01",0.124550483879953,0.136716843526092,0.103662253503679,"BAU"
4,2027,"2027-04-01",0.165228755538502,0.177753577704359,0.146915367180111,"BAU"
4,2028,"2028-04-01",0.175082600828196,0.191126690402496,0.157401072586387,"BAU"
4,2029,"2029-04-01",0.123419714834207,0.139785684969091,0.105500900920012,"BAU"
4,2030,"2030-04-01",0.16410394380694,0.181721058768348,0.147347077840796,"BAU"
5,2021,"2021-05-01",0.162768092729911,0.181177073177307,0.145317132955155,"BAU"
5,2022,"2022-05-01",0.179863496687446,0.193147418432119,0.163942343455679,"BAU"
5,2023,"2023-05-01",0.129012147103851,0.144279643234134,0.112427941419624,"BAU"
5,2024,"2024-05-01",0.17254966708009,0.188220349332661,0.156822098359453,"BAU"
5,2025,"2025-05-01",0.18215385814975,0.196823417709825,0.16476804789563,"BAU"
5,2026,"2026-05-01",0.131196371694846,0.144313579671465,0.11507937565017,"BAU"
5,2027,"2027-05-01",0.17229632899934,0.187659780282416,0.155805819337255,"BAU"
5,2028,"2028-05-01",0.182957055354439,0.197318365233533,0.164479970317128,"BAU"
5,2029,"2029-05-01",0.130443188818411,0.14726158302055,0.110185120418666,"BAU"
5,2030,"2030-05-01",0.173104597414183,0.190891104227683,0.157211107366076,"BAU"
6,2021,"2021-06-01",0.178000867577192,0.197770736761566,0.159239771864827,"BAU"
6,2022,"2022-06-01",0.192543165705158,0.21006459535708,0.175547028516796,"BAU"
6,2023,"2023-06-01",0.144310298465585,0.159336506824512,0.128571727873535,"BAU"
6,2024,"2024-06-01",0.186565106885936,0.201728224253662,0.170121872688226,"BAU"
6,2025,"2025-06-01",0.195252835295576,0.209865988740488,0.176555056185931,"BAU"
6,2026,"2026-06-01",0.145406142636491,0.15797311104534,0.128088533098687,"BAU"
6,2027,"2027-06-01",0.186806907919303,0.201128901017487,0.16727986926029,"BAU"
6,2028,"2028-06-01",0.195489276239973,0.212485832400212,0.179424225311274,"BAU"
6,2029,"2029-06-01",0.144965975600882,0.160101540507092,0.127286024345554,"BAU"
6,2030,"2030-06-01",0.18680677291549,0.201377715934702,0.166980503469338,"BAU"
7,2021,"2021-07-01",0.164643076080325,0.183168715582279,0.145303438755373,"BAU"
7,2022,"2022-07-01",0.177028578620832,0.193742065623264,0.158588631499676,"BAU"
7,2023,"2023-07-01",0.134159932710118,0.15037118607857,0.120305471015951,"BAU"
7,2024,"2024-07-01",0.172010386106844,0.187667021653383,0.155131792157333,"BAU"
7,2025,"2025-07-01",0.180947120030782,0.194979309700639,0.163540621522758,"BAU"
7,2026,"2026-07-01",0.135045519912994,0.148096653879877,0.119838245087008,"BAU"
7,2027,"2027-07-01",0.173128300465591,0.185046395390284,0.15605434393356,"BAU"
7,2028,"2028-07-01",0.1802025367823,0.195701049585974,0.162873571582929,"BAU"
7,2029,"2029-07-01",0.13381780182879,0.147081864871698,0.11962232774269,"BAU"
7,2030,"2030-07-01",0.172026892769102,0.186659355538913,0.155020102586218,"BAU"
8,2021,"2021-08-01",0.13560864410988,0.153988718725466,0.117954604376503,"BAU"
8,2022,"2022-08-01",0.145113384412097,0.159459434264977,0.128042954570412,"BAU"
8,2023,"2023-08-01",0.110328826506099,0.121855859102589,0.095801932270233,"BAU"
8,2024,"2024-08-01",0.141890579024803,0.155104903284466,0.128319148639433,"BAU"
8,2025,"2025-08-01",0.148489966144533,0.162070786068068,0.130931345257947,"BAU"
8,2026,"2026-08-01",0.112601783379014,0.127964836937943,0.0974588826044989,"BAU"
8,2027,"2027-08-01",0.142473429270934,0.15688443991959,0.127832678551692,"BAU"
8,2028,"2028-08-01",0.147818425973579,0.160197074442929,0.128669601446468,"BAU"
