"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,41279183.3624383,15424406.876638,28530.7001672172,18378.7250885335,16629.3963526226,12439.0296119156,40977.0121136284,5925.01261842674,1233.03507295702,2530.42521250157,0.852229891597388,0.548984034674913,0.70060696313615,2.72810774092661,2.0406641500568,2.38438594549171,0.182207590495723,0.15561463016513,13659.0040378761,1975.00420614225
2,43129456.4016037,16513764.3312032,31133.7862876791,19477.064317079,17876.108844583,13101.2380818877,43236.8448462797,6246.76546951606,1288.30388803522,2732.07792681926,0.929985705133607,0.581792115661164,0.755888910397385,2.95746756537038,2.16750116203949,2.56248436370493,0.195253291906302,0.173726016884551,14412.2816154266,2082.25515650535
4,42371532.8506097,16803672.8702859,30511.3219521896,19594.3101615832,18327.5651753495,13530.9097933203,42435.334787142,6127.36153671275,1265.66423664507,2784.67125723558,0.911392305390583,0.585294322503843,0.748343313947213,3.0372076600679,2.2423154673723,2.6397615637201,0.192962776589835,0.178261558141724,14145.111595714,2042.45384557092
6,41403179.1331309,15005807.0439161,27297.9601063037,17969.2833487408,15155.6431819593,11653.9411115231,43494.5251010635,6291.11042451842,1236.73890432451,2510.9044156802,0.815407173531492,0.536753753347295,0.676080463439393,2.53597632414472,1.95004054839319,2.24300843626895,0.185266850593118,0.15509290408589,14498.1750336878,2097.03680817281
8,42403292.9216899,16940825.9028033,31939.5495084495,20329.0669764802,19980.4723729799,14091.6352349681,43053.7651783738,6213.21164450211,1266.61292986939,2783.94414476881,0.954054357436763,0.607241968970284,0.780648163203523,3.28345969621633,2.31572684990026,2.79959327305829,0.193113470691155,0.180119818077076,14351.2550594579,2071.07054816737
10,40262929.1864977,14995011.2376622,25618.5585708233,16674.8252291143,16576.0899764966,11799.5365408625,40013.0360355577,5773.51588531197,1202.67892392734,2460.28193133113,0.765242397338038,0.498087478194529,0.631664937766284,2.71969483816484,1.93598964945434,2.32784224380959,0.177630261223826,0.147980655030093,13337.6786785192,1924.50529510399
12,42633011.8534447,16647183.0538774,30837.3686999218,19440.54746693,20152.3741422257,13829.3567079646,42575.5171328545,6144.12745165402,1273.47477830493,2757.18531371084,0.921131526049274,0.580701334465414,0.750916430257344,3.33773166556302,2.29048356649069,2.81410761602685,0.192691441614665,0.172922844070515,14191.8390442848,2048.04248388467
14,40654005.5730846,16033956.4427747,29584.3675832192,19308.5058461349,17464.9646359635,13303.0303565342,41193.8518230422,5943.22364664743,1214.3606206468,2684.24543433066,0.88370359755119,0.576757168513753,0.730230383032472,2.92381058612374,2.22706096431866,2.5754357752212,0.185506421651717,0.168583277929749,13731.2839410141,1981.07454888248
16,41230540.2209584,15237111.9609489,28143.2818750207,17938.8138486256,16059.0294963273,12022.2385818777,43803.5934723912,6330.91136966512,1231.58207184077,2551.35077382998,0.840657464449567,0.53584361028638,0.688250537367974,2.68897527546038,2.01304209010564,2.35100868278301,0.18580466342538,0.157633974068837,14601.1978241304,2110.30378988837
18,42643855.4522274,16936516.6014301,31132.9476906289,19593.018294721,18661.7674738982,13236.3590557668,42584.3228111548,6146.6194806003,1273.79868339527,2793.22330198663,0.929960655714243,0.585255733631173,0.757608194672708,3.07775707313669,2.18298174400914,2.63036940857291,0.191896728794964,0.17458843585491,14194.7742703849,2048.8731602001
20,40548951.6412136,15094509.1340188,28705.1368262466,18383.7024457251,16782.6946892205,12411.5152457226,40635.6076319599,5869.57389125938,1211.22259387403,2471.89281753159,0.857440423906231,0.549132711453082,0.703286567679657,2.74835187370314,2.03252289413251,2.39043738391782,0.183393224397036,0.160039442161673,13545.2025439866,1956.52463041979
22,42563132.7296151,16330185.8211731,31130.5406761538,19991.1820334144,18056.9564089479,13309.6180858024,42743.3551405098,6175.14532616499,1271.38744508923,2718.25232385966,0.929888756683615,0.597149133999052,0.763518945341334,3.00568311089366,2.21546164186991,2.61057237638179,0.192526787277556,0.174917370472144,14247.7850468366,2058.38177538833
