"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,27637012.5792673,10124190.852858,18495.7100591925,11752.9029638267,10552.5539290309,7952.31830111519,27479.5974295622,3968.04599509601,1367.92040111536,2759.25539432944,0.915462879734836,0.58172118605208,0.748592032893458,2.87600182333694,2.16733144294515,2.52166663314104,0.204017182635646,0.171174992467967,9159.86580985406,1322.68199836534
2,28329894.5838924,11280555.1342425,20072.885394655,12729.4808869009,12761.2180452504,8910.41109056728,27552.872208289,3978.21760951987,1402.2152593955,3109.09671128163,0.993526683169716,0.630057845465634,0.811792264317675,3.51719047372041,2.45584809330488,2.98651928351264,0.213748234657833,0.197046832295466,9184.29073609634,1326.07253650662
4,27112515.0372228,10989303.6235505,18365.7497687521,12498.8415719205,12477.6979303839,9235.24617906636,26511.6227460929,3828.3258428714,1341.95989304526,3075.98861178227,0.909030370717503,0.618642131724648,0.763836251221075,3.49260135581907,2.58501476043808,3.03880805812857,0.208732423237647,0.197536082875798,8837.20758203095,1276.10861429047
6,27028321.5981842,10277794.0966947,19787.2729600412,12253.1719086372,12339.3564500436,8731.87626784452,27515.4839072499,3975.67102144391,1337.79265816158,2883.10435478841,0.97939002223359,0.606482476502272,0.792936249367931,3.4614093239957,2.44944686150038,2.95542809274804,0.203294557890574,0.175904279163091,9171.82796908329,1325.22367381464
8,27591904.8012823,11194364.5312337,18113.7879779454,11934.1401590606,11555.7990377547,8444.82655012752,26843.764138182,3873.68113093064,1365.68774845155,3139.45261668917,0.896559280618403,0.590691694571785,0.743625487595094,3.24081670074176,2.36834638860579,2.80458154467378,0.208888273453951,0.198913273604984,8947.921379394,1291.22704364355
10,27268384.4132164,9870540.42313895,17052.4262204488,10598.0755524681,9692.98297711578,7081.92007478943,27411.0156965958,3958.87968945789,1349.67479706099,2681.483088181,0.844026164136324,0.524561897535143,0.684294030835734,2.63324689560378,1.92391177162702,2.2785793336154,0.201217529588877,0.164391247281496,9137.0052321986,1319.62656315263
12,28449497.1363016,11037019.1938932,20890.7850173505,13254.0364853624,14103.9444657944,9570.25114976512,27684.3093744159,3998.02757063376,1408.13510225104,3055.30291645044,1.03400940816543,0.656021227093682,0.845015317629559,3.90429896902232,2.64926750016157,3.27678323459195,0.214499206931991,0.190907851196878,9228.10312480531,1332.67585687792
14,26766519.6211229,10923251.9740401,19000.1413764745,12456.2647769351,11948.0187044905,8868.0029067786,26103.0272372433,3762.98146805709,1324.83451862145,3023.33040530462,0.940430190796137,0.616534752487925,0.778482471642031,3.30696465835294,2.45447993748671,2.88072229791982,0.201657735775255,0.187244613496405,8701.0090790811,1254.32715601903
16,27404947.0387933,10728741.804736,18821.6638292211,12282.5516784422,11481.8457716809,8314.18599661172,27583.7018462866,3983.07466173544,1356.4340949779,2950.23667041792,0.9315962736957,0.607936656341032,0.769766465018366,3.15732851588831,2.28627148069229,2.7217999982903,0.204028387713024,0.179607873270123,9194.56728209554,1327.69155391181
18,27543800.3767932,11170471.7044866,18175.7698993803,11847.6017187742,11614.9050881697,8403.84590685422,26678.1234696078,3851.62901224437,1363.30677389963,3084.48930995042,0.899627135169899,0.586408391605916,0.743017763387907,3.20721018129955,2.32054415855608,2.76387716992782,0.206644200312467,0.194404972986095,8892.70782320261,1283.87633741479
20,26998872.6132074,10002976.6303393,18205.9411512134,12427.8684382283,11290.9565200628,8562.24417243806,27313.4396730801,3944.00037273582,1336.33505245161,2703.77496221757,0.901120490169515,0.61512924851304,0.758124869341277,3.05191211242463,2.31434924516525,2.68313067879494,0.204920158247654,0.176905024313489,9104.47989102669,1314.66679091194
22,27719968.4204398,11031367.7066512,20534.3075275379,13092.8375323886,12595.1715735684,9140.58812194746,27493.5243929364,3968.78258314764,1372.02637990761,3010.92827466445,1.01636521346622,0.648042530562036,0.83220387201413,3.43775669740767,2.49485430594792,2.96630550167779,0.208677422658839,0.18920525579375,9164.5081309788,1322.92752771588
24,27473450.2412264,11511260.9461583,21534.0552198885,13263.6796880481,13828.6849908114,9431.50861473647,26464.9274435204,3819.2661433849,1359.82472657678,3175.36870390956,1.06584868279606,0.656498526644349,0.861173604720203,3.81462758436564,2.60167130481761,3.20814944459162,0.208639739236905,0.200503869367872,8821.64248117348,1273.08871446163
26,26660613.0596463,10346061.5644834,18571.2342339159,12053.4907686146,11302.748440905,8365.00141708386,27256.4582226119,3936.23917843499,1319.59257195155,2860.4018597063,0.919201021080082,0.596599067274465,0.757900044177274,3.12489950486499,2.31269314035511,2.71879632261005,0.202791953790286,0.179808134930319,9085.48607420398,1312.079726145
28,28032302.9055361,11572638.1186792,18609.0715776986,12483.6503981232,12112.9475989741,9119.51015438783,27147.6322695849,3918.46983197806,1387.48567431975,3188.6890561308,0.921073816641317,0.617890230031418,0.769482023336368,3.33756426583423,2.51276173404523,2.92516299993973,0.209038462630539,0.194568753511334,9049.21075652829,1306.15661065935
30,27743023.9344611,10172180.1634585,20606.413073849,12637.2383420948,13388.7012500842,8902.52445192145,27469.841501388,3966.37948582221,1373.16753465063,2699.28912375593,1.01993414652473,0.625492212384663,0.822713179454697,3.55282496818088,2.36237335958396,2.95759916388242,0.203096868220926,0.169473333712107,9156.61383379601,1322.12649527407
32,28007636.9890685,11218447.1262997,20584.6036508871,13563.8692490859,12558.2531950584,9295.42097566905,27596.2190356272,3987.05366670648,1386.26481116562,3076.51721999173,1.01885466825187,0.671356696410992,0.845105682331432,3.44394208687213,2.54915162292615,2.99654685489914,0.214445363825731,0.201615095673835,9198.73967854238,1329.01788890216
34,26755189.8918261,10801141.5286193,20813.6499277202,13146.5512467432,13104.6607001775,9171.944609618,25959.8888412275,3747.18419149907,1324.27374282125,2993.94611086561,1.03019153304436,0.650701142286967,0.840446337665663,3.63245383217612,2.5423523819478,3.08740310706196,0.20398489280901,0.191707767365513,8653.29628040918,1249.06139716636
36,26911186.4389972,10531668.7442149,19082.7224800768,11924.3463387523,11234.3570375788,7932.4642332922,27483.5444185241,3967.64301411417,1331.99494129619,2915.01072493215,0.944517621593521,0.590206940057665,0.767362280825593,3.10950449046814,2.19558921542127,2.65254685294471,0.204807311355221,0.186702322594799,9161.18147284136,1322.54767137139
38,26995012.2943062,10917665.9378183,20174.5176886533,13003.7725842754,12841.2752953607,9243.46775233122,26516.6298521279,3827.0202184391,1336.1439822712,3046.25353827202,0.998557070877998,0.643634175672054,0.821095623275026,3.58298014678354,2.57911778092646,3.081048963855,0.201916516268847,0.188756999338619,8838.87661737596,1275.67340614637
40,27628817.0423849,10089916.8281933,19168.1434759462,12344.87488614,11165.0434835253,8416.31168077093,27509.8228268241,3972.285545228,1367.51475516982,2769.02341756853,0.948745615577972,0.611021403182905,0.779883509380439,3.06407549145161,2.30972807114636,2.68690178129899,0.206499196209687,0.175851703606845,9169.9409422747,1324.09518174267
42,27824114.0550757,10878929.964016,20945.7754456483,13440.0382773529,12454.6350516322,9139.3259989668,27322.9801371932,3945.71717372178,1377.18116781737,2999.96584139953,1.03673121206949,0.665227563892137,0.850979387980812,3.43448113422737,2.52025391293112,2.97736752357925,0.209863404830692,0.190434150340763,9107.66004573107,1315.23905790726
44,27250112.1102027,11059861.9189691,19050.2460227082,12263.0863365883,12517.4679326817,8716.58072815061,26508.415372309,3825.78694525277,1348.7703919269,3156.45193429636,0.942910168238602,0.606973200607158,0.77494168442288,3.57244838661499,2.48768640163873,3.03006739412686,0.205630861905163,0.192469685081165,8836.13845743635,1275.26231508426
46,26806251.9497879,10262224.4839793,19363.8217133671,12259.6785572251,10841.4524370564,8059.08213657727,27507.2356498598,3972.70029402392,1326.80110827396,2857.42486856367,0.958430897308572,0.606804529304497,0.782617713306535,3.01870572538701,2.24397953395028,2.63134262966865,0.202043694298839,0.178547164350759,9169.07854995326,1324.23343134131
48,28172379.512266,11484558.8999429,20523.3685971802,13491.7830535835,12795.7369903254,9415.58872832033,27459.0092764349,3963.57762015109,1394.4189000986,3206.87286726479,1.01582378063372,0.667788721139291,0.841806250886508,3.57299763346898,2.62914721281327,3.10107242314112,0.213667048009288,0.203029555304644,9153.00309214497,1321.19254005036
