"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4716707.05739086,2465995.40472739,4477.97643846714,2788.80364879109,3059.96333730682,2094.79192918257,4149.88425458209,598.795410099156,1586.99561962896,4408.87833124447,1.50667168984206,0.938328185487305,1.22249993766468,5.47081556859022,3.74521490483468,4.60801523671245,0.242660882304894,0.273694809897513,1383.29475152736,199.598470033052
2,4688015.73219979,2482854.55204513,4225.02493221444,2752.55953974522,2852.20099632785,2032.31133600656,4149.83798350749,598.77603818478,1577.3420611515,4640.06465071761,1.42156296302966,0.926133397557233,1.17384818029345,5.33031506372421,3.79807024204828,4.56419265288625,0.249422374273892,0.302330824119394,1383.27932783583,199.59201272826
4,4392525.97032679,2252344.92704743,3197.03898268215,2149.30249032303,2029.55654158938,1575.24198967388,4149.55058470518,598.747991684225,1477.92080135483,4359.27950047463,1.0756841159659,0.723159949493896,0.899422032729898,3.92808584536061,3.04878708026039,3.4884364628105,0.239713184653126,0.286293078970643,1383.18352823506,199.582663894742
6,4332056.40950713,2019467.61539368,2780.35917008054,2028.59087877556,2108.97227564137,1606.9035617061,4149.6477323859,598.695369655921,1457.57505442291,3815.27340215744,0.935486934046283,0.682545004271887,0.809015969159085,3.98436982490231,3.03583794663337,3.51010388576784,0.220217845535776,0.226338258185424,1383.2159107953,199.56512321864
8,4786243.73564401,2629323.39214857,4784.08020890556,3008.99818203197,3510.62376176884,2470.04245760492,4150.7177021377,598.920706901907,1610.39211265864,4895.82882751621,1.60966416678134,1.01241541529988,1.31103979104061,6.53681972584837,4.59924599052434,5.56803285818635,0.256534175091123,0.315875552152666,1383.57256737923,199.640235633969
10,4715635.59799431,2329675.56642483,3701.96913596887,2284.57557593947,2272.60150779753,1631.51697588597,4148.79088595758,598.648750239852,1586.63511359197,4410.97391330827,1.24557423882799,0.768674286448655,1.00712426263832,4.30291071886185,3.08909056843338,3.69600064364762,0.238502922435295,0.255521749583812,1382.93029531919,199.549583413284
12,4528478.26949931,2356142.07396047,4547.71568066845,2764.73152953567,2935.97567575394,2078.52798163583,4149.28683544227,598.69631911681,1523.66366828297,4554.4542918527,1.53013633806868,0.930228817146488,1.23018257760759,5.67528043618181,4.01782252068729,4.84655147843455,0.240099167275049,0.294933098445437,1383.09561181409,199.565439705603
14,4594105.61502699,2403241.36317873,4395.0730181617,2889.11438141047,2907.73536512791,2098.71284590115,4150.00042633367,598.799355644702,1545.74481697698,4446.59575296268,1.4787777877455,0.972078997511827,1.22542839262867,5.3800354485475,3.88314206398678,4.63158875626714,0.24336092317489,0.288864504678646,1383.33347544456,199.599785214901
16,4292805.06937027,2101214.89064977,3182.698542152,2154.49739874364,2260.64029264729,1690.29189516341,4149.43212101695,598.720212252903,1444.36844563762,3810.26972668342,1.07085909375698,0.72490784199762,0.897883467877299,4.09936618492697,3.06511631250046,3.58224124871372,0.225988490444295,0.246344812449763,1383.14404033898,199.573404084301
18,4914526.72765892,2760395.97049233,3551.49442395377,2357.86989504858,2601.06101801774,1859.70005501004,4150.66745742745,598.911455495521,1653.5545443983,5044.72558358214,1.1949451228097,0.793335085169994,0.994140103989849,4.75353507334384,3.39867053335286,4.07610280334835,0.250263467887748,0.296230408952493,1383.55581914248,199.63715183184
