"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4732061.9801782,2434562.64315341,3242.28645961152,2036.96934115773,2323.43252490087,1512.09334453543,2445.88811361067,352.143576424779,1592.16197719723,4504.80196823559,1.09090820065304,0.685364043686024,0.888136122169534,4.29917194395088,2.79790749840645,3.54853972117866,0.229145152407957,0.239334322275553,815.296037870224,117.381192141593
2,4737291.08468458,2538543.58251511,4107.86327428146,2609.05730946264,2467.05483825013,1812.20509529193,2445.87444164431,352.131297794442,1593.9213754056,4802.28565131126,1.38214244450567,0.87785026101845,1.12999635276206,4.66704693680637,3.42823601150514,4.04764147415576,0.2311450733818,0.251928783584289,815.291480548104,117.377099264814
4,4684951.31962451,2489681.22699937,3707.22840277061,2217.18255628076,2742.04546931794,1781.41956994095,2445.96162305111,352.148140890994,1576.3110008642,4569.08632325001,1.24734378552132,0.745999054408463,0.99667141996489,5.03222754613053,3.26927789177131,4.15075271895092,0.231840639910926,0.249224154936033,815.320541017037,117.382713630331
6,4361687.89261247,2170601.1304577,2382.96708979992,1693.62422783448,1651.16636428361,1318.34255296454,2445.1638226155,352.014399215688,1467.54494089648,4018.78397867243,0.801779353099027,0.569841246905336,0.685810300002182,3.05707061412364,2.44086020960416,2.7489654118639,0.210766637390321,0.214355174567506,815.054607538499,117.338133071896
8,5037502.15841201,2954405.27736234,3609.44793265029,2290.32560449101,2060.06837503166,1656.29967806449,2446.19265291362,352.184711578683,1694.93118016399,5261.0345641199,1.21444431224938,0.770608956126675,0.992526634188027,3.66845097676241,2.94944296288882,3.30894696982561,0.239678153076636,0.286129758983952,815.397550971205,117.394903859561
10,4603249.921316,2398408.21584295,3199.20002919004,2102.50240435182,2351.41490192599,1655.34416885711,2445.46992023075,352.062276465224,1548.82153423939,4384.8968079754,1.07641122733833,0.707413469898944,0.891912348618635,4.29898114489956,3.02638779928093,3.66268447209025,0.224500408988568,0.233991662743115,815.156640076917,117.354092155075
12,4767424.6116297,2612711.22871954,3491.30593431971,2111.73557406595,2135.04410216516,1473.72059294869,2445.74976021924,352.119356457522,1604.06018086543,4857.65861466002,1.17469394582561,0.710520086382291,0.942607016103952,3.9695605322003,2.74000105914787,3.35478079567409,0.23312846798493,0.26222080451328,815.249920073079,117.373118819174
14,4695371.24054103,2498382.97765688,3362.9388700016,2229.53950917128,2378.086079929,1764.74754660303,2445.8034028388,352.122178798556,1579.81691476773,4644.86311702371,1.13150322689846,0.75015670716718,0.940829967032821,4.42121340905433,3.28092644857919,3.85106992881676,0.230040561623681,0.253037307473837,815.267800946266,117.374059599519
16,4440664.03508895,2207257.38786066,3635.58901257616,2261.73669313464,2637.58524018191,1782.99182073983,2445.40378692615,352.054206156054,1494.1174608008,4099.60780928998,1.22323980852039,0.760989856076476,0.992114832298431,4.89886911593853,3.31160617352823,4.10523764473338,0.21376740791994,0.216616491349147,815.134595642049,117.351402052018
18,4970273.47272775,2866844.23811246,3078.14788345089,2114.50061520181,2314.84947341662,1735.90617699784,2446.14736085468,352.175617007206,1672.31124036358,5154.82727052452,1.0356817050896,0.711450419370393,0.873566062229997,4.16229421678794,3.12130543449129,3.64179982563961,0.237730264159114,0.283814027976912,815.382453618226,117.391872335735
20,4679964.64156468,2411636.55726708,2923.5282862181,1862.87647922804,2067.26750664773,1386.39724658596,2445.49398208295,352.083503676895,1574.63317009346,4527.33547836683,0.983657990126695,0.626788303041255,0.805223146583975,3.880855719291,2.60266640206001,3.24176106067551,0.22695237576107,0.242103631234575,815.164660694317,117.361167892298
22,4712491.46609416,2475501.30347616,4313.44162458674,2815.47591284604,2982.97277288219,2222.08988142012,2445.7462110273,352.107874986409,1585.57723073167,4797.03926779734,1.45131187509683,0.947302405362687,1.19930714022976,5.78042011377355,4.30597729953897,5.04319870665626,0.232129082717369,0.258474971223213,815.248737009099,117.369291662136
24,4673679.92545709,2456619.5846283,3741.50297572882,2307.96538069318,2435.61056633691,1685.37218442973,2445.72213329063,352.111820531988,1572.51859803885,4699.53598419397,1.25887589817693,0.776544081463793,1.01770998982036,4.65934553791129,3.22413257512376,3.94173905651752,0.232228581051784,0.246838004455648,815.240711096876,117.370606843996
26,4368499.11883148,2081460.39015002,3099.13794746016,1758.67302947521,2232.45737451421,1335.18778189818,2445.51867913633,352.073117301602,1469.83666392323,3847.13852336176,1.04274407704383,0.591727737206697,0.817235907125266,4.12622445658822,2.46781172294718,3.2970180897677,0.210755734010324,0.202899183103353,815.172893045443,117.357705767201
28,4974042.33197387,2707825.40807889,3576.0713035039,2224.08688967386,2292.66242987073,1642.60647419193,2446.18414759465,352.181710093448,1673.5793206242,5229.13072965719,1.20321432412232,0.748322104519059,0.97576821432069,4.42740197687748,3.17206713745431,3.7997345571659,0.243909598882374,0.281318356596115,815.394715864882,117.393903364483
30,4512353.22961528,2235214.55269091,3216.12590351347,2063.27886858791,2080.27046916103,1549.00490233905,2445.45489857971,352.077326385707,1518.23819509778,4311.77658896329,1.08210615137809,0.694216216245857,0.888161183811975,4.01288614412513,2.98806352439603,3.50047483426058,0.221401699086893,0.225557339426254,815.151632859902,117.359108795236
32,4626238.18920542,2477933.26396516,3756.95912627289,2508.60756158537,2677.42027240044,1949.32979773091,2445.63644585757,352.098341497557,1556.55622710869,4791.14839179828,1.26407631510155,0.844052675555885,1.05406449532872,5.17686170924248,3.76907984621746,4.47297077772997,0.232320253660945,0.263945856098117,815.21214861919,117.366113832519
34,4606492.9247518,2492794.51922404,2684.17942574044,1753.096360092,2220.9627431374,1459.25242741932,2445.95270828977,352.137836511064,1549.91268367573,4597.38657608754,0.903126045166064,0.589851396408853,0.746488720787459,4.09605533971923,2.69125572493198,3.3936555323256,0.230143976564136,0.246095125038824,815.317569429922,117.379278837021
36,4415488.80466811,2115758.26034344,3467.26700434114,2170.71676085563,2577.55903214873,1664.81169682305,2444.99049718257,351.991197797721,1485.64693678587,3971.26563230914,1.16660574443588,0.730365051086865,0.948485397761371,4.83806292594066,3.12484162287353,3.9814522744071,0.210706949871507,0.212705621671906,814.996832394191,117.330399265907
38,5002422.86020881,2799276.43614839,3578.99755755733,2325.05809618122,3082.53946085044,1991.6912485809,2446.278212179,352.19487933187,1683.12830754316,5181.37880401181,1.20419889923123,0.782295141319116,0.993247020275173,5.70569037724496,3.68656224382473,4.69612631053484,0.243213356301472,0.284517916154755,815.426070726334,117.398293110623
40,4692516.58886771,2471681.7901562,3152.8899229727,1761.74587243957,1798.48358551395,1115.15457044833,2445.66732786578,352.104787565465,1578.85643118332,4591.31833213236,1.06082960761566,0.592761634004806,0.826795620810234,3.34080652659075,2.07147604633081,2.70614128646078,0.228212133941092,0.247064620683885,815.222442621926,117.368262521822
