"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,33530385.4833603,13172244.6696004,20002.9769371052,12552.9130484672,11259.3796611122,7959.98256628999,20793.8082954676,2998.3782311591,1001.57362483999,2170.73599517987,0.597501455163095,0.374963378530016,0.486232416846555,1.85550309205681,1.31177495643756,1.58363902424718,0.138977233913479,0.109876940563353,6931.26943182253,999.459410386368
2,33474654.1747493,13826710.7361883,19448.0268371544,12630.814989055,10710.8064094908,8259.1692127791,21393.8198369619,3085.06232100897,999.908895730026,2280.53369798086,0.58092474794066,0.377290358309454,0.479107553125057,1.76660634734064,1.36224110465923,1.56442372599993,0.141081931950226,0.117094159931088,7131.2732789873,1028.35410700299
4,36098185.2569447,15137128.9919201,20473.7990277265,13265.3770463696,12736.0367937488,9021.5786847305,22135.7045889565,3185.59577431145,1078.27541308423,2528.6189084289,0.611565206031462,0.39624512458394,0.503905165307701,2.1275225620598,1.50703177982201,1.8172771709409,0.151313435280585,0.1292549124221,7378.56819631884,1061.86525810382
6,30895973.9177386,12160390.5383868,18710.1838131196,11311.2185496894,10447.8607709124,7467.01897710729,20962.9038092884,3017.47336788636,922.882100628036,2062.4526367881,0.558884914473425,0.337873185794176,0.448379050133801,1.77200049025907,1.26643736725948,1.51921892875927,0.130097198616613,0.104583621488363,6987.63460309612,1005.82445596212
8,35557060.2122577,15025163.6813415,21943.312577333,13870.664894286,13847.9571337663,9675.64717195089,21520.2259541203,3099.45638450471,1062.11166892543,2507.5785964645,0.655460496569094,0.414325451880211,0.534892974224652,2.31111232129285,1.61478745056573,1.96294988592929,0.149835535647842,0.130223750446252,7173.40865137343,1033.15212816824
10,32624534.6816753,12301545.7976917,18084.7677529063,11645.1932324714,10873.9349715857,7909.73042118141,20561.4246492009,2962.71467910479,974.515293779111,2030.74496311909,0.540203344863323,0.347849218840525,0.444026281851924,1.79507429683964,1.30574201621539,1.55040815652752,0.135452056060743,0.101738035596764,6853.8082164003,987.571559701595
12,35076765.6428633,14573538.4674923,24194.1339370174,14895.8470818048,14917.8474350914,9935.9903617992,22012.2818437192,3175.32353739293,1047.76496918057,2417.86362968884,0.722693940968508,0.444948286210109,0.583821113589308,2.47498717123579,1.64845825015804,2.06172271069691,0.146209617712262,0.124653304529447,7337.42728123973,1058.44117913098
14,34556668.644286,14293097.3771812,21491.3541430111,13459.2035152197,14503.6216923565,9657.19693430133,21231.7766553894,3056.86733151256,1032.22934593544,2392.45655940714,0.641960214934531,0.402034842661965,0.521997528798248,2.42769526697797,1.61647427014958,2.02208476856377,0.146127807593134,0.123018659925056,7077.25888512979,1018.95577717085
16,32516387.7714009,13029808.1116164,19638.3641882934,12138.8923396867,11867.8885914164,8265.59586183675,21202.5628892281,3053.00116943288,971.28487780335,2171.67880304722,0.586610243886341,0.362596320529508,0.474603282207924,1.97802161552382,1.37762729688264,1.67782445620323,0.136327876048223,0.112424351381085,7067.52096307603,1017.66705647763
18,34826253.7757997,14593039.9419285,18406.9676225468,11864.544984758,10469.1136812263,7991.59917262128,21586.1164129366,3111.64359827615,1040.28202273831,2434.09160563155,0.549827656862925,0.354401393129177,0.452114524996051,1.74622846447906,1.33298370586648,1.53960608517277,0.146116410101643,0.126056446218329,7195.37213764554,1037.21453275872
