"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,35734461.8852202,13960836.555757,19072.4386823854,12807.7189081625,11392.4567505792,8717.04958137032,21807.3186916374,3142.03770307095,1067.41076805836,2335.57898960607,0.569705694410672,0.382574589222841,0.476140141816756,1.90590173592973,1.45831933296342,1.68211053444657,0.147862452308164,0.119201913529391,7269.10623054581,1047.34590102365
2,36335699.985328,15030217.814067,19269.9979078889,12306.0397251883,11323.8821531694,8124.36070882012,22300.6124393421,3212.55225273719,1085.37012684998,2494.83668576835,0.575606912268912,0.367589117670548,0.47159801496973,1.87962922231265,1.34854686708594,1.6140880446993,0.151808648901629,0.129205528025855,7433.53747978069,1070.8507509124
4,37654673.1489529,15745711.4259286,20383.3387889374,12998.5523696637,12302.0994167397,8888.1178399695,22592.6663472425,3256.21269882977,1124.76868172833,2615.8915208102,0.608863102015603,0.388274904295905,0.498569003155754,2.04379190510381,1.47661489942281,1.76020340226331,0.158488293801365,0.13459441108246,7530.88878241417,1085.40423294326
6,33499217.7359712,13319070.9163924,20404.2533805066,12395.2354865935,11335.9597506734,7896.39806836952,21613.2045322081,3115.70513624772,1000.64262469548,2273.74906618638,0.609487833971054,0.370253450954618,0.489870642462836,1.93520464446942,1.34802403612806,1.64161434029874,0.140430205540123,0.115565535276281,7204.40151073603,1038.56837874924
8,38053364.3094059,16039238.2026493,23720.5699187334,14855.353139503,14402.1593722745,9939.78369510869,23208.7343360665,3344.10304533468,1136.67783651466,2642.47024235134,0.708548287002736,0.443738706779672,0.576143496891204,2.37276091831783,1.6375829261888,2.00517192225332,0.159829240679807,0.137160103960468,7736.24477868883,1114.70101511156
10,35277058.4530372,13804288.6998314,21025.051684448,13421.4841551933,13037.1517059939,9152.91924278873,21525.4246771871,3101.35395664395,1053.7478409258,2254.36417903477,0.628031468307785,0.400908141742674,0.514469805025229,2.12908382617307,1.4947538205857,1.81191882337939,0.145054897742641,0.113003362635714,7175.14155906237,1033.78465221465
12,37206417.4705051,15322415.257373,21876.0386692373,14029.7044003393,12436.651782643,9273.8840968015,22626.5899386088,3263.87019769353,1111.37900373191,2552.7217852981,0.653450982779816,0.419076061581659,0.536263522180738,2.0719521960771,1.5450335714432,1.80849288376015,0.155715741969637,0.131307462937095,7542.19664620292,1087.95673256451
14,36640646.93781,15176375.33206,22062.5058654073,13833.4340938099,13126.7537901714,9404.34320436995,22417.5532050854,3225.8678237545,1094.47908340322,2546.10148255271,0.659020874771496,0.413213344540822,0.536117109656159,2.20224174448663,1.57774248799042,1.88999211623852,0.154562687355621,0.131375197871998,7472.51773502846,1075.28927458483
16,34855522.0973929,14179636.3885339,21477.4488212947,13620.6049423113,12420.8948252274,8975.60629357667,22218.989031559,3199.07727924875,1041.1562858441,2355.84649572674,0.641544854261658,0.406856004424829,0.524200429343243,2.06364399946562,1.49123362929419,1.77743881437991,0.144669657587558,0.122220730095902,7406.32967718633,1066.35909308292
18,37949848.9027452,16156139.4171986,21725.9712755815,14235.9041992582,13069.4729802048,9719.37583166153,22875.7845562936,3296.64892529294,1133.58576645399,2640.38671614833,0.64896837569769,0.425235378782082,0.537101877239886,2.13593495035438,1.58843088515648,1.86218291775543,0.157698101323392,0.13632366838708,7625.26151876454,1098.88297509765
20,35648336.3823875,13863408.4462291,19168.3692586946,11979.8214503003,11338.4717337902,7898.83111315141,21859.9490110451,3150.47652646074,1064.83814532171,2289.61495773433,0.572571200836021,0.357844773388234,0.465207987112128,1.87260835459228,1.3045335810046,1.58857096779844,0.148473209075033,0.11506050909255,7286.64967034836,1050.15884215358
22,36348663.3165189,14977141.817757,21086.6755161681,13489.0586035877,12415.2286208475,9130.58717577594,22345.2518670588,3223.7432373593,1085.7573496756,2471.8872099709,0.62987221077533,0.402926632858994,0.516399421817162,2.04905883980832,1.50694851754465,1.77800367867648,0.152771716626719,0.128549307081992,7448.41728901959,1074.58107911977
24,37850348.3899117,16216981.4008931,22553.0342878801,14602.1496738312,13429.4408699318,10055.5970720325,22575.9878509571,3246.3784455165,1130.6136237877,2691.66006886061,0.67367326612044,0.436175360600404,0.554924313360422,2.22899002244212,1.66900660722537,1.94899831483375,0.158800126320809,0.138701187310737,7525.32928365238,1082.1261485055
26,32936596.2738724,12989979.4532043,19917.9113720061,12696.2110442245,11753.2473648842,8705.0755565538,22006.1139808844,3174.21600904641,983.836769078738,2187.91583387918,0.59496049343071,0.379243779455145,0.487102136442927,1.97961175394975,1.46620498622887,1.72290837008931,0.139558301514055,0.112962563256266,7335.37132696146,1058.07200301547
28,38808706.5776968,16470678.8773889,23947.347446357,15036.9865630976,13088.2595757178,9672.95150409647,23211.7392396602,3347.24101445308,1159.24038337301,2713.36065079272,0.715322273853766,0.449164210955639,0.582243242404703,2.15614479430272,1.59351087976542,1.87482783703407,0.161593214484591,0.138125552140808,7737.24641322007,1115.74700481769
30,35453515.4906143,13800684.4778895,20827.8727361408,12921.6438293688,12603.0516450082,8668.44869736832,21520.2052045649,3100.08850664794,1059.01872320786,2220.8504126627,0.622141609567682,0.38597759800569,0.504059603786686,2.02812349571999,1.39495456892294,1.71153903232146,0.145149489530765,0.111766259955178,7173.40173485497,1033.36283554931
32,37167367.9681621,15655128.5018839,20950.3265562393,13613.7580046494,12935.1691079029,9257.14689432351,22485.9461901563,3237.93896661645,1110.21257062814,2615.88803674671,0.625799381904729,0.406651482106514,0.516225432005622,2.16139740523924,1.54681961328863,1.85410850926394,0.15511126662583,0.134508900426299,7495.31539671876,1079.31298887215
34,36569242.5516317,15204276.761428,22223.0194517481,14153.8317153699,13983.7656387143,9975.93877928247,21988.4754311766,3165.68743503157,1092.34618964542,2536.44895318347,0.663815516174805,0.422783822260956,0.543299669217881,2.3328375477788,1.664233022772,1.9985352852754,0.155514727600704,0.133248262118824,7329.49181039219,1055.22914501052
