"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,3012482.25776236,1349772.4137623,1895.0044199317,1349.13031549763,1103.84691365178,925.863387594082,1966.82884215891,282.725063257584,1224.74010770481,3143.00173156667,0.770423763123557,0.548495847121676,0.659459805122616,2.57035388011942,2.15591176759288,2.36313282385615,0.176696620605921,0.162367001601445,655.609614052969,94.2416877525279
2,2897108.9775896,1117551.58333668,1345.61879587084,945.732943522043,641.747606261347,641.747560123056,2016.0304519802,290.329024585829,1177.83450910055,2455.03251591398,0.547068220812892,0.384492577217541,0.465780399015217,1.40978838370713,1.40978828235073,1.40978833302893,0.165201092844442,0.113723134545338,672.010150660068,96.7763415286095
4,3179240.69825738,1439424.75823622,2093.78465610448,1233.61642358539,867.289749366427,710.475975575992,2017.95794628933,290.195503798505,1292.53660670369,3214.03070096816,0.85123888733965,0.501533082093779,0.676385984716715,1.93653462270184,1.58639177541977,1.76146319906081,0.185480825073419,0.162158235132184,672.65264876311,96.7318345995018
6,2916004.28780178,1080263.85719073,1980.48288052587,1123.9934413999,1008.75829651502,708.385121641329,1994.30276232363,287.229320247072,1185.51649434868,2453.98996182085,0.805175469549312,0.456965296619582,0.631070383084447,2.29155378759867,1.60920868178611,1.95038123469239,0.166204839817748,0.119291786247099,664.767587441208,95.743106749024
8,3326570.59147865,1430199.92244633,1733.33892136577,1188.39591626165,928.377293437135,775.206767199264,2016.47323977699,290.267794462538,1352.43433019302,3252.62895895058,0.704697825778833,0.483148452983539,0.593923139381186,2.11135997287756,1.76301224786383,1.9371861103707,0.19252027237221,0.172471845096051,672.157746592329,96.7559314875126
10,3093735.12727792,1391142.47560451,1926.0780653484,1210.5372256839,1125.49420786184,818.546986633334,1981.8802340959,285.262262635213,1257.7738784118,3040.81978007996,0.783056912990703,0.492150115853639,0.637603514422171,2.46015423268886,1.78921563501099,2.12468493384993,0.170509685269959,0.146275558278199,660.626744698633,95.0874208784044
12,3162802.5725746,1281278.99174577,1639.42041053724,969.816078500756,758.511182018632,589.924036316535,2021.80345328999,291.049534801458,1285.85360242464,2760.57170948529,0.666514773655882,0.394283699223886,0.530399236439884,1.63424556548443,1.27101717572213,1.45263137060328,0.178102509960843,0.14013362208073,673.934484429998,97.0165116004861
14,2841308.79248889,1296288.62252304,1157.2917368276,919.618090384713,870.370013688835,733.411719569908,1993.77724247052,285.858126719407,1155.14865774521,2927.43433560603,0.470502889355084,0.373875449776643,0.422189169565863,1.96557388415195,1.65627824907231,1.81092606661213,0.1778277743531,0.153516209805453,664.592414156839,95.2860422398024
16,2825003.34595316,1062978.48262891,1737.74008543177,1094.75397230533,859.110233208983,696.074809120318,1976.44879969301,284.076576434627,1148.51959485367,2428.79343920703,0.706487141595825,0.445077840540518,0.575782491068171,1.9629760452094,1.59045733965145,1.77671669243043,0.158468997560716,0.12087874582868,658.816266564337,94.6921921448757
18,3061945.15814403,1305829.89410812,1372.68662552398,988.619491790978,946.066301810903,774.54429116332,2008.98675638728,289.218207833714,1244.84950346465,2988.60583129654,0.558072785742463,0.401928323307212,0.480000554524838,2.16522785941912,1.77267161336443,1.96894973639177,0.180063634157538,0.147573784137133,669.662252129093,96.4060692779046
20,3234154.65281101,1360786.53929904,1188.88220765447,769.871215284311,732.509053705815,552.203939735727,2002.38519486769,288.278646940976,1314.86215648617,3028.94243126665,0.483346157242639,0.312995089911835,0.398170623577237,1.63047450131261,1.229137631417,1.42980606636481,0.18440912628494,0.145607233076942,667.461731622564,96.0928823136586
22,3113156.63451014,1231992.40826145,1122.80994294595,710.502770999538,664.509043499331,493.028055098202,2020.1171040574,290.775802764828,1265.66979175638,2741.26985055298,0.456484139255014,0.288858544489785,0.372671341872399,1.47857940856559,1.09702213573272,1.28780077214915,0.176920141187772,0.13746029768963,673.372368019134,96.9252675882761
24,3211159.85035986,1424881.96489076,1792.13484484962,1092.03233674656,1096.96138663217,796.495395394327,2013.5919135382,289.757684343711,1305.51350164909,3163.42780052214,0.728601609933797,0.443971345649538,0.586286477791667,2.43540042759791,1.76832589566215,2.10186316163003,0.189251252608837,0.16311683937153,671.197304512733,96.585894781237
26,2466870.0391843,898722.536330498,1532.16779928313,827.322056372629,852.70437343406,537.451548338136,1983.17159764853,284.038162997054,1002.91866274044,2103.77984680638,0.62291067463737,0.336352023922295,0.479631349279832,1.99605796405059,1.25809656520381,1.6270772646272,0.149379256528569,0.100585748218348,661.057199216178,94.6793876656845
28,3209642.55774767,1487588.3944964,2085.92935158796,1357.22347394856,1067.71421446032,902.173344006556,2013.60966548843,289.666025500641,1304.89663855803,3105.37023867081,0.848045273012187,0.551786162185712,0.69991571759895,2.22887457125754,1.88330472526207,2.0560896482598,0.184708323967824,0.159098345274149,671.203221829475,96.5553418335468
30,3027641.31263947,1300241.89745338,2017.2550823867,1278.57478000721,1240.0069223744,903.361291687018,1960.35247869264,282.675337801781,1230.90309918967,2951.41095443651,0.820125396756858,0.519811132410729,0.669968264583793,2.81468396106972,2.05053414854644,2.43260905480808,0.168906004375129,0.141679270922509,653.450826230879,94.2251126005937
32,3202703.41352996,1263464.70881459,1521.04915024753,1108.64099028794,936.974575999603,762.652619942904,2022.51932382817,291.164732507144,1302.07549389745,2908.12669601668,0.618390330863625,0.450723678903843,0.534557004883734,2.15664177950001,1.75540355687805,1.95602266818903,0.186068958503666,0.139882279405737,674.173107942724,97.0549108357148
34,3079481.49902776,1303584.18142809,2097.25395210475,1187.2318725833,1323.65177595588,818.696859466598,2013.8743993035,289.582009489176,1251.97899276449,3161.93604433825,0.852649347416581,0.482675205057739,0.66766227623716,3.21061142055451,1.98580739641843,2.59820940848647,0.187980471180271,0.169072890844919,671.291466434498,96.527336496392
36,2605229.71417166,983233.444282555,1273.05395409661,867.262891788425,490.22970806125,490.22970806125,1984.71446357204,285.537746329477,1059.16949801404,2220.87254710753,0.517566612330003,0.352590175348055,0.435078393839029,1.10730336395768,1.10730336395768,1.10730336395768,0.15141529695817,0.108572192639899,661.571487857347,95.1792487764924
38,3206900.31859528,1243937.73909659,2194.19793280912,1193.45289675212,1492.31873155533,895.143033798701,2015.7833349612,290.193539686841,1303.78176717042,2906.24271979766,0.892062419829957,0.485204394330447,0.688633407080202,3.48654141834311,2.09134496316866,2.78894319075589,0.187692243390121,0.147926865506628,671.927778320401,96.7311798956138
40,3331646.90092132,1461144.67083131,1866.14520731782,1110.25107115901,1023.61536269348,672.534042894002,1993.39197210865,287.084459402636,1354.49812982455,3219.26059170478,0.758690902266395,0.451378265537299,0.605034583901847,2.25527606127318,1.48175768224016,1.86851687175667,0.182648610344097,0.154482531557498,664.463990702882,95.6948198008787
42,2849647.56877447,1111628.35589424,1908.42962371685,1062.94045656269,1340.35596177565,729.668955608533,2018.41837055958,290.675932630674,1158.53882999928,2525.45854822121,0.775881848557064,0.432143892598846,0.604012870577955,3.04509452586116,1.6577021371777,2.35139833151943,0.164641112812665,0.125314528389975,672.806123519859,96.8919775435579
44,3229039.4162247,1430377.22013208,1818.4638999529,1135.04949529475,1269.53370884292,826.155224303657,2013.51288258686,289.667034565211,1312.78253082481,3341.15218511661,0.739305822282224,0.461460192017912,0.600383007150068,2.96544524456844,1.92977788941072,2.44761156698958,0.189695554233977,0.171703954074269,671.170960862285,96.5556781884035
46,2346106.12271811,935122.851189388,1611.23457503158,920.572862677118,875.337483806233,536.638920590135,1900.6383324202,272.749218175098,953.821473311844,2136.21422905334,0.655055677714651,0.374263617347496,0.514659647531074,1.99963928349337,1.22590919104414,1.61277423726875,0.138969137254531,0.104041135328455,633.546110806733,90.916406058366
48,3314441.22076355,1418613.62265071,2648.06935026448,1450.63015516167,1200.30772877612,878.189100832208,2016.23295807319,290.254377246356,1347.50307233823,3249.31195562144,1.07658617171798,0.589761127354229,0.833173649536103,2.74928577539635,2.01147817775688,2.38038197657661,0.186971384494289,0.157067891070426,672.077652691062,96.7514590821186
