"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.138858499498835,0.195089389739887,0.00107262120588163,0.00168240106010865,1,29.42838636,-3.04668647,1,"Gitega",215.92280642005,338.673854694251,1.5102928240431,4.15679951876044,1,29.42838636,-3.04668647,1,"Gitega",304027.799651237,836779.855642085,1.9938681594644,0.560932075133472,2793.51133797771,1385.67239876944,0.180880324856427,36411.9105188382
"Bugarama",195016.1571555,0.00331893844011111,0.0141584224379778,6.42520370248274e-05,0.000191583424946174,2,29.4303905,-3.72944816,1,"Gitega",12.5301853499947,37.3618633076919,0.0381772782698683,0.352678440262662,2,29.4303905,-3.72944816,1,"Gitega",7445.18609884589,68777.9941316198,0.119787994882782,0.063875704156253,72.3918356714071,117.570837973011,0.175987728922972,34320.4506010819
"Buhiga",277009.19890515,0.101454360888889,0.173368796044444,0.000746123812425815,0.00149285488717467,3,30.1393365,-3.0502219,1,"Gitega",206.683159564132,413.534536377893,1.14421846965147,3.83664715819042,3,30.1393365,-3.0502219,1,"Gitega",316959.041650631,1062786.55577205,1.37086678513783,0.49757137009226,2105.57186997741,1278.86714846079,0.181320679971699,50227.4963038975
"Busoni",218791.205835172,0.345528007444444,0.273454798666667,0.0027966059522826,0.00353456032240953,5,30.25180248,-2.47173859,1,"Gitega",611.87278854573,773.330715037136,3.36641089245939,5.52420609059077,5,30.25180248,-2.47173859,1,"Gitega",736541.098497847,1208647.71184236,5.07174933379425,1.17792209971281,6136.04846457277,1841.39519392001,0.183029506752313,40045.2464857553
"Butezi",125726.232208091,0.246844517277778,0.237519362933333,0.00195140115160754,0.00267264571781216,6,30.17161805,-3.44652457,1,"Gitega",245.342314318146,336.021676127611,2.44520592761389,4.80955896822436,6,30.17161805,-3.44652457,1,"Gitega",307426.528251784,604687.727657483,3.66965538662785,0.891041772648654,4588.91983959767,1603.11092391559,0.177869271784872,22362.8333671088
"Cankuzo",179215.356633093,0.181504554422222,0.227755837,0.00136072779247927,0.00201846624865248,8,30.52891483,-3.14505865,1,"Gitega",243.863316609734,361.740148604116,1.974174346648,4.96426133917202,8,30.52891483,-3.14505865,1,"Gitega",353802.359590425,889671.86631959,2.50707374635747,0.67263388186172,3652.0265694094,1654.69474149482,0.180271759610718,32307.4676895101
"Cibitoke",305498.934537512,0.137596497311111,0.194063321733333,0.000851661150437274,0.00148621491874696,9,29.19244319,-2.90271457,1,"Gitega",260.181574045579,454.037074170951,1.48153237953809,4.0437784797754,9,29.19244319,-2.90271457,1,"Gitega",452606.563431711,1235370.01707711,1.60502900874928,0.495451842602449,2777.65816471151,1347.92990499924,0.177787493412846,54313.8898117194
"Gahombo",256161.000799576,0.0828771592122222,0.153614375955556,0.000568226584197339,0.0012029262780423,11,29.74184956,-3.01315344,1,"Gitega",145.557490488915,308.142799271425,0.901783946799169,3.32700895061217,11,29.74184956,-3.01315344,1,"Gitega",231001.878317067,852249.942457961,1.09211332364934,0.400891256855327,1720.29626646076,1108.92425331499,0.175021995162166,44833.809442679
"Gihofi",293350.813541338,0.203349730822222,0.230030128111111,0.00142039129030629,0.00212054280045224,13,30.11562611,-3.91875872,1,"Gitega",416.672940558382,622.062955661892,2.14170119644945,4.85715117244667,13,30.11562611,-3.91875872,1,"Gitega",628269.788340903,1424849.24793049,2.62068185595056,0.706871449962658,3936.71700565536,1619.09165106315,0.181329608653083,53193.1882175144
"Gitega",313416.21747821,0.103123433955556,0.171007121677778,0.000658250023334541,0.00133715295484977,14,29.93208819,-3.40581734,1,"Gitega",206.306232468455,419.085421298826,1.14342641756136,3.64479271243242,14,29.93208819,-3.40581734,1,"Gitega",358368.382756743,1142337.14542271,1.22723118841627,0.445807360482873,2120.79025738482,1215.04366503348,0.179966925768413,56404.5531455179
