"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4706128.65070108,2391429.99599461,3472.18521867517,2196.06355853186,2057.01949285132,1580.92407011022,2445.77875233887,352.128656186788,1583.43638118675,4491.28401063072,1.16826053972198,0.738893301070244,0.953576920396113,3.86323612787019,2.96909339181981,3.416164759845,0.23395090570116,0.248849200131704,815.259584112956,117.376218728929
2,4872264.55480943,2611068.596377,3146.28295756545,2256.43932012021,2147.46307301696,1683.12520430037,2445.76457928348,352.114971520076,1639.33490294674,4893.99190406829,1.05860661071703,0.759207488066942,0.908907049391984,4.02504434705904,3.154724136627,3.58988424184302,0.236280591588616,0.264661391170579,815.254859761161,117.371657173359
4,4501970.91268581,2402768.52368802,3998.01585230621,2354.68154787344,2730.50577778109,1713.22802879473,2445.8019669884,352.123613178461,1514.74493353029,4504.79520218836,1.34518289298358,0.792262325522377,1.06872260925298,5.11924856931951,3.21202035413846,4.16563446172898,0.223168085232858,0.237395658319794,815.267322329466,117.374537726154
6,4429560.68135263,2131947.77620548,3030.31603321464,1953.92313831745,2179.44211498311,1558.36637355987,2445.4388604501,352.053278633656,1490.38159729935,3926.50389318589,1.01958807538565,0.657422100603548,0.838505087994597,4.01397634827885,2.87011328377073,3.44204481602479,0.209389340470411,0.204512315536096,815.1462868167,117.351092877885
8,5103438.23227539,2833114.02597465,3737.40283313178,2538.33470484144,3183.8452254834,2165.05769150442,2446.26337372671,352.191903332836,1717.11620440304,5239.46028015237,1.25749635345172,0.854054748094509,1.05577555077312,5.88809008184349,4.00398066398802,4.94603537291576,0.249591835607771,0.286548891931401,815.421124575569,117.397301110945
10,4668870.62708159,2288482.0866242,2777.82357245742,1921.25598126275,1632.01115733524,1347.76166483123,2445.4066205249,352.079275093551,1570.90044890164,4372.00197565151,0.934633800223877,0.646430823316079,0.790532311769978,3.11785530061991,2.5748144133571,2.8463348569885,0.232069851629513,0.236989552291875,815.135540174966,117.359758364517
12,4723063.5176255,2511995.69261582,3150.52789948909,2081.52186076456,1862.34466650804,1436.45967500882,2445.42950385752,352.076332102875,1589.13433090062,4904.79871000498,1.0600348750032,0.700354301210854,0.880194588107027,3.63632220577629,2.80476020785715,3.22054120681672,0.229363875424652,0.260100104249645,815.143167952508,117.358777367625
14,4619491.64612946,2333775.48854533,3397.7503942761,1954.68313858642,2571.8204885006,1541.01628201999,2445.89476666085,352.142626942991,1554.28626754179,4587.41105006954,1.14321600360137,0.657677812286103,0.900446907943735,5.0553267808536,3.0291153348611,4.04222105785735,0.233240204026205,0.254772385389292,815.298255553618,117.380875647664
16,4369397.9039262,2160201.91762863,2534.13555566414,1801.19180781921,1918.92318966138,1419.0534522999,2445.39888873058,352.061776400026,1470.13907151203,3759.43869927734,0.852641891355801,0.606033716815536,0.729337804085669,3.33953693924732,2.46960454084574,2.90457074004653,0.209597664248937,0.197897544747045,815.132962910194,117.353925466675
18,4829361.53530994,2604336.33442048,3247.64213299438,1978.06819759459,2224.98643645475,1493.14687832962,2446.21973541684,352.187081348328,1624.89964055157,5044.37742121875,1.09271018455735,0.665546010535255,0.879128097546304,4.3096090141014,2.89209819026128,3.60085360218134,0.242264400210636,0.273556610781593,815.40657847228,117.395693782776
20,4696094.7578735,2434503.01830677,3307.58691706865,2040.59617358682,1919.82128311099,1408.97837585247,2445.27402415816,352.020771552627,1580.06035130585,4466.49100490279,1.11287936373002,0.686584337231513,0.899731850480765,3.52222380812661,2.58499956439759,3.0536116862621,0.227510511702062,0.237817389998448,815.091341386052,117.340257184209
22,4646460.62457384,2514959.15595124,3317.56400745759,2214.59621048859,2188.95960636709,1612.11711710671,2445.72354824429,352.109083309498,1563.36032071836,4719.07656807336,1.11623628171352,0.745128845724085,0.930682563718804,4.10737007892239,3.02498117884971,3.56617562888605,0.230780452646911,0.253159813282761,815.241182748096,117.369694436499
24,4753214.06096262,2533855.3058475,3338.80434597359,2014.20113126815,2117.19845991712,1469.48940977577,2445.81868460889,352.128502965578,1599.2788617403,4596.27329337553,1.12338286168429,0.677703392108154,0.900543126896222,3.84048083394329,2.66557246321982,3.25302664858156,0.23014153370742,0.243321894637032,815.272894869629,117.376167655193
26,4330646.57374392,1989227.02318043,2785.89843693621,1865.33149585175,1848.82881946554,1317.87869763787,2445.41541748896,352.043870906085,1457.10069738666,3773.24220212787,0.937350690291674,0.627614324369385,0.782482507330529,3.50692949815456,2.49980291905652,3.00336620860554,0.20992932844254,0.201330343434156,815.138472496319,117.347956968695
28,4650892.52554685,2504480.7999476,4250.72611060104,2538.8610702214,2974.35581977388,1876.28427021243,2446.33789834726,352.204998958721,1564.85148973633,5148.91336876678,1.43021044887573,0.854231850369923,1.14222114962283,6.11492028376639,3.85741634062667,4.98616831219653,0.239471433240366,0.273280765818017,815.445966115754,117.401666319574
30,4715689.32884926,2390893.31173829,2724.22699961267,1752.95906720123,1920.96738083973,1340.90877865975,2445.54476474721,352.065704048106,1586.65319201626,4491.71677480251,0.916600556840983,0.589805202482962,0.753202879661973,3.60887763833049,2.51913476231481,3.06400620032265,0.227824872069298,0.233394809769748,815.18158824907,117.355234682702
32,5010267.42106363,2736691.19913307,3524.95569443697,2329.12573126436,2162.54299628744,1704.62572789572,2445.79678103293,352.125036318051,1685.76770904998,4949.08758819284,1.18601583231504,0.783663748480986,0.984839790398013,3.91078639243256,3.08267956396227,3.49673297819741,0.237452957277259,0.266167839601987,815.265593677643,117.375012106017
34,4859270.36315451,2488369.92170846,3430.58551895071,2302.31882819217,2483.63161383325,1772.08704690599,2445.91499263334,352.136310134599,1634.96284316306,4608.57199023267,1.1542637957145,0.774644227608959,0.964454011661728,4.59979643288314,3.2819841846577,3.94089030877042,0.236236572029199,0.243371587879535,815.304997544445,117.378770044866
36,4216419.31325838,2021610.80169788,2563.05039147892,1760.15503241519,2122.97666876407,1507.61129944394,2445.14733653064,352.028158983234,1418.66749391927,3889.4230602902,0.862370652803566,0.592226375800404,0.727298514301985,4.08444316038188,2.90052771239974,3.49248543639081,0.207523996486808,0.209599604447063,815.049112176879,117.342719661078
