"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.124766454582882,0.185424366853456,0.000898255646041867,0.00164191706092417,1,29.42838636,-3.04668647,1,"Gitega",180.822343351488,330.524268735026,1.35258590271863,3.94457299673233,1,29.42838636,-3.04668647,1,"Gitega",272280.785087735,794057.834128991,1.67158264121537,0.547466693292649,2519.36174822512,1314.87360486957,0.179174941926003,36068.6103245675
"Bugarama",195016.1571555,0.00243226256354723,0.0110646858675824,4.20745512195647e-05,0.000125054708543325,2,29.4303905,-3.72944816,1,"Gitega",8.20521729288176,24.3876886943204,0.030298586802994,0.287139640369578,2,29.4303905,-3.72944816,1,"Gitega",5908.71396556223,55996.8692318875,0.0777171984684764,0.041669109954403,56.1811569463297,95.7018825581844,0.179805837714918,35065.0435052887
"Buhiga",277009.19890515,0.0894395622516866,0.163976144610619,0.000683147465069677,0.00130344993269198,3,30.1393365,-3.0502219,1,"Gitega",189.238132033035,361.067621667977,1.03330207822553,3.62610309658829,3,30.1393365,-3.0502219,1,"Gitega",286234.180916281,1004463.91393341,1.24789708715195,0.434513757303531,1901.75265976739,1208.62068171691,0.18181324195583,50363.9405045326
"Bururi",161565.439110322,0.00945844287769645,0.0369935890830644,0.000129017229395904,0.000421416915670442,4,29.64527524,-4.00189913,1,"Gitega",20.8447253201464,68.0864090288124,0.116632782851233,0.896897601990699,4,29.64527524,-4.00189913,1,"Gitega",18843.8267760183,144907.654902622,0.242194020815107,0.140511082140176,218.278299937265,298.936634110809,0.178898958049747,28903.8887136865
"Busoni",218791.205835172,0.331906601012024,0.268036698534138,0.00238678300982592,0.00315448361630241,5,30.25180248,-2.47173859,1,"Gitega",522.207132786715,690.173274198097,3.13581960949155,5.3266493019959,5,30.25180248,-2.47173859,1,"Gitega",686089.753642234,1165424.02384476,4.50351968051151,1.05163033237622,5945.08123188238,1775.61329957653,0.17658095186662,38634.3593864202
"Butezi",125726.232208091,0.237637261322463,0.234577030922983,0.0018251711636825,0.00244631785263261,6,30.17161805,-3.44652457,1,"Gitega",229.471893544658,307.566326394886,2.3847510829908,4.80166371872369,6,30.17161805,-3.44652457,1,"Gitega",299825.768418597,603695.087685421,3.3752138988747,0.815141718026354,4415.48829460274,1600.5554593524,0.179573471557771,22577.0959834854
"Buye",194429.100944065,0.126237892290142,0.173783106831618,0.00106045580786407,0.00192672568203058,7,29.8634721,-2.84840217,1,"Gitega",206.183469313922,374.611542123046,1.34142721775198,3.68144531036887,7,29.8634721,-2.84840217,1,"Gitega",260812.487929416,715780.101869764,2.00481333385751,0.642300789641152,2536.27615799953,1227.142585078,0.176596948347691,34335.5858967071
"Cankuzo",179215.356633093,0.16850892866796,0.221613151401845,0.00114521965229272,0.00197379969740247,8,30.52891483,-3.14505865,1,"Gitega",205.240948408867,353.735216692275,1.83738391854329,4.85390598352998,8,30.52891483,-3.14505865,1,"Gitega",329287.414233646,869894.49190183,2.1159040241754,0.657856156001583,3376.83429650755,1618.02164886275,0.181684454480295,32560.644304375
"Cibitoke",305498.934537512,0.126215523122971,0.185540634170599,0.000802013583066095,0.00149342696332776,9,29.19244319,-2.90271457,1,"Gitega",245.014295111305,456.240346106224,1.36271868996921,3.8573670831266,9,29.19244319,-2.90271457,1,"Gitega",416309.107859947,1178421.53401525,1.52996719728815,0.497919289306248,2572.96419706322,1285.79139595908,0.176908090252349,54045.2330831587
"Fota",170992.624432377,0.0118456327407655,0.0443849370671297,0.000171898772167597,0.000463289780388289,10,29.67894889,-3.45736142,1,"Gitega",29.3934221896406,79.2191354212932,0.148238668934108,1.0873194117756,10,29.67894889,-3.45736142,1,"Gitega",25347.7190434054,185923.599815778,0.315790815631799,0.154391599728793,273.313341240226,362.459127999095,0.179443474695993,30683.5106755326
