"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,38611646.8273634,14367612.3713213,24924.1933341302,15835.1531214867,13343.2247180579,10217.8231908811,39966.9314553896,5783.63988651605,1153.35408515108,2378.32294339058,0.744501272622289,0.473005946193326,0.608753609407807,2.20875234281219,1.69139330170737,1.95007282225978,0.156256703635052,0.121590624696759,13322.3104851299,1927.87996217202
2,40338572.4248371,15734136.5763647,26574.3168762677,17098.2832631047,15144.0353523594,11379.1446121221,41921.9755573464,6059.89647827463,1204.93843485529,2591.18149298953,0.793791496808724,0.510736435012573,0.652263965910648,2.49400047748151,1.87397819904998,2.18398933826575,0.166587650177527,0.135371819544335,13973.9918524488,2019.96549275821
4,40126528.0738785,16035119.7764419,26433.1616614175,16782.4818417204,15629.8870558549,11458.2380950727,41483.1855742698,5987.70597121054,1198.60453722319,2685.32808640402,0.789575102091975,0.501303248671712,0.645439175381843,2.61746561819091,1.9188586681222,2.26816214315655,0.168701756492265,0.143112278617099,13827.7285247566,1995.90199040351
6,38613946.0860221,14117039.229331,26087.405368902,16240.9220231941,14104.835842389,10373.9938855017,42235.5375550778,6113.78480637869,1153.42276544795,2386.64213728647,0.779247144980423,0.4851265175459,0.632186831263162,2.38457901930399,1.75383878566043,2.06920890248221,0.158339456068819,0.120843322078119,14078.5125183593,2037.9282687929
8,40587645.5390728,16494389.1190438,26977.0794794321,17474.9089167975,15895.4384110234,11939.0300264677,42440.3116438067,6120.44360961805,1212.37840484905,2719.05350558369,0.805822268140046,0.521986479285522,0.663904373712784,2.62031817137028,1.96811541260753,2.2942167919889,0.169581228728077,0.144993833483148,14146.7705479356,2040.14786987268
10,37852983.1596622,14189770.3369472,24802.7618102697,15247.0806480903,13806.9344978686,9871.55185812708,39202.8598228157,5665.28293999023,1130.69232601112,2304.03156075145,0.740874036914449,0.455439852921282,0.598156944917866,2.24186946546179,1.60287069449587,1.92237007997883,0.151934117600963,0.115106478633054,13067.6199409386,1888.42764666341
12,41211609.7506719,16034551.2290102,24245.6798834102,15813.5057999296,13401.6918692628,10435.5289400686,42435.3357258918,6130.25608921298,1231.0166068313,2676.27935526409,0.72423365068643,0.472359327134002,0.598296488910216,2.23683661382601,1.74176316285284,1.98929988833942,0.170665985249275,0.139157712132016,14145.1119086306,2043.41869640433
14,39012014.5685826,15625533.7152833,25288.0899389245,16004.6349475424,14871.6709030454,10692.5495189091,40343.0934803472,5815.03856454879,1165.31332045545,2639.91349002619,0.755371092228498,0.478068474536502,0.6167197833825,2.51254935361212,1.80649226017361,2.15952080689287,0.162532068948531,0.138093044177483,13447.6978267824,1938.34618818293
16,39430205.8183722,15004169.2169705,26202.1221320277,16225.2933747909,13166.5153070559,10111.4382281926,43178.6647037424,6231.59374797165,1177.80495512921,2486.50153118069,0.782673806577579,0.484659680025039,0.633666743301309,2.18196422593525,1.67567469236504,1.92881945915014,0.161282311878406,0.12817006756567,14392.8882345808,2077.19791599055
18,40698369.289131,16514078.4624883,27492.1567404056,17275.2806694861,15733.1264831757,11434.7913286034,41853.7726386969,6044.85060711578,1215.68579264382,2725.26514721667,0.821207948677536,0.51602345844941,0.668615703563473,2.59638715891689,1.88704676099999,2.24171695995844,0.167685712840233,0.141759175918593,13951.2575462323,2014.95020237193
20,38482637.5558386,14730760.9295663,23415.0665405267,15177.12966913,13417.6924277018,10162.8056893674,39672.332567205,5733.67111345488,1149.50049737222,2381.51168745473,0.699422709664438,0.453350373347802,0.57638654150612,2.16922883264696,1.64301359870569,1.90612121567632,0.157119526226869,0.125721584747581,13224.110855735,1911.22370448496
