"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4986080.29893583,2557887.76339694,3794.08948816472,2395.33108014455,2263.55088839065,1696.26108503574,4150.50778756891,598.893928132188,1677.62964654129,4666.19396957043,1.27656929398716,0.805939373697998,1.04125433384258,4.1292536976671,3.09438254448637,3.61181812107673,0.229983304125239,0.245814088730973,1383.5025958563,199.631309377396
2,5072156.00946285,2658544.38164271,3606.10268852726,2450.59447105638,2428.18993772297,1840.44994453793,4150.52426845412,598.890053801996,1706.59090572078,5099.64241814575,1.21331876264342,0.824533439056686,1.01892610085006,4.65777456687608,3.53036671888857,4.09407064288232,0.240591487217013,0.275729410214158,1383.50808948471,199.630017933999
4,5069210.384687,2651482.00229935,3786.03034606039,2270.93386792888,2724.93645021663,1796.35907888369,4150.51066906275,598.891984197673,1705.59981308783,4880.05767964424,1.27385769391068,0.76408436161473,1.01897102776271,5.01525073105922,3.30620230901168,4.16072652003545,0.240497830438993,0.268293815723539,1383.50355635425,199.630661399224
6,4890192.75102352,2371628.28772893,3152.50257427841,1973.23004095086,2056.51697644801,1390.28981575539,4150.11144257511,598.821893527679,1645.36707083705,4352.58482746467,1.06069927925869,0.663918151669474,0.862308715464083,3.77426961696545,2.5515610473808,3.16291533217312,0.216925692437157,0.217193034712555,1383.37048085837,199.60729784256
8,5392752.98351293,3189004.85490089,3999.70970808021,2678.89366885347,2845.00674355573,2118.40075755597,4150.65622156469,598.912440798193,1814.4598039358,5480.79170409818,1.34575281213712,0.901347585549219,1.12355019884317,4.88957843203667,3.64079511516734,4.265186773602,0.246834569979135,0.297538441491018,1383.5520738549,199.637480266064
10,5208040.81305002,2728236.18143681,3643.97066243245,2312.14781199785,2212.01487609073,1611.0382631352,4150.48938531067,598.879262596231,1752.31106290736,4958.92061326744,1.22605992040042,0.777951313263256,1.00200561683184,4.02062190969246,2.92826951939929,3.47444571454587,0.231959113907741,0.241726688066855,1383.49646177022,199.62642086541
12,5110681.60805372,2772433.27381435,4362.86694967154,2759.37655300745,2306.50442345551,1856.18141380296,4150.26930907497,598.848346566609,1719.55332960324,5073.74172120651,1.46794164952503,0.928427067707716,1.19818435861637,4.22106019068693,3.39693841157196,3.80899930112945,0.236605986483596,0.265066277373865,1383.42310302499,199.616115522203
14,5101426.68804241,2652200.96526091,3693.19763388481,2303.73927682413,2458.74263659367,1725.13911837619,4150.66493049056,598.907482917353,1716.43939495789,4963.20468653656,1.24262295624554,0.775122155478847,1.00887255586219,4.60117582972393,3.22834455963255,3.91476019467824,0.237904820359582,0.264144795187588,1383.55497683019,199.635827639118
16,4792794.5092105,2346804.86175097,3414.91319866683,2132.51830522472,1912.21730977155,1470.93836957531,4150.25666754031,598.841537824025,1612.59620310325,4242.43963036841,1.1489906457526,0.717512698582198,0.9332516721674,3.45681340151925,2.65909080666374,3.0579521040915,0.221383319642877,0.232646424960463,1383.4188891801,199.613845941342
18,5354910.909854,3013984.43991615,4175.15980647465,2496.98559925802,2656.70950961552,1855.63546984635,4150.71928387767,598.920836176139,1801.72736064355,5602.78991010772,1.40478521212031,0.840142319648558,1.12246376588443,4.93864037167199,3.44949879289436,4.19406958228317,0.241485728736181,0.282814074231649,1383.57309462589,199.64027872538
