"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Bubanza",201303.876182995,0.0719185961625409,0.000585023739666829,1,29.42838636,-3.04668647,1,"Gitega",117.767546454004,0.20083198576374,1,29.42838636,-3.04668647,1,"Gitega",40428.257195769,4.7367409282131,1615.59021372084,0.0416629765255043,8386.91866790515
"Bugarama",195016.1571555,0.0103240456505566,0.000228900952055872,2,29.4303905,-3.72944816,1,"Gitega",44.6393840391714,0.0178593537608418,2,29.4303905,-3.72944816,1,"Gitega",3482.86253971999,1.83407082452418,137.274257669026,0.0420754307534764,8205.38881620531
"Buhiga",277009.19890515,0.0463008787040516,0.00047310029010106,3,30.1393365,-3.0502219,1,"Gitega",131.053132362689,0.143359368250828,3,30.1393365,-3.0502219,1,"Gitega",39711.8637547104,3.89709649470416,1178.07573482287,0.0409618121918267,11346.7987809611
"Bururi",161565.439110322,0.020086464180502,0.000352809595474477,4,29.64527524,-4.00189913,1,"Gitega",57.001837215169,0.0355907980037327,4,29.64527524,-4.00189913,1,"Gitega",5750.24290775985,2.96106940103975,289.821662488368,0.0406101237064465,6561.19246895653
"Busoni",218791.205835172,0.274669470780962,0.00172412509056517,5,30.25180248,-2.47173859,1,"Gitega",377.223407575428,0.696663192484452,5,30.25180248,-2.47173859,1,"Gitega",152423.779944654,13.7492287453375,5580.46869595184,0.0420689362643252,9204.31329347471
"Butezi",125726.232208091,0.174245371575098,0.00123322828457848,6,30.17161805,-3.44652457,1,"Gitega",155.0491456725,0.4271047418049,6,30.17161805,-3.44652457,1,"Gitega",53698.2699453396,9.91301120627263,3442.74279304224,0.0416666410694432,5238.589790428
"Buye",194429.100944065,0.0768283148081873,0.000644833372787057,7,29.8634721,-2.84840217,1,"Gitega",125.374372929717,0.22700120795057,7,29.8634721,-2.84840217,1,"Gitega",44135.6407750461,5.07473857339179,1802.86551102108,0.0417054301051566,8108.74927983114
"Cankuzo",179215.356633093,0.0886127495404568,0.000730169061408236,8,30.52891483,-3.14505865,1,"Gitega",130.857508742728,0.275966376669193,8,30.52891483,-3.14505865,1,"Gitega",49457.4126135119,5.96589117936642,2249.51780061071,0.0406296931499412,7281.46494775985
"Cibitoke",305498.934537512,0.079571970427117,0.000641002817550313,9,29.19244319,-2.90271457,1,"Gitega",195.825677797164,0.201508178604465,9,29.19244319,-2.90271457,1,"Gitega",61560.5338642586,5.29934809308217,1632.85136575051,0.0411923426928274,12584.2168037628
"Fota",170992.624432377,0.0101468613321054,0.000266818341632079,10,29.67894889,-3.45736142,1,"Gitega",45.6239684823637,0.0250215317475137,10,29.67894889,-3.45736142,1,"Gitega",4278.49738082542,2.18713860310763,204.474139884152,0.0412186768193555,7048.08972497158
