"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.124528679967437,0.17831629951552,0.00138265554334498,0.00210634297918895,1,29.42838636,-3.04668647,1,"Gitega",278.33392030125,424.015006281573,1.35239053871327,3.99861570638966,1,29.42838636,-3.04668647,1,"Gitega",272241.457556191,804936.841062443,2.55955109053666,0.701896206789307,2490.45578185706,1332.88118018917,0.180895038344537,36414.8724010269
"Bugarama",195016.1571555,0.0219752894406279,0.0695993818606059,0.000306514225247401,0.000746024167321299,2,29.4303905,-3.72944816,1,"Gitega",59.7752263212435,145.486766256132,0.136911005055177,1.34893944868072,2,29.4303905,-3.72944816,1,"Gitega",26699.8580781578,263064.987517173,0.583198736657591,0.248680933597394,259.065667013916,449.638552594062,0.17607413699004,34337.3015702687
"Buhiga",277009.19890515,0.0878740839277778,0.169127532033333,0.00081608129005908,0.00179236570318224,3,30.1393365,-3.0502219,1,"Gitega",226.062024400747,496.501787583577,1.10171868792502,3.74609805438919,3,30.1393365,-3.0502219,1,"Gitega",305186.211160944,1037703.62106649,1.48231256087147,0.597471324240578,2005.74936320193,1248.72353835595,0.183796937420946,50913.4423961962
"Bururi",161565.439110322,0.0451366970611111,0.114240829177778,0.000583727720963682,0.00136703918893429,4,29.64527524,-4.00189913,1,"Gitega",94.3102255583648,220.866286841187,0.30263134164846,2.15794249307389,4,29.64527524,-4.00189913,1,"Gitega",48894.7656019793,348648.926468307,1.0773683944476,0.455770270273385,556.480340870657,719.341699977359,0.180814841805919,29213.4293140368
"Busoni",218791.205835172,0.343142622333333,0.269491121222222,0.00298761557248258,0.00378735379572561,5,30.25180248,-2.47173859,1,"Gitega",653.664013675402,828.639703891222,3.13676876738602,5.41900952274554,5,30.25180248,-2.47173859,1,"Gitega",686297.421042494,1185631.62791378,5.59337220331762,1.26213981592443,5869.04965765794,1806.31211505911,0.178457981535873,39045.0369711445
"Butezi",125726.232208091,0.252559957788889,0.2355818258,0.00203060371866856,0.00289216620566464,6,30.17161805,-3.44652457,1,"Gitega",255.300154655936,363.621159957786,2.31491668326939,4.79346023138177,6,30.17161805,-3.44652457,1,"Gitega",291045.752463111,602663.694130954,3.8025049636349,0.964089996278478,4316.39190282981,1597.83890606924,0.178799920945369,22479.8403795658
"Buye",194429.100944065,0.136224588311111,0.181487429111111,0.00109483712782052,0.00203544432061964,7,29.8634721,-2.84840217,1,"Gitega",212.868198442325,395.74960927978,1.50354416616208,4.09235820030185,7,29.8634721,-2.84840217,1,"Gitega",292332.740456587,795673.52562576,2.03954678863091,0.678322118512181,2800.79616466786,1363.98706748009,0.178953358228494,34793.7405512872
"Cankuzo",179215.356633093,0.154061453133333,0.207919656777778,0.00125638081139332,0.00220669714204501,8,30.52891483,-3.14505865,1,"Gitega",225.162735180829,395.474015292823,1.81898707747103,4.97448150748857,8,30.52891483,-3.14505865,1,"Gitega",325990.417799959,891503.47742929,2.33768108969119,0.735599254797266,3396.60623282003,1658.15876646378,0.178753107676954,32035.301941599
"Cibitoke",305498.934537512,0.1422574059,0.188584993177778,0.00122649561101019,0.00213965516153569,9,29.19244319,-2.90271457,1,"Gitega",374.693102378548,653.662372126842,1.38843152181285,4.00570625319907,9,29.19244319,-2.90271457,1,"Gitega",424164.350592121,1223738.99242257,2.29793868586295,0.71309106983488,2591.45888713441,1335.17229932787,0.178644667968206,54575.7557250947
"Fota",170992.624432377,0.0227389181315556,0.0749574798878889,0.000313886489524595,0.000922002848342606,10,29.67894889,-3.45736142,1,"Gitega",53.6722746176763,157.655686772229,0.23417583102927,1.6685213415315,10,29.67894889,-3.45736142,1,"Gitega",40042.3399263277,285304.843109901,0.587921635295685,0.307473308873084,439.366552648649,556.18894868224,0.179103904276714,30625.4466383606
