"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,2811677.0473395,1344157.54335013,1854.26702567172,1252.24877610798,821.912616353405,644.391009227891,3095.05401906657,444.888983088714,1143.10171982475,2962.36916853269,0.753861766615524,0.50910816054495,0.631484963580237,1.81140120513324,1.42016392919139,1.61578256716231,0.147986146945244,0.137792165352057,1031.68467302219,148.296327696238
2,2498691.96945831,903195.613304115,1832.95982587854,1042.09029544751,734.931084073568,572.543687775728,3353.40501817598,483.746261394879,1015.85603165299,2033.3357955622,0.745199215291829,0.423667152693052,0.58443318399244,1.65452716831891,1.28894954507002,1.47173835669446,0.133511326610999,0.0919560358870446,1117.80167272533,161.248753798293
4,2952273.97044564,1396150.65337034,1490.29427678715,1020.13566112775,868.831011778584,707.810949745914,3339.06625862122,481.015532305135,1200.26211979201,2966.6234561771,0.605886779369751,0.414741383543004,0.510314081456378,1.84614350376465,1.50399855559014,1.6750710296774,0.158986991238701,0.13753793439853,1113.02208620707,160.338510768378
6,2213251.89675398,785464.593823188,1668.75610811228,1044.63562969593,694.763122403072,527.020981345533,3129.90104037386,453.01725878239,899.808906566566,1919.80803594415,0.67844135191707,0.424701971382366,0.551571661649718,1.69811833143852,1.28812822761822,1.49312327952837,0.122727364939027,0.0875677232194932,1043.30034679129,151.005752927463
8,3080003.70284195,1305879.7597022,2497.00865412547,1579.07740317865,1198.80011045274,891.735565015751,3343.73191500115,482.711555543647,1252.19129740263,2957.53558586002,1.01517167117361,0.641982014619322,0.828576842896465,2.71502330950088,2.01958843998968,2.36730587474528,0.168038754961903,0.139436637935048,1114.57730500038,160.903851847882
10,2624743.25565911,1253013.97273351,1189.86059798789,917.1191594447,779.964841512753,611.153963060441,2943.82639005841,422.57180616133,1067.10282835697,2702.85034932995,0.48374392684916,0.372859496590286,0.428301711719723,1.6824459185789,1.31830748778379,1.50037670318135,0.135509017152241,0.115233747310095,981.275463352802,140.857268720443
12,3046508.76003951,1171409.11812729,1333.23765332975,1020.32211480955,585.053883150348,585.053883150348,3379.99881600321,487.656708537282,1238.57375666866,2624.58469356854,0.542034603831346,0.414817187243337,0.478425895537341,1.31083448375753,1.31083448375753,1.31083448375753,0.163193972953036,0.123115058815038,1126.66627200107,162.552236179094
14,2710491.57654916,1234140.87890368,1771.42594735415,995.526180348631,922.771595312508,608.6718998472,3289.71505289586,470.704698630449,1101.96424786966,2808.5669521014,0.720182301476895,0.404736272952787,0.562459287214841,2.09997566018139,1.38517069793702,1.7425731790592,0.155449753052887,0.131212667185403,1096.57168429862,156.90156621015
16,2273120.17279526,844430.185859016,1758.0007086761,982.569815907061,935.295816397805,608.41806025558,3139.71552984402,450.54117118227,924.148661151995,1852.77216647664,0.714724201857502,0.399468796558281,0.557096499207891,2.05214129606355,1.33493575490378,1.69353852548367,0.12051216955378,0.0797390615355057,1046.57184328134,150.18039039409
18,2665843.08646972,1173552.66121761,1393.35714263958,948.026980963835,609.967563165526,609.967515687825,3298.38825907396,476.586738585114,1083.81217530297,2712.3291220837,0.566476490459144,0.385425229901653,0.475950860180398,1.40976441856793,1.40976430883689,1.40976436370241,0.147779825423657,0.113459068883762,1099.46275302465,158.862246195038
20,3046421.66086839,1333818.05907408,1685.44862498114,927.550801515071,1149.30159419553,696.569260361268,3295.9615846262,475.090846821318,1238.53834605406,2832.38479676977,0.685227780237155,0.377100534159846,0.531164157198501,2.44056101966594,1.47917639105443,1.95986870536019,0.158212785760706,0.125174183816383,1098.65386154207,158.363615607106
22,2700524.98003631,1080967.11659451,1672.87400080085,1197.91638324097,836.395016133533,836.394979359962,3360.16517493679,484.428916954657,1097.91227695592,2367.04188211234,0.680115502303157,0.487019047647993,0.583567274975575,1.83149145129893,1.8314913707742,1.83149141103657,0.143958989991472,0.114745471558701,1120.05505831226,161.476305651552
24,2934468.85942466,1271266.96841355,1675.06224239643,1067.38369422192,687.090304000482,687.090304000482,3352.58723649326,482.161534967466,1193.02336061481,2910.39234590122,0.681005143143547,0.433950313650885,0.557477728397216,1.57299954407014,1.57299954407014,1.57299954407014,0.164954988972762,0.135075641118349,1117.52907883109,160.720511655822
26,1897984.67031899,713919.680790307,919.013650182174,639.656432837378,428.2093013545,428.2093013545,3015.79277980806,431.224192142002,771.63539919906,1666.65967996324,0.373629711513172,0.260055602461616,0.316842656987394,0.99966312227551,0.99966312227551,0.99966312227551,0.107296030891923,0.0762232376324358,1005.26425993602,143.741397380667
28,2932383.61703088,1272353.93977747,1825.00126996014,1183.81392200725,1152.54363264843,822.608816165626,3361.99761519848,484.227136087859,1192.17559462802,2786.22599371052,0.74196362357753,0.481285619726287,0.611624621651909,2.52386299737653,1.80136516625001,2.16261408181327,0.164175589434984,0.131894501450382,1120.66587173283,161.40904536262
30,2808453.12522673,1211768.62398814,1728.96166739019,1105.59173800366,928.709996445576,760.201096415326,3133.47375512076,453.306392639915,1141.79101775989,2820.9965244169,0.702918230731693,0.44948398975333,0.576201110242511,2.16203623389894,1.76974763035831,1.96589193212862,0.146841062428112,0.117749808987287,1044.49125170692,151.102130879972
32,2955518.32998008,1085119.93183996,1429.13858916635,941.15651355426,474.162194262763,474.162194262763,3380.36337755878,487.561428942609,1201.58113079545,2531.64993854385,0.581023621005758,0.382632006149545,0.481827813577651,1.10624886221534,1.10624886221534,1.10624886221534,0.160351830124733,0.115064498489413,1126.78779251959,162.520476314203
34,2574274.25138559,1166899.46138231,1472.01662540676,1008.8994482446,622.356200642179,622.356200642179,3195.74224806347,458.504132487721,1046.58439590133,2743.27808458231,0.598455906486589,0.410173243584256,0.504314575035423,1.46310473397865,1.46310473397865,1.46310473397865,0.147249494090047,0.126507487036324,1065.24741602116,152.83471082924
36,2383292.10966704,908590.047298044,1431.01070638534,971.794510146913,461.483709048577,461.483709048577,3248.44814064005,467.617797364433,968.939626968546,2027.91812078108,0.581784739859992,0.395088040753585,0.488436390306788,1.03000377211692,1.03000377211692,1.03000377211692,0.12820753954622,0.0882624560950114,1082.81604688002,155.872599121478
38,2947726.28488912,1192666.73529085,1532.79888197029,1064.20993654491,679.976139477362,679.976139477362,3340.99418937241,481.934785796462,1198.4132349118,2769.27550404985,0.623167244539564,0.432660006194583,0.527913625367073,1.57884948969741,1.57884948969741,1.57884948969741,0.165841249124361,0.138953635446571,1113.66472979081,160.644928598821
40,3201613.19820125,1444640.20990561,1460.18818815664,1027.54708891499,899.142286162433,764.866591818762,3222.11031212762,464.931814417437,1301.63226126573,3163.58927437166,0.593646994674953,0.4177545375103,0.505700766092626,1.9690140653245,1.67496635467535,1.82199020999993,0.160099018454062,0.131046516697846,1074.03677070921,154.977271472479
42,2610132.65559983,998658.612264849,1096.74380476398,785.247237991605,686.072960668782,514.979633950032,3364.60928789483,485.63167881022,1061.16281399037,2236.5127727541,0.445886817128992,0.319246290780513,0.382566553954753,1.53647194419831,1.15330555896916,1.34488875158373,0.140634579898747,0.102550944301198,1121.53642929828,161.877226270073
44,3034615.47978053,1366763.56234584,1922.01196974014,1133.05232859247,1341.52657798836,857.642960087207,3346.44746060035,481.924088821273,1233.73848259931,3206.93082789926,0.781403820973195,0.460648233655088,0.621026027314141,3.14771556538503,2.01234633685566,2.58003095112035,0.165692134018642,0.135104582095804,1115.48248686678,160.641362940424
