"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,36811703.2855969,13603213.2971881,22606.7737717536,14368.5563956506,12719.9214376887,9454.02906452297,38993.0905541151,5628.09729671491,1099.58864369712,2220.30553433659,0.675278498177404,0.429197783009426,0.552238140593415,2.0761353473936,1.54307902075448,1.80960718407404,0.148681165657168,0.112457778625227,12997.6968513717,1876.0324322383
2,38099183.0692478,14773428.9550389,25383.5900057144,16517.5503446902,14705.7968426558,10959.7259815478,40583.5492717323,5865.65310239594,1138.0464715816,2439.15355288561,0.758223739064744,0.493389578846872,0.625806658955808,2.42798721447423,1.809495591572,2.11874140302311,0.157388181276328,0.127184182926687,13527.8497572441,1955.21770079865
4,39508666.1645851,15780143.4761112,26688.3978996139,17443.0265966779,15450.1182772149,11773.6356839666,40939.5922503403,5906.61599024813,1180.14861483457,2626.80300147402,0.797199168460306,0.52103413440579,0.659116651433048,2.57186616364772,1.95986947772206,2.26586782068489,0.163060309510328,0.137752236253867,13646.5307501134,1968.87199674938
6,36849324.1678829,13545446.0957588,23143.5529037516,14837.5426428083,12951.5943114829,9567.63375495997,41423.0711199801,5973.4977604614,1100.7124030246,2273.81780590882,0.69131242720099,0.443206696083178,0.567259561642084,2.17413037209443,1.60607896105052,1.89010466657247,0.150761551441632,0.115441211266817,13807.6903733267,1991.1659201538
8,38439805.6550913,15508928.1452109,23908.7968709628,15563.947306549,13930.2778593488,10424.521870424,40195.0640093061,5808.35425792225,1148.22108165803,2590.50791988336,0.71417074401059,0.464904858561044,0.589537801285817,2.32682070501193,1.74124260641892,2.03403165571542,0.159785511422221,0.138583032239118,13398.3546697687,1936.11808597409
10,35543975.0139899,12976060.7201729,21401.2264650666,13831.2421541226,12419.5083780822,9301.66853886994,37464.7302830735,5409.58288647353,1061.72080585387,2150.15801928299,0.639268044719486,0.413147869928871,0.526207957324178,2.05793623431271,1.54130422420657,1.79962022925964,0.142614402512086,0.106096153733412,12488.2434276912,1803.19429549118
12,38911550.7170888,15397983.0760789,24557.7012784119,15561.4546703032,14150.0643901901,10199.392613629,40848.2535974515,5900.39000177677,1162.31240225975,2535.06971059647,0.733553925270645,0.464830401954475,0.59919216361256,2.32961677262055,1.67919208337489,2.00440442799772,0.159141266669655,0.131110653746974,13616.0845324838,1966.79666725892
14,35827463.3626636,14499937.7381559,23043.0611899972,14908.7926096576,13846.2252038902,10198.1262814508,37338.8543467266,5391.06155826884,1070.18878046519,2442.13831036034,0.688310676742103,0.44533497723886,0.566822826990481,2.33203739456869,1.71760978119835,2.02482358788352,0.149307811836846,0.126343626593618,12446.2847822422,1797.02051942295
16,37571369.0657116,14177208.2410736,26219.3091416105,16319.7906038512,15049.5825645537,10567.6216713098,40947.6853128185,5916.90543488864,1122.2803365628,2356.12745712739,0.783187193323357,0.487482371469916,0.635334782396637,2.50110840552664,1.75624588091837,2.1286771432225,0.153357323888549,0.120244202503963,13649.2284376062,1972.30181162955
18,37125464.6105773,15015702.1739038,24268.2416359235,15379.371468038,14609.6258332564,10455.5742214642,39386.6333808577,5689.15814571289,1108.96089108005,2507.28538810841,0.724907584371406,0.459391462607782,0.592149523489594,2.43947974947957,1.74584632580953,2.09266303764455,0.152385709173841,0.127326584065329,13128.8777936192,1896.38604857096
20,36262133.8939401,13603864.049236,22608.8987892994,14656.1218205704,12555.443335051,9602.62791721571,38286.8179027993,5534.63869187612,1083.17266160303,2226.22212111634,0.675341973783053,0.437787542442954,0.556564758113004,2.05465194240037,1.57143460216772,1.81304327228405,0.148031215878941,0.117421866042566,12762.2726342664,1844.87956395871
22,38271130.4696905,15053142.9234853,25423.4017671895,16332.5119859859,14446.8020919465,10984.9764028036,40128.8524978354,5798.15539756169,1143.18264817667,2457.40248142674,0.759412941326424,0.487862367125617,0.623637654226021,2.35841827117991,1.79328054000923,2.07584940559457,0.156397156372001,0.127038880964633,13376.2841659451,1932.7184658539
24,37164291.8027417,15154108.0942717,24680.2323204325,15809.6585972039,13618.6962817157,10216.8949550286,39372.3054853159,5676.57608396064,1110.12068363948,2500.99418849721,0.737214004274891,0.472244408777891,0.604729206526391,2.24759385663578,1.68616950255699,1.96688167959638,0.155805689587348,0.130151681367849,13124.1018284386,1892.19202798688
26,36371450.1060089,13118737.1608369,23408.5651367311,14802.2639556946,11968.3410295303,9385.46126808641,41027.3385511749,5919.07413218545,1086.43800535608,2243.44239538535,0.699228508659222,0.442152899593138,0.57069070412618,2.04671252567159,1.60501284924966,1.82586268746062,0.151362831274652,0.117410574940644,13675.7795170583,1973.02471072848
28,38858360.3489056,15557833.2754347,27525.6378148734,17031.9069715895,16404.0464770457,11550.5809407872,40902.5988838578,5904.7042208177,1160.72357263254,2608.35589276466,0.822208049351441,0.508753733593012,0.665480891472227,2.75022816712836,1.93651810816924,2.3433731376488,0.161071079441468,0.134400461412543,13634.1996279526,1968.23474027257
30,35713346.6524257,13183342.451574,20563.7064073134,13625.8425949071,11740.8856447221,8914.36241900997,38007.0280364974,5494.02568303965,1066.78004282379,2156.02052648702,0.614250795796524,0.407012456389828,0.510631626093176,1.92011931284812,1.45786612359716,1.68899271822264,0.143167666788173,0.109169737503539,12669.0093454991,1831.34189434655
32,38862598.2860593,15044202.166888,24695.3029757949,16053.852085646,14047.6812608089,10729.6302920624,40798.0475520334,5893.87177643221,1160.85016247085,2488.58934649904,0.737664174193981,0.479538621291574,0.608601397742777,2.32374635363562,1.77487934158911,2.04931284761237,0.16150121767515,0.131652079682908,13599.3491840111,1964.6239254774
34,36282948.8276304,14288722.9213023,23590.7125582357,15483.632579246,13850.4512266319,10454.6250299419,38028.639313275,5485.31882018449,1083.79441671519,2431.68461331871,0.704669366274837,0.46250580733055,0.583587586802693,2.35709862391624,1.77918985225934,2.06814423808779,0.150670355516486,0.127691938186153,12676.213104425,1828.43960672816
36,37381677.8686388,13774719.4390115,24322.546038115,15312.0273252131,13570.5688695364,9922.04156373486,41797.6489871117,6033.92946098772,1116.61414164396,2309.96141699954,0.726529690892512,0.457379850863133,0.591954770877822,2.27572624140602,1.66388384834777,1.9698050448769,0.154698737247699,0.120203280267068,13932.5496623705,2011.30982032924
38,37279495.3198144,14766238.2146003,23189.5625387003,15078.6677761407,14038.1209369347,10315.2073098866,39274.1591240926,5673.11961887974,1113.56188488204,2466.86186128271,0.692686763826974,0.450409254907074,0.571548009367024,2.34522189335652,1.72326838658363,2.03424513997008,0.155453061350926,0.129747068343633,13091.3863746975,1891.03987295991
40,36357173.6016542,13592522.1525893,22977.3433210227,14632.1425489933,13228.4015358061,9630.40955430126,38179.7606709162,5519.48207536829,1086.01155722521,2236.44339322545,0.686347642816405,0.437071266575313,0.561709454695859,2.17653286752609,1.58453784956087,1.88053535854348,0.146736849259712,0.114961210745496,12726.5868903054,1839.8273584561
42,38484590.2742237,14902689.2717467,23652.4969676237,15194.4062430551,12843.5292676911,9748.43477616017,40477.3829087331,5853.11859361045,1149.55882629398,2473.27080379988,0.706514905297943,0.453866435436607,0.580190670367275,2.13152977803493,1.61786364024475,1.87469670913984,0.157346463007196,0.129557385532473,13492.4609695777,1951.03953120348
44,37756806.2718218,15347803.5229579,24730.9613856191,15883.5709429593,15152.7051755972,10892.1216143777,39227.6012576109,5649.48926368036,1127.81946210599,2577.88191899689,0.73872931323932,0.47445221685977,0.606590765049545,2.54511237634965,1.82948676188214,2.1872995691159,0.155730674196218,0.131847501594559,13075.8670858703,1883.16308789345
46,37074977.5559568,13727498.9817179,24652.7292681276,15601.1059235413,12900.9149867633,9730.74604046856,41170.4602659535,5950.6274392679,1107.45281112288,2274.63458670681,0.736392470868876,0.466014809734541,0.601203640301708,2.13767034098033,1.61237611655173,1.87502322876603,0.150658614346049,0.11665506627834,13723.4867553178,1983.54247975597
48,38757879.9416872,15568334.5185964,25616.6792633281,16605.3225041123,13342.899767375,10640.1361446719,41062.7672691777,5924.57538692619,1157.72215990696,2561.57438444927,0.765186261245566,0.496011388247664,0.630598824746615,2.19540697931145,1.75070108897567,1.97305403414356,0.160099164130428,0.134107234143792,13687.5890897259,1974.85846230873
