"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,25923132.5794222,9399461.19419024,15458.9040860847,9683.12739726702,8655.06160452317,6292.51016769013,26981.7741566723,3895.14140716076,1283.09026941688,2527.12754569212,0.765153260237125,0.479275662495349,0.622214461366237,2.32698918997315,1.69179652405464,2.00939285701389,0.172248742926651,0.127254751617423,8993.92471889077,1298.38046905359
2,26460503.2664287,10445942.1861706,17792.4991373986,11396.4350794024,10186.8831974728,7493.54997456302,26856.4745692855,3882.69453034861,1309.68794612341,2848.90185997696,0.880656781809091,0.564077466780766,0.722367124294928,2.77824919680964,2.0437015713744,2.41097538409202,0.179821600576848,0.146973047164089,8952.15818976184,1294.2315101162
4,26817934.4804889,10983951.1569035,18429.4918191896,11932.8086941262,10891.0436352229,8169.61012915097,26459.3712444336,3815.76159275979,1327.37934631748,3022.79203894422,0.912185344539377,0.590625792439927,0.751405568489652,2.99722381555335,2.2482831639464,2.62275348974987,0.182270826459555,0.158267833876928,8819.7904148112,1271.92053091993
6,25222869.3171894,9719135.40250953,15860.4353908657,10213.1897742032,8878.18614096589,6638.40239498705,26581.9322103141,3833.8429370129,1248.43006872361,2711.94904156929,0.785027436648958,0.505511607396958,0.645269522022958,2.47729735194854,1.85232618613256,2.16481176904055,0.170608420979344,0.137021675897806,8860.64407010471,1277.94764567097
8,25799504.0097454,10437662.7509598,16182.4339865233,10418.3870922581,9945.74142892624,7155.45902928702,26032.2473327256,3761.65542074529,1276.97115498161,2931.57279261772,0.800965065467093,0.515668045138424,0.658316555302759,2.79340937440902,2.00971707071295,2.40156322256098,0.17663600143561,0.155026416550704,8677.4157775752,1253.88514024843
10,24976431.2508874,8833875.79366849,14270.7585792474,9289.55363865479,8081.66786890784,6219.98004857846,26217.5247884801,3783.55858128422,1236.23238065805,2439.43081889359,0.706344860681108,0.459795352450796,0.583070106565952,2.23171234551498,1.71761652278162,1.9746644341483,0.16576762987736,0.121758657706043,8739.17492949337,1261.18619376141
12,26926252.955605,11047494.9623234,17716.1888224239,11152.9057882366,10297.4010792289,7283.99448659708,26941.6423054705,3892.80544225224,1332.74067296247,2972.97020192039,0.876879729699351,0.552023751325834,0.714451740512592,2.7711138742472,1.96018179989749,2.36564783707234,0.180995870434215,0.153293328888767,8980.54743515682,1297.60181408408
14,25047890.3056111,10260394.6485252,15580.7928317962,9830.68807802892,9161.63366539006,6672.06118864578,25420.4296655831,3667.0465965436,1239.7693149964,2830.65533177173,0.771186260419285,0.486579319684697,0.628882790051991,2.52752726099121,1.84069972203867,2.18411349151494,0.17096263361714,0.145336402725981,8473.47655519438,1222.34886551453
16,26112818.2981929,10241278.8965563,16605.7767404526,10300.0604680694,9593.76098631104,6732.96162136283,26981.241897616,3895.30074376582,1292.47894569882,2838.18674844786,0.821918820439825,0.5098113555719,0.665865088005863,2.65873877414664,1.86591954428519,2.26232915921592,0.175189426877244,0.142234292019913,8993.74729920533,1298.43358125527
18,25073131.9810703,10195730.2685982,15302.0275427818,9917.29287186994,9056.95303644924,6756.94960353509,25850.6804673809,3729.80121604082,1241.01867589313,2852.96009159762,0.757388505511015,0.490865906883286,0.624127206197151,2.53430846871708,1.89072357270906,2.21251602071307,0.170529339672896,0.145964530618769,8616.89348912698,1243.26707201361
