"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
0,1318355.73011825,3409.25861095791,2480.71656042635,4134.58328752815,10.6920031928436,7.77994057105748,9.23597188195052,0.185995263234131
2,1749124.98785664,4146.19811538478,3159.85469712966,5349.90668336826,12.6816397696354,9.66479118416898,11.1732154769022,0.241564337876531
4,1733392.53701623,5488.41150793753,3817.88100526402,5215.21409200561,16.5128442794568,11.4867615932669,13.9998029363618,0.24548490844072
6,1493203.3653299,3796.91191569171,2824.22377332929,4697.33744507236,11.9443720335305,8.88447775550806,10.4144248945193,0.206288220583045
8,1732516.47890153,4654.11357603776,3393.25661084072,5552.3370864121,14.9154179641586,10.87464665042,12.8950323072893,0.265431943757957
10,1337002.00238386,2823.00786986177,2350.75207367873,4124.98548249784,8.70968514586684,7.25265793139209,7.98117153862947,0.172736389763801
12,1737324.9546547,4511.58732455904,3187.11765679781,5227.83326725647,13.5759440053344,9.59044516584386,11.5831945855891,0.239501704082423
14,1699082.4860894,3748.26709207454,2796.19160992397,5090.11399731815,11.2290644787752,8.37683524454188,9.80294986165856,0.235186019397135
16,1510087.8000389,5075.07880036394,3460.16963699874,4761.24741991702,16.0015237812569,10.9097787269131,13.455651254085,0.215494323261009
18,1724079.18524354,5100.3317812595,3495.32781330974,5378.95384012467,15.9125227283806,10.9050716027531,13.4087971655668,0.239132379846894
20,1336052.23124354,3585.65529589443,2761.99378019397,4045.85628873515,10.8581428846,8.36391695154335,9.61102991807169,0.18800299930089
22,1674926.54288192,4505.84110303935,2975.15336437084,5050.83990590022,13.5876299468741,8.97175067336486,11.2796903101195,0.236982368336961
24,1619708.81791626,4209.35156200643,3275.07176756553,5113.01064435015,13.2878571162188,10.3385723553176,11.8132147357682,0.233919481889313
26,1505060.95156284,3763.45242679104,3036.69308612665,4709.12159474431,11.7753072228681,9.50138064085752,10.6383439318628,0.215484799532099
28,1799030.37460772,4399.10783509964,3339.08819012156,5681.20134340445,13.892048569774,10.5445870059871,12.2183177878805,0.249321865707698
30,1295656.88344326,4088.35121812733,2920.68233045483,4002.41538820024,12.6293311422959,9.02228364070501,10.8258073915005,0.182402799178364
32,1662991.55088554,4971.79167129919,3378.84550127155,5132.1944127653,15.3435544656179,10.4275286269428,12.8855415462804,0.241112464457589
34,1624209.15802637,4524.74785404739,3176.96584278739,5156.0893511378,14.3639161936424,10.0853511815124,12.2246336875774,0.240246085119752
36,1485673.61193012,3806.06987582117,2599.83701444709,4575.62110339994,11.7220454782105,8.00705418281596,9.86454983051323,0.211245220338358
38,1748709.60943003,5178.77215241578,3605.54760931354,5565.09205580309,16.4809203362341,11.4742918144943,13.9776060753642,0.256171281618807
40,1427769.48136465,3020.64910988034,2489.24910770619,4329.2152076527,9.15906960763559,7.54778361169165,8.35342660966362,0.194860746939988
42,1592910.18135529,4778.10263077953,3144.90802300409,4942.37094931439,14.8251646022597,9.75780193578558,12.2914832690226,0.233424154152737
44,1689794.36717673,5195.15589742074,3773.25278415985,5253.92725055227,16.1528359133603,11.731839098885,13.9423375061226,0.239859548854425
46,1488955.60791,3951.79805346716,2966.95099861067,4605.5866504892,12.2235668167602,9.1772715313101,10.7004191740351,0.205125162604054
48,1797230.66679419,4194.46847854675,3196.76435165571,5536.27660148202,12.9208443426207,9.84746811164335,11.384156227132,0.259620049397771
