"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,37915624.6869382,13964218.4489146,27128.5281150648,16977.3206948724,15790.8691530781,11238.6360993803,39552.2674862706,5713.91541767979,1132.56346768262,2303.97771119994,0.810346133785521,0.507123207303202,0.658734670544361,2.6053595983379,1.85427972012799,2.22981965923294,0.163138470629939,0.132881588214837,13184.0891620902,1904.63847255993
2,39301875.1105697,14891323.0772505,28521.8587900757,17772.4604446403,16829.4646586196,12098.9245348332,41478.7322798884,5991.1654769604,1173.97163647393,2457.18678927143,0.851965794122082,0.530874529870745,0.691420161996414,2.77699557085332,1.99641881229491,2.38670719157412,0.172411289406236,0.145937424797393,13826.2440932961,1997.0551589868
4,39373051.9910226,15514307.8649802,28947.6658773374,17589.3513695811,17650.0534917852,12070.8239742009,41082.407744596,5930.20388063451,1176.09773449315,2598.34023976127,0.864684918633279,0.525404947060874,0.695044932847077,2.95603546228216,2.0216246791156,2.48883007069888,0.174351616005748,0.154457076247605,13694.1359148653,1976.73462687817
6,38021140.9723678,13717141.0150728,24610.937194377,16097.841426023,13329.4286375594,10239.1226055422,42500.8938329013,6139.0599745794,1135.71530524589,2313.58500263403,0.735144115438644,0.480852610452765,0.607998362945704,2.24819196329989,1.72696923318666,1.98758059824328,0.165507965916192,0.133810159693891,14166.9646109671,2046.3533248598
8,39192568.9163549,15414698.9903774,28505.2682571378,18347.6129119629,17809.411307619,12699.1117438588,41268.6861293382,5956.89932836713,1170.70659196045,2557.52120720689,0.851470224507445,0.548054694465569,0.699762459486507,2.95483856905275,2.10696605998492,2.53090231451883,0.174121827083031,0.155419857009378,13756.2287097794,1985.63310945571
10,37149158.6285088,13529382.1966679,25512.5231660588,16225.792173492,14801.3719488012,10871.470511939,38477.3420562168,5560.65234403762,1109.66864624256,2236.89313083718,0.762075053354949,0.484674579454794,0.623374816404872,2.44719875290343,1.7974448024866,2.12232177769501,0.157976539217844,0.124527430947101,12825.7806854056,1853.55078134587
12,40303130.9920219,15615909.1925642,29122.3318758883,18473.2186086561,16527.0718646928,12355.2994323102,42071.0046214562,6077.69193854946,1203.87977704917,2607.06054153425,0.869902301457335,0.551806615331495,0.710854458394415,2.75917824535367,2.06270497808443,2.41094161171905,0.175671068603343,0.153442755500903,14023.6682071521,2025.89731284982
14,37099676.3165911,14659534.7885574,26521.057549499,17087.5794257553,17316.8890380448,12107.3658988575,38674.1339877465,5576.65464159236,1108.1905785795,2455.94684959404,0.792200607345352,0.510416704683822,0.651308656014587,2.90113974905617,2.02837590449265,2.46475782677441,0.164457804708812,0.145603850613907,12891.3779959155,1858.88488053079
16,38456141.7488096,14126424.5128489,23086.5561699085,15381.3077810669,12546.2494654179,10021.7403227801,41927.6452293683,6063.81653525327,1148.70905101375,2370.86722127805,0.689609899046413,0.459449301491267,0.57452960026884,2.1056631549251,1.68196953233485,1.89381634362997,0.166883488694581,0.13724701081654,13975.8817431228,2021.27217841776
18,38335594.4809304,15109373.5807503,27938.9151535773,17993.7980496201,16959.5598618564,12382.3857343661,40454.3122847863,5839.91944538857,1145.10822858615,2528.11399008262,0.83455290242196,0.5374860228237,0.68601946262283,2.83768882430888,2.07183192859383,2.45476037645135,0.167368190356576,0.147392349241938,13484.7707615954,1946.63981512952
