"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,26176931.3978988,9472280.25053208,18421.5293618183,11442.2428157465,10533.398782812,7407.52732544802,27061.3901047281,3905.39585680631,1295.65228495953,2570.84598150622,0.911791235087426,0.566344764553791,0.739067999820608,2.85884129440465,2.0104569706387,2.43464913252168,0.186912071620946,0.147799729230719,9020.46336824269,1301.79861893544
2,26550232.5491864,10235530.9764364,19771.0726174044,12055.7943108162,11625.3794199208,8160.69229202905,26994.4726184051,3900.20986112891,1314.12918289275,2833.84497109379,0.978588170762328,0.596713083301467,0.787650627031897,3.21864328113925,2.25939786276353,2.73902057195139,0.193645052297142,0.165771015587785,8998.15753946836,1300.06995370964
4,26315356.8683407,10609505.4819387,18997.4636659403,11697.6860917646,11765.7108875424,7995.10465370922,26379.5447839749,3803.22229059975,1302.50378616678,2934.82565365824,0.940297654949235,0.578988174097086,0.75964291452316,3.25465783537874,2.21162412153261,2.73314097845568,0.193156601357083,0.174034108479947,8793.1815946583,1267.74076353325
6,25432298.4759895,9682175.26570375,16263.5987941636,10743.8026762246,8625.29017929906,6912.50279312904,26982.6042862465,3896.05523158154,1258.79596547491,2688.45405229009,0.804982395339684,0.531774801064808,0.668378598202246,2.39498828500385,1.91939782493738,2.15719305497062,0.184170168259918,0.154619386954562,8994.20142874883,1298.68507719385
8,25693565.8148174,10232862.1363004,17631.104930688,11357.4443773507,11421.6513547628,7994.92503206882,25978.0595301396,3751.33580000072,1271.72764258374,2866.15853879976,0.872668421006782,0.562147584647615,0.717408002827199,3.19913071451609,2.23932682200804,2.71922876826207,0.189754809615924,0.171821171511506,8659.3531767132,1250.44526666691
10,25838520.7743013,9206345.14003099,17305.3574787667,11094.0579431805,9804.00647106585,7418.2081421949,26569.8059232631,3836.50364703005,1278.90232710336,2509.88613080701,0.856545238958198,0.549111020885704,0.702828129921951,2.67282395932286,2.02239406065456,2.34760900998871,0.182036212779679,0.140695287808791,8856.60197442102,1278.83454901002
12,27511584.0645506,11045115.9532233,19692.0588070751,12546.6505130843,11735.6571060967,8664.83867051115,27475.3517799545,3966.15428327492,1361.71219667682,3037.61843020005,0.974677306561314,0.621008481046452,0.797842893803883,3.22753047292223,2.38299658887453,2.80526353089838,0.197723352745975,0.177479365876002,9158.45059331817,1322.0514277583
14,25338271.5220079,10237185.3380841,17775.8665262748,11394.9952829724,11289.3564793034,7948.73082178799,25700.0305530688,3706.64638529177,1254.14201135316,2832.53384675595,0.879833534795153,0.564006202677801,0.721919868736477,3.12365980293029,2.19933979388914,2.66149979840972,0.185372207109,0.165943324238019,8566.67685102295,1235.54879509726
16,26177081.0887763,10103639.4534816,16077.3792520379,10646.4695043565,9072.26426009947,7049.21197386987,27070.7751413901,3911.80696248476,1295.65969405284,2801.01670551482,0.795765280789783,0.526957202522932,0.661361241656357,2.51509011840551,1.95424238863954,2.23466625352253,0.188117857559851,0.159763860533097,9023.59171379671,1303.93565416159
18,25424973.1104074,10138894.1816346,18416.1759931205,11959.335283616,11486.2756451228,8343.43877674411,26018.0641059425,3754.75704721851,1258.43338949111,2860.32558019565,0.911526264977672,0.591938751386956,0.751732508182314,3.24044096529135,2.35380219305829,2.79712157917482,0.185292019047622,0.168357100511058,8672.68803531417,1251.58568240617
