"Run_Number","cases_U1_sum","deaths_1_U1_sum","deaths_2_U1_sum","incidence_U1","death_rate_1_U1","death_rate_2_U1","death_rate_mean_U1","average_PfPR_U1"
0,973164.656179599,4154.73406832463,3111.13857952142,3030.00442804312,12.9360047597556,9.68670986183653,11.3113573107961,0.145301259327152
2,1210237.47164376,4008.26433261786,3292.10570595081,3752.74079750506,12.4289467485825,10.2082605124108,11.3186036304967,0.186205151997506
4,1180443.96485239,4068.06968046507,3311.44172007905,3730.68094813554,12.8567475496362,10.4654967993376,11.6611221744869,0.18366312649974
6,1069625.95372415,3151.90415172717,2671.63577153458,3255.71741741687,9.59373621131593,8.13189983292264,8.86281802211928,0.156572462135387
8,1253652.41788607,4077.24362414043,3412.74524924629,3879.6109724064,12.617627402707,10.5612398828452,11.5894336427761,0.196312758285654
10,995631.577723986,3932.47630831337,3117.89389951157,3096.92550888294,12.2320208245441,9.6982512080033,10.9651360162737,0.14091223763812
12,1279643.37087054,4290.07241826354,3625.19271350686,3758.45011252854,12.6004037767249,10.6475806245519,11.6239922006384,0.183134987764348
14,1205973.15113988,4625.43762047179,3583.75427604859,3609.68384286749,13.8447256715684,10.7267893110495,12.2857574913089,0.177939986616937
16,1112800.30471356,3091.45535988457,2763.27834142764,3412.40640880023,9.47995973572757,8.47360364806311,8.97678169189534,0.16444868001159
18,1304069.8405035,4553.76816222736,3778.98016329385,3938.41919836844,13.752827799553,11.4128918276521,12.5828598136025,0.191713796282504
20,959583.432999941,4005.47283655005,3445.89642715665,2957.52255285961,12.3452279828638,10.6205630981697,11.4828955405167,0.144263824707019
22,1224384.73823871,4399.17511701467,3691.54186345792,3623.92943754,13.0206623045433,10.9262120076248,11.9734371560841,0.178124207677538
24,1209729.63362221,4736.33996658417,3535.87831499093,3727.16068598566,14.5925995596699,10.8939934013214,12.7432964804957,0.183224601624178
26,1085137.08351335,3624.09275322983,3024.42810550532,3359.52029290893,11.2199770267183,9.36345070983306,10.2917138682757,0.163439145355719
28,1293181.18786619,4689.09275201079,3846.49049925512,3993.93079937344,14.482047944323,11.8797095245573,13.1808787344401,0.191300478545334
30,932451.586619032,3868.26861885763,3196.76751292284,2988.63445364025,12.3983282737194,10.246075685324,11.3222019795217,0.145610991554851
32,1203871.31174744,4546.93414379325,3727.43492255446,3695.96175354486,13.9593779894579,11.4434630829369,12.7014205361974,0.186406209316812
34,1187181.56535657,3807.31603669821,3140.09386763667,3646.6485001968,11.6948777846216,9.64538106642114,10.6701294255213,0.181271190161549
36,1198430.07736866,4056.09816015654,3548.09111020613,3448.14260945815,11.6702719318336,10.2086257432756,10.9394488375546,0.171640184889143
38,1332800.93372271,3824.43935860341,3291.86425319358,3882.06289168727,11.139483579197,9.58824663042545,10.3638651048112,0.19656136264221
40,972829.86038549,3319.01619414908,2828.09739112848,2998.93665874947,10.2315109156628,8.7181585250767,9.47483472036973,0.146707621935522
42,1166682.95207189,4306.35380382159,3529.39027471766,3588.9677155534,13.2472706027112,10.8571636613486,12.0522171320299,0.185100239379509
44,1178590.79385415,4868.21341531877,3532.14660935036,3682.13680818015,15.2092039918309,11.0350828379092,13.12214341487,0.179587522312471
46,1165918.81517374,3897.94692818132,3307.82433525008,3539.64139473833,11.8338722404336,10.0423046538015,10.9380884471176,0.170554817647206
48,1301609.14684577,4555.57558527839,3378.59442593503,3987.01599033916,13.9543831170202,10.3491205741119,12.151751845566,0.198631954782739
