"admin_name","pop_size","pfpr_u5","pfpr_all","mortality_pp_u5","mortality_pp_all","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u5","deaths_all","cases_pp_u5","cases_pp_all","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u5","clinical_cases_all","mortality_rate_u5","mortality_rate_all","incidence_u5","incidence_all","frac_u5","pop_size_u5"
"Bubanza",201303.876182995,0.161768885633296,0.205822294319609,0.00123670649747437,0.00206318251823861,1,29.42838636,-3.04668647,1,"Gitega",248.953811642286,415.326638194425,1.48724449646693,4.22581086091747,1,29.42838636,-3.04668647,1,"Gitega",299388.08197062,850672.106318885,2.3381679123893,0.687744303676889,2793.20419494327,1408.64517557712,0.178133034478023,35858.8703166651
"Bugarama",195016.1571555,0.030187413759006,0.0769687286584947,0.000269163886233545,0.00080418535545191,2,29.4303905,-3.72944816,1,"Gitega",52.4913067383062,156.829137660961,0.153527683144736,1.43279766631654,2,29.4303905,-3.72944816,1,"Gitega",29940.3787838736,279418.694866421,0.504421858340437,0.268032616618404,287.039405936061,477.563099842531,0.178204329190096,34752.7234671263
"Buhiga",277009.19890515,0.109313923389903,0.18281747366196,0.0010338291952379,0.00185797878376702,3,30.1393365,-3.0502219,1,"Gitega",286.380197177606,514.677214474067,1.21851342367333,3.98116881027848,3,30.1393365,-3.0502219,1,"Gitega",337539.427346921,1102820.38284141,1.88701848172728,0.619478430970451,2215.26078586429,1327.05168395156,0.183187913688631,50744.7372199934
"Busoni",218791.205835172,0.387097272683187,0.285167220416473,0.00297120153991741,0.00386302647224136,5,30.25180248,-2.47173859,1,"Gitega",650.072767697849,845.196220034878,3.11150759578313,5.2886090368356,5,30.25180248,-2.47173859,1,"Gitega",680770.498846688,1157101.14836005,5.47816002631732,1.28804391304525,5741.32537412692,1762.88140218025,0.181005734397981,39602.4628920152
"Butezi",125726.232208091,0.292361001164477,0.25455636702923,0.00244612860186271,0.00318453138414759,6,30.17161805,-3.44652457,1,"Gitega",307.542532608644,400.379132277293,2.32863936951533,4.73981887980363,6,30.17161805,-3.44652457,1,"Gitega",292771.054100587,595919.569106485,4.55711000127133,1.0612060078695,4321.30614454694,1579.95183443335,0.179942980849877,22623.5529945477
"Cankuzo",179215.356633093,0.187003578768618,0.229678925382538,0.00148447493754802,0.00223723379796984,8,30.52891483,-3.14505865,1,"Gitega",266.040705345557,400.946652974774,1.99064665883471,5.03535542828117,8,30.52891483,-3.14505865,1,"Gitega",356754.450893537,902413.01885379,2.71890203255056,0.745554463659969,3651.71079116798,1678.42887755049,0.181908168250289,32600.7372474483
"Cibitoke",305498.934537512,0.181170859837266,0.214774873582365,0.00144491686639091,0.00226777341347542,9,29.19244319,-2.90271457,1,"Gitega",441.420563177703,692.802361589237,1.51808177339368,4.16725279625685,9,29.19244319,-2.90271457,1,"Gitega",463772.364312587,1273091.28920493,2.67183167711619,0.755881025560576,2807.54572655526,1388.99823644286,0.180266154751902,55071.1182098802
"Gahombo",256161.000799576,0.0996983034912902,0.171399474687869,0.000900393219340266,0.00167392546771053,11,29.74184956,-3.01315344,1,"Gitega",230.645628179355,428.794423072628,0.974925843739474,3.52261216614279,11,29.74184956,-3.01315344,1,"Gitega",249737.979837675,902355.8579079,1.71358932050716,0.557863630808324,1840.23438385797,1174.21130201432,0.176228655809457,45142.9088417146
"Gihofi",293350.813541338,0.254650941067801,0.247803305332461,0.00213458436470018,0.0029755427908313,13,30.11562611,-3.91875872,1,"Gitega",626.182059957418,872.877898417425,2.07399495438645,4.82963522667592,13,30.11562611,-3.91875872,1,"Gitega",608408.107149896,1416777.42285329,3.89153405873388,0.991875766457359,3788.32568760472,1609.9564956955,0.182573360104311,53558.0437175753
"Gitega",313416.21747821,0.143410713380802,0.192855884954561,0.0012590384053583,0.00196081546974505,14,29.93208819,-3.40581734,1,"Gitega",394.603054667195,614.551367700252,1.20715886388151,3.84247226796995,14,29.93208819,-3.40581734,1,"Gitega",378343.165013037,1204293.12399206,2.27524738634044,0.6537205887498,2187.31436535543,1280.8597120873,0.183606277947891,57545.1851396808
"Kayanza",291321.219954611,0.0203896009533315,0.0695086838871345,0.000296069118052826,0.000801179448329501,18,29.57431919,-2.89999679,1,"Gitega",86.2512166620351,233.400574289912,0.215689824642397,1.62816795886121,18,29.57431919,-2.89999679,1,"Gitega",62835.0228466193,474319.876066456,0.556291950988295,0.267224022265918,407.875013914537,542.753652671714,0.177472595536189,51701.5330401137
"Kibuye",229010.83476279,0.0824269599259059,0.156312432385765,0.000621684387156763,0.0014260736866478,20,29.97990171,-3.64488773,1,"Gitega",142.372460461764,326.586325412463,0.842178574676514,3.38591703796609,20,29.97990171,-3.64488773,1,"Gitega",192868.018406005,775411.687302167,1.14837391833634,0.4753817767254,1552.11301258661,1128.63841690483,0.180774504815868,41399.3202517118
"Kinyinya",335969.532434028,0.38937014587474,0.288128163034977,0.0032995383112971,0.00418282235097224,22,30.41267628,-3.52205978,1,"Gitega",1108.54434369465,1405.30086951074,3.55946425502443,5.80110622367765,22,30.41267628,-3.52205978,1,"Gitega",1195871.54147619,1948994.94556911,6.2661451183804,1.3943495339414,6753.00367309701,1933.70930823141,0.175738845679597,59042.8978134701
"Kirundo",256307.246344997,0.379909100518423,0.284060562067955,0.00318316288334074,0.00400403765948967,24,30.06174634,-2.49096793,1,"Gitega",815.867713296666,1026.26386676546,3.42588403329308,5.55193545309457,24,30.06174634,-2.49096793,1,"Gitega",878078.902870641,1423001.28786783,6.04545138764605,1.33471248035224,6484.57233525859,1850.65060754126,0.176361614684396,45202.7598207148
"Mabayi",303326.537061169,0.105500745802163,0.173880673590219,0.000894683296673873,0.00175289464611905,25,29.25327932,-2.76167182,1,"Gitega",271.381186146556,531.699462840353,1.14881912211729,3.77117611084511,25,29.25327932,-2.76167182,1,"Gitega",348467.32602149,1143897.79035046,1.61635433789668,0.584570337887804,2091.28873516081,1257.07514321482,0.183046333545461,55522.8104760883
"Makamba",295318.120745996,0.147441298605801,0.191455095473996,0.0011701769366786,0.00197801193995272,26,29.92731052,-4.1790986,1,"Gitega",345.574453880232,584.14276891998,1.04523233212007,3.61199777296641,26,29.92731052,-4.1790986,1,"Gitega",308676.048064654,1066688.39445116,2.20980429146045,0.65940680087376,1976.21820351692,1203.95600745082,0.17624526284382,52048.4198134211
"Mpanda",237180.714274938,0.135676630510289,0.188295477383528,0.00108895504009564,0.00199837880807041,28,29.3715791,-3.19732191,1,"Gitega",258.279134223178,473.976913090038,1.09627533239537,3.71730644716351,28,29.3715791,-3.19732191,1,"Gitega",260015.366379529,881673.398317074,1.99922445521885,0.666145548169499,2002.10266772618,1239.01228593435,0.180812224307235,42885.1725108304
"Mukenke",165895.919547284,0.34161463283335,0.273931767524132,0.00261854578076765,0.00344849455247444,29,30.2945314,-2.59545461,1,"Gitega",434.406060177111,572.091174836547,3.86799152352011,6.00829097579978,29,30.2945314,-2.59545461,1,"Gitega",641684.010595469,996750.956337954,4.83730960972612,1.14958784063482,7140.03303861979,2002.81543040577,0.180709402611882,29978.9525171385
"Murore",149893.801163942,0.369076954744908,0.28283130725824,0.00327157256667488,0.00420007559878516,31,30.73189158,-3.13601584,1,"Gitega",490.388447802572,629.565296677828,3.187950951298,5.59656463268699,31,30.73189158,-3.13601584,1,"Gitega",477854.086014262,838890.346253134,6.04815104958673,1.4005502323246,5875.95941956687,1865.53002432819,0.181165376333599,27155.5668979392
"Musema",287439.683206241,0.0819985974337826,0.160878820769615,0.000637986392605707,0.00141584546186912,32,29.68877279,-3.1146423,1,"Gitega",183.382606580477,406.970171028654,0.833506487803858,3.38592413325377,32,29.68877279,-3.1146423,1,"Gitega",239582.840804687,973248.960222829,1.21815968479562,0.472030894338919,1575.37577039584,1128.59962737376,0.176478265422655,50726.8567058749
"Mutaho",219384.247581389,0.163069265672458,0.205227374205284,0.00121392792382526,0.00196987594495586,33,29.90982779,-3.2165473,1,"Gitega",266.316664186442,432.159752012819,1.73113002586506,4.42369906921871,33,29.90982779,-3.2165473,1,"Gitega",379782.658189956,970489.891827038,2.26982655100243,0.656856121622029,3241.89881414919,1474.590315918,0.178129274199588,39078.7567924955
"Nyabikere",282828.083512144,0.144609668452979,0.212168614815598,0.00114972830156228,0.00194105170141381,36,30.10137516,-3.2203545,1,"Gitega",325.175452090531,548.983932708854,1.91913602135736,4.81458825763067,36,30.10137516,-3.2203545,1,"Gitega",542785.562919622,1361700.76980575,2.14068772863511,0.647012161776461,3546.67093666387,1604.91185648403,0.180383348383692,51017.4767208629
"Nyanza-Lac",278570.479522085,0.0766896031456569,0.136739682219679,0.000646512967510107,0.0015686425205721,37,29.69277209,-4.26539196,1,"Gitega",180.099427376537,436.977499154502,0.483738188890542,2.62849753118643,37,29.69277209,-4.26539196,1,"Gitega",134755.179242383,732221.817685221,1.22306515548084,0.522878601621913,910.969666121366,876.138160708627,0.176996238290906,49305.9269743029
"Rumonge",321456.915315988,0.0634011525507396,0.124840635123097,0.000604000019509734,0.00134362915967972,38,29.48683067,-3.91706212,1,"Gitega",194.159983122396,431.918884999255,0.41466066042676,2.36525848284533,38,29.48683067,-3.91706212,1,"Gitega",133295.536803677,760328.695820433,1.13475689701556,0.447841109395712,781.294454709731,788.44758931845,0.177638725903612,57103.1968696373
"Rutana",205251.159437843,0.0974351932289387,0.179506652385369,0.000835536582679062,0.0018076017597162,39,30.06662123,-3.8161435,1,"Gitega",171.494852347611,371.012356983635,0.952110662823734,3.95864231003658,39,30.06662123,-3.8161435,1,"Gitega",195421.817457705,812515.923934709,1.57207213473992,0.602384084341535,1772.32745299307,1319.51309460594,0.179287403349781,36798.9474101428
"Ruyigi",118387.887266573,0.0818710849103301,0.151997331080282,0.000912828046783871,0.00177383273763056,40,30.33466786,-3.36084579,1,"Gitega",108.067783896415,210.000310172364,0.796368706681801,3.26212166943324,40,30.33466786,-3.36084579,1,"Gitega",94280.4086692716,386195.692450707,1.67606967596706,0.591246086360959,1456.01207940596,1087.41527664967,0.182168061073399,21566.4918779277
"Ryansoro",170536.623649706,0.0534555396362107,0.117265938436078,0.000492604145375796,0.00109739723043995,42,29.83676162,-3.63821585,1,"Gitega",84.0070477482371,187.146418481768,0.402110406127652,2.54138663708325,42,29.83676162,-3.63821585,1,"Gitega",68574.5509954218,433399.496476658,0.931164901955265,0.365906026818926,756.806707324066,847.134606964084,0.176806506540437,30151.9846647058
