"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,37072621.0277448,13702295.4556537,24806.5272625008,16048.745416931,14002.2513754043,10379.4989687238,38992.0419738255,5626.63326543913,1107.38242014856,2252.91012810005,0.740986513332059,0.479386081897169,0.610186297614614,2.30222841435194,1.70658109270249,2.00440475352722,0.159648649344795,0.130313137527667,12997.3473246085,1875.54442181304
2,37799107.0110089,14435882.8217966,28630.8703130856,17968.4321072505,16899.68254733,12328.4558515678,40694.4362317341,5878.03924627198,1129.08301169155,2389.64963097359,0.855222036622025,0.536728326230584,0.695975181426305,2.79749570298687,2.04079586540359,2.41914578419523,0.166728881995046,0.14104653101852,13564.8120772447,1959.34641542399
4,38281300.8652984,15195561.8890342,27456.6172228326,17161.3650733426,16745.4979336337,11690.5551975391,40596.9400621871,5857.98886078685,1143.48644426634,2541.01838059948,0.820146361018237,0.51262072821203,0.666383544615133,2.8002003711597,1.95490735079674,2.37755386097822,0.169910163647751,0.150946561079584,13532.3133540624,1952.66295359562
6,36892292.2749949,13531752.137067,24611.5596414105,15933.6901228877,12235.7937626905,9872.81083769811,41551.5121476336,6001.31146883908,1101.99588730825,2260.69402197863,0.735162708321564,0.475949308169377,0.605556008245471,2.04418360115435,1.64940978927417,1.84679669521426,0.16017272368387,0.130228726189576,13850.5040492112,2000.43715627969
8,38431676.1763634,15085925.5475044,26207.2968422719,16988.7711669186,16053.3781017502,11614.8037382161,41022.4147711423,5923.45423986436,1147.97824903442,2515.38405404049,0.782828378415097,0.507465240078196,0.645146809246646,2.67669432435355,1.93661913695125,2.3066567306524,0.171371167774392,0.152780157518844,13674.1382570474,1974.48474662145
10,36068295.1121302,13295152.8168595,23834.8462562087,15373.2831944063,13720.0441593298,10340.8287860807,37764.3137391449,5453.19753563101,1077.38257572918,2175.74534019994,0.711961792809742,0.459209602059433,0.585585697434587,2.24527860327749,1.69227163877271,1.9687751210251,0.153229694610396,0.120819151306508,12588.104579715,1817.732511877
12,39071459.154806,15255017.5151454,28705.6609601194,18406.6671657566,16462.6853912039,12412.9372103833,41283.3088753914,5965.64879253873,1167.08896749448,2546.2176087274,0.857456080113439,0.549818682030331,0.703637381071885,2.74778966254261,2.07184549409574,2.40981757831917,0.170356678194287,0.149716407495734,13761.1029584638,1988.54959751291
14,35927723.4192256,14358050.0953291,25583.9069694121,16273.9869372388,15986.3176285258,11259.7329417574,37600.6336028723,5431.55813743598,1073.18361117858,2413.81654062883,0.764207332290868,0.486114187247199,0.625160759769034,2.68755420543039,1.89294015812907,2.29024718177973,0.159592667025485,0.142525429012201,12533.5445342908,1810.51937914533
16,37123970.8104376,13736721.5113165,24360.7392824478,15793.9415552432,13040.1560696153,10018.8515289723,41393.1238211189,5986.2515863295,1108.91627033385,2281.21086057802,0.727670547032974,0.47177493088608,0.599722738959527,2.16553459463618,1.66379677272936,1.91466568368277,0.162184732858597,0.132688793828055,13797.707940373,1995.41719544317
18,37390706.9569148,14735844.6513851,27707.1392560234,17711.1917710804,16469.1807800036,12033.4347922017,39786.5009819057,5740.85800999759,1116.88384616848,2480.12015148129,0.827629611129087,0.529044396199991,0.678337003664539,2.77184973764201,2.02529036005209,2.39857004884705,0.163743112858636,0.144696743600504,13262.1669939686,1913.61933666586
20,36530713.7712312,13541083.6476797,24480.2946111695,16055.0075056345,13931.9855804112,10983.0587041866,38843.2602381598,5612.12414047057,1091.19531083236,2237.14414256899,0.731241739616375,0.479573134410626,0.6054074370135,2.30172567768704,1.81452873985994,2.05812720877349,0.15971498258155,0.133699262814343,12947.7534127199,1870.70804682352
22,38468881.9224759,14872590.9904942,27401.6327423899,17443.9047411508,16460.7809816913,11946.8026681776,40662.7530818039,5871.65229635117,1149.08960798427,2425.63940047464,0.818503940133627,0.52106036513145,0.669782152632538,2.68466462483195,1.94845910037793,2.31656186260494,0.168260887848051,0.144202162534007,13554.251027268,1957.21743211706
