"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,37630601.1232313,14065517.5456579,26488.9011195838,16791.9825131133,15381.3111903158,11204.5135594602,39584.2047054864,5718.27594554802,1124.04963523627,2330.27779766354,0.791240074634267,0.501587039679426,0.646413557156847,2.54826940063869,1.85628641793492,2.20227790928681,0.162409798371123,0.135769281352849,13194.7349018288,1906.09198184934
2,39687825.9455748,15440657.2510569,27436.8620115975,17406.4148579827,15755.3034857965,11491.3731795402,41805.8891802666,6037.1119610448,1185.50022975592,2561.6003910046,0.819556260479846,0.519940518829709,0.669748389654777,2.61380010665348,1.90641535209746,2.26010772937547,0.174713930824398,0.153656149473295,13935.2963934222,2012.3706536816
4,38523653.8490793,15572866.0862454,26128.605977635,17811.5470176333,15624.0433719889,12320.9373643115,40312.2653307064,5818.29711521398,1150.72567975251,2592.72958936104,0.780477832979961,0.532042070298059,0.65625995163901,2.60125010590023,2.05131532604198,2.32628271597111,0.172011256060318,0.154674875288028,13437.4217769021,1939.43237173799
6,37551979.4921177,13850838.8717833,26153.5367829848,16379.2303196009,15108.5374003436,10834.3840507981,41358.8125612024,5978.42404878678,1121.70115784986,2341.25407242002,0.781222531757636,0.489257873024841,0.635240202391238,2.55384710228099,1.83137252666832,2.19260981447466,0.16408244479441,0.134126871320152,13786.2708537341,1992.80801626226
8,39293998.2144719,15891318.0877482,32138.859533001,19238.991058052,18650.4613828073,12697.1785738624,41442.5741999555,5980.39011833662,1173.73634865175,2647.3893783614,0.960007872759635,0.574680718235103,0.767344295497369,3.1070445568924,2.11526668247344,2.61115561968292,0.174747799965317,0.160580905392509,13814.1913999852,1993.46337277887
10,36615562.7883828,13733700.5889513,25769.0059355671,16324.7729572699,14286.9715122809,10615.182799002,38075.1369805771,5498.32564078829,1093.72980414187,2259.6668219764,0.769736354394657,0.487631197488522,0.62868377594159,2.35069894699725,1.74656322414782,2.04863108557253,0.156774914040676,0.126563420454959,12691.712326859,1832.7752135961
12,40149988.5403987,15494027.7559389,26553.5704506192,17082.7247091788,15591.1469632869,11571.1306151854,42213.4539432715,6096.20428545707,1199.3053160587,2574.79810461125,0.793171788074701,0.51027169125767,0.651721739666186,2.59093737807454,1.92289091290473,2.25691414548964,0.177297951123103,0.152932726835675,14071.1513144238,2032.06809515236
14,38045027.3314579,15087278.1985604,26797.6676510137,17332.9162796696,16315.0735975845,12099.4834599047,40060.0633972857,5771.34208269627,1136.42880575933,2552.38307941152,0.800463124404065,0.517745070240601,0.659104097322333,2.76009477930894,2.04692433229122,2.40350955580008,0.169127747392867,0.151939021830203,13353.3544657619,1923.78069423209
16,38179752.1789431,14322761.1576319,26873.241651653,16914.4706418536,15383.1369183568,11137.1118916883,42505.2457070939,6131.38519978181,1140.45312137355,2396.71932131668,0.802720567158534,0.505245836837103,0.653983201997818,2.57415878606897,1.8636442345652,2.21890151031708,0.167402615065166,0.140484179392171,14168.415235698,2043.79506659394
18,39072622.3881695,16001286.451882,24998.1208095503,16261.393327773,15006.2521354272,11130.5151056462,40604.7218465298,5865.20622176643,1167.12371400394,2630.42735375112,0.746709532636731,0.485738008241182,0.616223770438956,2.46685516274044,1.82972859608974,2.14829187941509,0.170695073188747,0.154212403283345,13534.9072821766,1955.06874058881
20,37845880.9383268,14058218.875034,27707.3163709697,17384.6207292407,16540.5629775007,11617.2136509702,39837.2294942732,5752.878979979,1130.48017820951,2323.89442606887,0.827634901663515,0.51928951454778,0.673462208105647,2.73423841591469,1.92038396114925,2.32731118853197,0.166548476998579,0.139904151424922,13279.0764980911,1917.62632665967
22,39300544.372087,15270505.1559804,25368.0746595278,16854.1205679866,15507.3028974964,11721.021326801,41520.0252040243,5997.56192639288,1173.9318864816,2522.88353177729,0.757760285952087,0.503443142314776,0.630601714133432,2.56200555926299,1.93646322626175,2.24923439276237,0.172796022445759,0.150440482358899,13840.0084013414,1999.18730879763
24,39087690.1203243,15878186.5254233,25706.1172607265,17084.0076274889,15445.8102333303,12103.3923974916,40998.9800277961,5912.31685883187,1167.57379660498,2652.02649408351,0.767857830270539,0.510310012831484,0.639083921551012,2.57980959574891,2.02154806879503,2.30067883227197,0.174210170211851,0.157409448856874,13666.326675932,1970.77228627729
26,36692025.9534697,13550535.5498793,29794.8776556647,18713.5124405548,18384.2326753766,12886.8250579556,41067.7796630445,5936.00127582205,1096.01380679555,2295.63350198975,0.889991665322709,0.558984342660662,0.724488003991685,3.11452342843711,2.18319248183422,2.64885795513566,0.163264237703503,0.13732427588691,13689.2598876815,1978.66709194068
28,39937316.362613,16050089.722544,29428.1397559098,18399.7167982385,18781.5333303311,12878.0214187979,42157.7525571464,6087.99011016804,1192.95266484587,2686.12855130296,0.879036974455644,0.549611070197401,0.714324022326523,3.14326049187058,2.15525405871944,2.64925727529501,0.177079937668303,0.156384562943233,14052.5841857155,2029.33003672268
30,36181547.6757638,13559568.459845,26973.3399896435,17032.9314613904,16093.5338469762,11377.8646194741,38045.0331025679,5499.90763064804,1080.76550077002,2200.72842115255,0.805710567236861,0.50878433574532,0.65724745149109,2.61199295823504,1.84663620485079,2.22931458154291,0.15699500030217,0.128648984762589,12681.677700856,1833.30254354935
32,40200342.400407,15677052.9636109,29372.8850566828,18619.5320817036,17301.7648494577,12625.5083280673,42538.6059281152,6139.01922948691,1200.80941740934,2605.60227389341,0.877386481966626,0.55617709045281,0.716781786209718,2.87563727307408,2.09842074814903,2.48702901061155,0.178223952895827,0.159053865595357,14179.5353093717,2046.3397431623
34,38338470.4882741,15255023.8937663,29086.8911487206,18197.5160738377,16618.2104872904,11876.3103421885,39977.6288433594,5769.3302608395,1145.19413672764,2558.02919122853,0.868843664729347,0.543571207858691,0.706207436294019,2.78661428710314,1.99147171128469,2.38904299919391,0.170315648950045,0.154001295620376,13325.8762811198,1923.1100869465
36,38064482.1424823,14081966.9883083,26210.3026218012,17133.5393086309,15795.8905715351,11738.0580181649,42744.0699367593,6170.36969981598,1137.00993315519,2359.34218660448,0.782918162933086,0.511789555184207,0.647353859058647,2.64649896078812,1.96663544901508,2.3065672049016,0.169653609801048,0.141082348509947,14248.0233122531,2056.78989993866
38,39178127.6191095,15636752.9479537,30417.3473744997,19158.1743331856,18099.496620678,12950.8778809734,41599.2446821316,6004.88378955966,1170.27522136268,2598.53819572206,0.908585225869639,0.572266672022832,0.740425948946235,3.0078004972464,2.15219559673644,2.57999804699142,0.172187536342331,0.154809539874455,13866.4148940439,2001.62792985322
40,37991660.5961819,14466502.4054964,25360.0565302714,16003.1378523845,15451.2513654284,10945.7236002429,39446.7785812045,5704.25783509567,1134.83470793654,2366.16215813843,0.757520779406965,0.478023755366042,0.617772267386504,2.52722912919647,1.79029845987495,2.15876379453571,0.164436679332593,0.139865600545861,13148.9261937348,1901.41927836522
42,38625890.1102683,14849062.0243931,27654.687365398,17753.1863587775,16301.3690185659,12172.7185478484,41158.8726191603,5950.87164620444,1153.77954093642,2470.09738849785,0.826062840289262,0.530298800848704,0.678180820568983,2.71168434582284,2.02489559586768,2.36828997084526,0.170710368098774,0.148529741926666,13719.6242063868,1983.62388206815
44,38782123.2763604,15356771.6198303,25768.0576228834,16882.9114264811,15832.0694407018,11740.9647999348,40598.9309371293,5851.7201876508,1158.44632350475,2639.91934564904,0.769708027700572,0.504303143298627,0.637005585499599,2.72162583600559,2.01834089086197,2.36998336343378,0.17202644596849,0.153491527665854,13532.9769790431,1950.5733958836
46,36924108.7525421,13694466.2669038,25380.6807314798,16137.2407082992,13445.4841375577,10537.048116154,40623.7398160616,5866.36289693681,1102.94626542908,2308.59118098331,0.758136837220379,0.482029491702313,0.620083164461346,2.26661817255582,1.77631868817987,2.02146843036784,0.162294273953389,0.136312769615665,13541.2466053539,1955.45429897894
48,40193966.4847366,16038185.1589303,28329.4470467526,18150.4980523141,17941.5641048302,13028.3009462653,42609.4281755483,6143.6488168916,1200.61896481306,2644.62683749833,0.846218334782029,0.54216675009385,0.694192542437939,2.95848573065702,2.14831004805509,2.55339788935605,0.178642675422284,0.15692469875259,14203.1427251827,2047.88293896387
