"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,4873071.80492561,2459191.12526659,4223.0855376381,2686.9701938101,2783.84768325498,2027.92310949354,4150.25910561213,598.860896078991,1639.60651243673,4542.61993184429,1.4209104292471,0.904065034305743,1.16248773177642,5.14232580105043,3.74598128741797,4.4441535442342,0.243636020764479,0.272565375482981,1383.41970187071,199.620298692997
2,4891182.63490077,2614784.70828638,3579.48481831039,2368.84756877208,2932.17881634781,2023.17776483069,4150.55879498965,598.896260995795,1645.700129761,4903.48912915441,1.20436284426138,0.797028662044908,1.00069575315314,5.49869628085785,3.79405239167693,4.64637433626739,0.248969682409838,0.300006058955026,1383.51959832988,199.632086998598
4,4875760.28602163,2537439.7967215,3787.15522531372,2664.18774116352,2465.28357111499,1987.32109143889,4150.69302097572,598.91739371545,1640.51108583316,4688.96006826182,1.27423617373271,0.896399590572521,1.08531788215262,4.55562186611706,3.67239027803197,4.11400607207451,0.250952099130648,0.292551040175065,1383.56434032524,199.639131238483
6,4673232.59027731,2281484.45056803,3098.28038066338,2067.7196102445,2191.70710911322,1613.06295492453,4150.33217482517,598.856034604489,1572.36808647174,4157.32412114047,1.0424555378716,0.695710359823393,0.869082948847495,3.99373172537857,2.93932554734539,3.46652863636198,0.225599273051455,0.232722279621342,1383.44405827506,199.618678201496
8,5132105.00688408,2940695.95002971,5024.56691888934,3138.12485916946,3599.86114501185,2421.46942938346,4150.75361340799,598.926342309487,1726.7615025272,5337.65761199027,1.69057895556926,1.05586171554728,1.37322033555827,6.53410844551487,4.39520948495874,5.46465896523681,0.258679482895273,0.327318933037684,1383.58453780266,199.642114103162
10,4895449.11745337,2559361.78462076,5625.64168562749,3227.32733752268,3814.43092381255,2326.72911130325,4150.33228199462,598.856833874979,1647.13564166365,4663.02825917161,1.89281814708068,1.08587501522524,1.48934658115296,6.9497010142439,4.23918324585437,5.59444213004914,0.238150624054269,0.257936962928432,1383.44409399821,199.618944624993
12,4809974.47801905,2571304.70924708,4338.32088903827,2935.25299481449,3158.10986250332,2296.77578851434,4150.49067448813,598.883483572829,1618.3766204395,4831.47782818284,1.45968281762597,0.987602916313015,1.22364286696949,5.93408386208659,4.31563838334955,5.12486112271807,0.248991899984781,0.296977773478412,1383.49689149604,199.62782785761
14,4829692.80982856,2512187.57288708,4822.15040067651,2952.93225747894,3332.95227212854,2274.2265152989,4150.67535940284,598.910944035504,1625.01110204442,4740.67460659482,1.62247336329149,0.993551327368729,1.30801234533011,6.28951531008249,4.29162535754918,5.29057033381583,0.248032874147148,0.291488115940828,1383.55845313428,199.636981345168
16,4693047.45610275,2314161.32799919,3320.85452482853,2052.54040443675,2410.35590742611,1588.72217477931,4150.39110560523,598.862329623712,1579.03504816469,4223.15383775672,1.11734341781302,0.690603124450656,0.903973271131839,4.398701022978,2.89928712763918,3.64899407530859,0.235528540614995,0.259389628554098,1383.46370186841,199.620776541237
18,5128934.17405904,2914801.02142007,3864.52193825964,2560.19898329097,2755.53376209356,1956.07444957304,4150.83597845836,598.93737871882,1725.69463580373,5309.92762696959,1.30026718075866,0.86141126053074,1.0808392206447,5.01978856973901,3.56340404846468,4.29159630910184,0.250479769047011,0.299447967129704,1383.61199281945,199.645792906273
20,4946604.08932722,2513017.08170419,4298.31819147929,2620.85726425739,3312.0338404956,2112.96918717439,4150.69373942052,598.911593747861,1664.34737758413,4671.27041344762,1.44622340515303,0.881820504737901,1.16402195494546,6.15650637637231,3.92764956531084,5.04207797084158,0.248463709932154,0.282315969432296,1383.56457980684,199.637197915954
22,4855164.81919575,2563260.14620714,3634.16840502096,2363.52851603982,2550.31100446985,1834.02977487503,4150.61204638985,598.893441898646,1633.58148108154,4788.57991786117,1.22276182717877,0.795238999620687,1.00900041339973,4.76438885002576,3.42626095198389,4.09532490100483,0.244910258963856,0.284682869743166,1383.53734879662,199.631147299549
24,4923431.0418706,2537386.19945538,3697.86124376095,2584.0219345324,2297.06901843892,2003.2890552826,4150.54103966159,598.892799510727,1656.55051329732,4778.00274727883,1.24419208664839,0.869426793148468,1.05680943989843,4.32547559498275,3.77227582138988,4.04887570818632,0.249722097555139,0.286323266485138,1383.5136798872,199.630933170242
26,4642470.09572312,2227880.1660021,4634.54599256452,2843.59410927618,3304.09942739371,2186.73084772803,4150.42834272163,598.870443756241,1562.01765692156,4082.75162432205,1.55935149240272,0.956763127435002,1.25805730991886,6.05500130122373,4.00734252082226,5.03117191102299,0.230350788659374,0.244541859908332,1383.47611424054,199.62348125208
28,5174356.41972934,2894258.14206621,5217.23668716419,3198.21283237555,4354.46501017645,2733.51153955829,4150.93381718532,598.952202070729,1740.97752363954,5414.42937122613,1.75540513081539,1.07607907251055,1.41574210166297,8.14610932743004,5.11371288941213,6.62991110842108,0.259460133524525,0.313165966082108,1383.64460572844,199.650734023576
30,4750572.81841246,2384132.97677687,4302.01197412904,2763.79051024273,2611.96111816736,1869.21198020042,4150.3436030992,598.874462784922,1598.39018234883,4496.92601915225,1.44746622494524,0.929912199328653,1.18868921213695,4.92665301294564,3.52568756480946,4.22617028887755,0.240685985830095,0.268212329084435,1383.44786769973,199.624820928307
32,4768768.4625792,2499349.90392674,3813.23833588819,2343.57301778324,2257.1507105466,1632.30816858616,4150.41020924923,598.872336111657,1604.51233647831,4891.31358017817,1.28301216548381,0.788524720371335,1.03576844292757,4.41732144253181,3.19448313319289,3.80590228786235,0.247677106947582,0.297913463917247,1383.47006974974,199.624112037219
34,4858357.50157228,2597563.66382199,4006.29548341554,2454.80717748354,2807.58053961892,1883.32326621137,4150.5721211438,598.892581128799,1634.65569936238,4773.47730654538,1.34796867936861,0.825950857303218,1.08695976833591,5.15942002840081,3.46093572117545,4.31017787478813,0.244213049523862,0.280295191407532,1383.52404038127,199.630860376266
36,4609501.1461257,2149842.47558722,3488.11220764395,2123.27824081083,2496.64324608682,1619.3375806961,4150.49352962765,598.872552451287,1550.92483772413,4086.86583403682,1.17361937617712,0.714403762290096,0.944011569233606,4.7461365649239,3.07837225632593,3.91225441062491,0.229739288507447,0.239110666393843,1383.49784320922,199.624184150429
38,5092564.70085636,2728638.54139012,4758.48885211003,2951.17479899556,3686.52927154649,2371.17227091338,4150.70376874216,598.918990758292,1713.45766752086,5231.48721850543,1.60105363179566,0.992960008280885,1.29700682003827,7.06800496738429,4.54613435967894,5.80706966353161,0.262889144821904,0.323360199404472,1383.56792291405,199.639663586097
40,4945740.54087808,2564444.84432022,3875.62236881686,2449.86453145198,2432.61978422013,1800.10495116022,4150.58976635426,598.900238952581,1664.05682580945,4758.37763634316,1.3040020607196,0.824287841664124,1.06414495119186,4.51377365537661,3.3401299940775,3.92695182472706,0.24507043486193,0.283331341925154,1383.52992211809,199.633412984194
42,4802233.46890239,2564229.38315542,3616.77871671178,2398.80575362471,2556.9560848655,1894.41774573023,4150.27846898884,598.86007127402,1615.77206022192,4798.99362795001,1.21691084706964,0.807108471444699,1.01200965925717,4.78538154145854,3.54543113426439,4.16540633786147,0.2429534492363,0.286992487335001,1383.42615632961,199.620023758007
44,4927499.03435479,2472124.52262511,3132.0749008065,2243.6819359879,1935.87922308223,1646.4422729194,4150.78710527622,598.924433483516,1657.91924071128,4791.09511939186,1.05382613069876,0.754915105163032,0.904370617930896,3.75182617726408,3.19088357643416,3.47135487684912,0.251649990125067,0.290027376018043,1383.59570175874,199.641477827839
