"Run_Number","cases_all_sum","cases_U5_sum","deaths_1_all_sum","deaths_2_all_sum","deaths_1_U5_sum","deaths_2_U5_sum","mLBW_sum","mStill_sum","incidence_all","incidence_U5","death_rate_1_all","death_rate_2_all","death_rate_mean_all","death_rate_1_U5","death_rate_2_U5","death_rate_mean_U5","average_PfPR_all","average_PfPR_U5","annual_num_mLBW","annual_num_mStill"
0,26827034.0758072,9896348.83200574,17833.4831226313,11388.1231880367,10827.601156364,7759.33370529511,27272.6352635895,3937.19966845796,1327.82973950097,2697.10235051761,0.882685323401931,0.563666061758665,0.723175692580298,2.95090128945849,2.11469073395228,2.53279601170538,0.191271144015065,0.156085611323361,9090.87842119648,1312.39988948599
2,27955671.5680739,11180954.3017372,18890.8102859472,12022.4883524546,11171.4188318747,8100.3203017851,27478.0005891093,3968.72872812733,1383.6927328946,3062.34728723942,0.935018743781753,0.59506457300062,0.765041658391187,3.05973562105439,2.21859362202096,2.63916462153767,0.203449244778413,0.18248987009369,9159.33352970311,1322.90957604244
4,26825137.6679625,10987819.2596394,17988.685471224,12457.256594407,10999.9951243432,8663.13936151071,26468.6605534992,3819.26983845814,1327.73587497882,3043.45183105544,0.890367212257754,0.616583843443398,0.753475527850576,3.04682435264975,2.3995523342221,2.72318834343593,0.198120741350516,0.181001182545673,8822.88685116639,1273.08994615271
6,26523028.1937634,10158272.9645239,17814.2502357814,11310.0588965083,10349.5555135599,7471.34686558519,27271.2955879394,3939.5784979296,1312.78267727187,2851.83214807433,0.881733373251062,0.559802194899898,0.72076778407548,2.90553278445331,2.09750488642129,2.5015188354373,0.192217276190942,0.162237872861603,9090.43186264645,1313.1928326432
8,26831350.1639119,10907527.0474775,20855.1018351188,12442.1625192145,12477.9519491471,8357.46580632145,26509.9091740476,3827.58935874251,1328.04336841453,3056.57457521049,1.03224323489285,0.615836747738587,0.824039991315719,3.49664873737642,2.34198066945897,2.9193147034177,0.197527955453575,0.183834348194352,8836.6363913492,1275.86311958084
10,26668789.5527541,9609276.09526516,17155.6786676479,11163.2846205049,8763.7801852095,7033.26530469798,27136.6537794276,3917.93976277472,1319.99727530723,2648.68215378421,0.849136742878642,0.552537461567088,0.700837102222865,2.41563130730417,1.93863555492617,2.17713343111517,0.190126713490119,0.150646911517608,9045.55125980919,1305.97992092491
12,27771487.9401587,10994497.6954549,17538.1027445748,11166.0530011545,10261.959777719,7589.95121243824,27437.1480920956,3962.82038175502,1374.57638786802,3042.64665626637,0.868065188751931,0.55267448521817,0.710369836985051,2.83992215645506,2.10046336971782,2.47019276308644,0.202709187495199,0.179037108072676,9145.71603069854,1320.94012725167
14,26498522.6282978,10697941.6439122,17342.4560262769,11349.2322747909,10708.7278379556,7925.69482997663,26390.2054653508,3805.34201927206,1311.56975084412,2995.51350006745,0.858381467090502,0.561741118768013,0.710061292929258,2.9985337249805,2.21926111123631,2.60889741810841,0.193882702349918,0.176783614912624,8796.73515511692,1268.44733975735
16,26492759.2767309,10464558.8173057,18374.7061632621,11846.2815313101,11103.7692206183,8052.95356261858,27336.0421036809,3946.34028924008,1311.28448823969,2884.24551310284,0.909473676039869,0.586343047663249,0.747908361851559,3.06042491730611,2.21955799434153,2.63999145582382,0.191912997532161,0.165897127718451,9112.01403456029,1315.44676308003
18,26989686.2232986,11175525.4213644,16449.7301849926,10799.6870248989,10199.4055564578,7561.14144653958,26060.3340919254,3763.31288267636,1335.88036328676,3054.44898565347,0.814195146756745,0.534540850413857,0.674367998585301,2.78765988904954,2.06658031286959,2.42712010095957,0.195073525565398,0.180839433508462,8686.77803064179,1254.43762755879
20,26528055.6087448,9755231.87417209,19510.3854517913,12344.7522356017,11682.7986613615,8279.77164869042,27110.5817029338,3912.35006344771,1313.03151399031,2663.30043722217,0.965685209882304,0.61101533247707,0.788350271179687,3.18955030327492,2.26048132289305,2.72501581308398,0.195051909914861,0.163130118658408,9036.86056764461,1304.1166878159
22,27260441.5576658,10935386.2009645,17245.6037096001,11684.5547418674,10785.0947997735,8278.52412496843,27101.585119215,3914.17882955934,1349.28165781993,3005.91797572092,0.853587668936762,0.578338225360152,0.715962947148457,2.96460588887422,2.27559996714949,2.62010292801185,0.198758877974342,0.177155900742831,9033.86170640499,1304.72627651978
24,26882715.1896335,11265310.6786164,17861.4731982594,11942.9671510383,11439.4901400967,8685.5119308896,26422.3584504902,3811.64128404498,1330.58572954662,3108.11520590095,0.884070718996719,0.591128594991904,0.737599656994311,3.15617156654887,2.39634506970806,2.77625831812846,0.197570311921518,0.183129345319059,8807.45281683007,1270.54709468166
26,25773338.1448992,10082988.906875,19869.5813370423,12764.9251547599,12747.1323122728,8987.82078761921,26818.6642507912,3872.43524738031,1275.67605044622,2791.20029578801,0.983463954166705,0.631812193442566,0.807638073804635,3.52869568826015,2.48803289109911,3.00836428967963,0.189722001046289,0.165825379720432,8939.55475026374,1290.81174912677
28,27202640.3063819,11056783.1902674,18243.8481796221,11572.9020245875,11297.1625771745,7993.47274713947,27028.5958015278,3902.7621613986,1346.42072954071,3086.70227997262,0.902996734838045,0.572811867206604,0.737904301022325,3.15380856114469,2.23152341227176,2.69266598670823,0.198929202181183,0.177031650823883,9009.53193384259,1300.9207204662
30,26482919.0610345,9738275.05551706,18729.9404889464,11661.4245931153,10944.0438169226,7721.96995487526,27025.6519536151,3902.80223677296,1310.79743734141,2582.81403118312,0.927056339140168,0.577193376499659,0.752124857819913,2.90261157824009,2.04804364573038,2.47532761198523,0.18961749181884,0.152759919623043,9008.55065120502,1300.93407892432
32,27799021.3753675,11313803.187321,20057.3065972978,12950.6491199657,12803.916435112,9158.89843070506,27490.4772193598,3970.20852971353,1375.939181608,3081.03248977717,0.99275559567722,0.641004778938281,0.816880187307751,3.48682771653493,2.49419785445759,2.99051278549626,0.203894862125511,0.189641412730774,9163.49240645327,1323.40284323784
34,26580843.1691565,10689567.8477093,19340.9938987695,12351.4949939249,11242.4127395429,8090.52427640059,26199.3551836965,3782.30303358837,1315.64428483902,2976.62107165482,0.95730101276655,0.611349071756731,0.784325042261641,3.13056646756166,2.25289042409976,2.69172844583071,0.195049167751325,0.180009690119303,8733.11839456549,1260.76767786279
36,26525624.9377231,10343201.9999076,17982.2069686743,12071.4270562412,11315.3003252204,8569.11768458757,27548.3493210104,3977.01232855141,1312.91120560063,2872.80443817263,0.89004655257064,0.597486841005229,0.743766696787935,3.14280287611514,2.38005593584334,2.76142940597924,0.196672843768942,0.17167491317617,9182.78310700347,1325.6707761838
38,26764478.1442087,11107570.4090015,19898.3954241862,12751.7858985987,11957.1458468797,8722.03779423138,26610.639574553,3843.23914107611,1324.73347376679,3021.69936575499,0.98489013500049,0.631161853377527,0.808025994189008,3.25281755517623,2.37273995126439,2.81277875322031,0.192083680188953,0.175953039641911,8870.21319151768,1281.07971369204
40,26759273.9417209,9936178.40933372,18213.2627667323,11389.3499004544,11498.6030008351,7868.73707095597,27135.8325153642,3918.13004877141,1324.47588678143,2706.61895700881,0.901482880540351,0.563726779064403,0.732604829802377,3.13222403816173,2.14344711282168,2.6378355754917,0.193177020405642,0.162144053346798,9045.27750512141,1306.04334959047
42,27058131.66174,10645541.2653225,19250.4086044231,12413.299931225,11681.9609307996,8689.79118397374,26998.2198402449,3900.49683014182,1339.26813580156,2957.02210975543,0.952817406883965,0.614408166309004,0.783612786596485,3.24490938475801,2.41377155183943,2.82934046829872,0.198535140094639,0.177611837032716,8999.40661341497,1300.16561004727
44,26889925.9764598,10768891.0976815,16985.8782106848,11330.9394593425,10942.9727813251,8135.34179030246,26753.4561876404,3858.86425691233,1330.94263434519,3079.78692484387,0.840732306670771,0.560835698351319,0.700784002511045,3.12957241234462,2.32662017357606,2.72809629296034,0.197070647973094,0.176683087454282,8917.81872921347,1286.28808563744
46,26268159.9002594,9950624.41355259,17251.0556644009,11166.2364163096,9550.22399978293,7496.3257555822,27328.7162581106,3945.02936214594,1300.16772703867,2799.96458897893,0.853857518660084,0.552683563526897,0.703270541093491,2.68729759107268,2.10935975379531,2.398328672434,0.192417166651566,0.165566729868742,9109.57208603688,1315.00978738198
48,27503632.5430453,11137984.7980527,18889.4230193558,12106.4366953729,11996.7218950692,8710.68747429905,27273.9106535743,3938.07550831445,1361.31862850603,3090.7283657676,0.934950079693452,0.599219676617134,0.767084878155293,3.3290230979484,2.41716696065696,2.87309502930268,0.203292886939205,0.183946454293253,9091.30355119144,1312.69183610482
