"year","mean_burden","max_burden","min_burden","scenario"
2012,0.28676605873945,0.328125807753715,0.251392536428368,"to-present"
2013,0.274114422144606,0.314367570350541,0.244627664832847,"to-present"
2014,0.227868419750603,0.265507993387427,0.195448330922979,"to-present"
2015,0.176952473064704,0.208005298659813,0.147882395569002,"to-present"
2016,0.200285710342613,0.256454277361954,0.159260017956541,"to-present"
2017,0.197136600383341,0.233260712590951,0.170569898405694,"to-present"
2018,0.148364203998544,0.188389657395518,0.120793784126465,"to-present"
2019,0.198082231189504,0.233857717610238,0.164999346343865,"to-present"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"to-present"
2021,0.191892065942912,0.222847027740407,0.154316960528916,"BAU"
2022,0.213630069062394,0.241654267161568,0.167106634898022,"BAU"
2023,0.165395185605492,0.197306407766001,0.126240025834753,"BAU"
2024,0.211200287899177,0.254991294887598,0.172578272337965,"BAU"
2025,0.218071837916424,0.250106617598317,0.176009832805584,"BAU"
2026,0.167637803565765,0.203866356381979,0.121656393428004,"BAU"
2027,0.212321015411204,0.245271658598068,0.160908064583234,"BAU"
2028,0.216715938170825,0.246076384100257,0.167791980695896,"BAU"
2029,0.166744630407132,0.206003650668359,0.113711250157787,"BAU"
2030,0.211576605264852,0.248971715909498,0.17154599615856,"BAU"
2021,0.139553979131734,0.170594496706501,0.103457059340653,"GF"
2022,0.143788607580563,0.181218697653978,0.0916093569853065,"GF"
2023,0.148240967046412,0.187036365185407,0.0956493447884759,"GF"
2024,0.151086072482674,0.180639408902678,0.106280977243883,"GF"
2025,0.152370546205574,0.184234370249744,0.103269891101736,"GF"
2026,0.155446879942194,0.182204877910229,0.113417950025517,"GF"
2027,0.156914723697837,0.185264199794068,0.105970945894017,"GF"
2028,0.155705698559706,0.185242684721226,0.113784133804212,"GF"
2029,0.157916399083958,0.194773757086587,0.11959787050962,"GF"
2030,0.158706852153738,0.198747231336522,0.122672971935668,"GF"
2021,0.120626992530055,0.149624810432122,0.0856184792884604,"GF with PBO"
2022,0.119844307174468,0.153520283401048,0.0686844178463332,"GF with PBO"
2023,0.123276538909132,0.159371321492725,0.0748327395173705,"GF with PBO"
2024,0.125894003577698,0.163530137338488,0.0935162882621806,"GF with PBO"
2025,0.128521909483094,0.160086904999072,0.0959770379846193,"GF with PBO"
2026,0.1316240304293,0.164605591210975,0.0991975814413632,"GF with PBO"
2027,0.134278993881853,0.165830702104653,0.0999600648033594,"GF with PBO"
2028,0.135910632009093,0.167673868525671,0.09809572284025,"GF with PBO"
2029,0.142687319116492,0.170792102331877,0.0994782116497124,"GF with PBO"
2030,0.142570550808147,0.17973107470096,0.0959868517384002,"GF with PBO"
2021,0.138464256911446,0.165252207711506,0.0941862329290547,"GF at 80%"
2022,0.143181970701511,0.178672499827809,0.0896537551965586,"GF at 80%"
2023,0.144451013123517,0.178990074705898,0.0918135058519282,"GF at 80%"
2024,0.149394319217868,0.180163685571482,0.0975686517136866,"GF at 80%"
2025,0.147382142539389,0.188792660572273,0.0998112248590399,"GF at 80%"
2026,0.149991123927803,0.189188617446666,0.0989340563337758,"GF at 80%"
2027,0.150267069722359,0.183384866989449,0.106912786159798,"GF at 80%"
2028,0.151448416102362,0.184295899295925,0.111995128969366,"GF at 80%"
2029,0.152861439560868,0.200861906256665,0.112404736780518,"GF at 80%"
2030,0.15497771496653,0.187358852575476,0.105868307130059,"GF at 80%"
2021,0.118966563832396,0.149885742241436,0.0786995523968279,"GF at 80% with PBO"
2022,0.115551130761789,0.153205824782237,0.0668851879610488,"GF at 80% with PBO"
2023,0.121018200769855,0.167380861704117,0.0740684999259589,"GF at 80% with PBO"
2024,0.122871862830214,0.176033316363126,0.0648775671203101,"GF at 80% with PBO"
2025,0.124753196254562,0.169921008356812,0.074095873788801,"GF at 80% with PBO"
2026,0.131058588571288,0.186005275272418,0.074380636002872,"GF at 80% with PBO"
2027,0.133612352169706,0.174911149257794,0.077755783507309,"GF at 80% with PBO"
2028,0.134032750432606,0.169058772897031,0.0905495374974945,"GF at 80% with PBO"
2029,0.134389082211464,0.170008487401619,0.0877885547593669,"GF at 80% with PBO"
2030,0.139444888183961,0.18071884478645,0.100738268758265,"GF at 80% with PBO"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"BAU"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"GF"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"GF with PBO"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"GF at 80%"
2020,0.147679052355187,0.178105094742136,0.110541559908623,"GF at 80% with PBO"
