"year","mean_burden","max_burden","min_burden","scenario"
2012,0.441815497799368,0.477648368798608,0.38837998440032,"to-present"
2013,0.422304552317769,0.451434710941868,0.367497339744273,"to-present"
2014,0.374674048981442,0.412423133440361,0.323622709479574,"to-present"
2015,0.350560596530265,0.381774979210541,0.29249286726614,"to-present"
2016,0.329289806768682,0.368857121031149,0.273119967834954,"to-present"
2017,0.299670780129218,0.339134210796401,0.238164354244048,"to-present"
2018,0.251746845036145,0.294594544839853,0.188376320109153,"to-present"
2019,0.288188276951249,0.33343729789864,0.214692728490761,"to-present"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"to-present"
2021,0.281266076344336,0.32398544416141,0.232104262609343,"BAU"
2022,0.291724252784696,0.337589931350395,0.243735871500162,"BAU"
2023,0.263365900500884,0.315183210837055,0.214298441262193,"BAU"
2024,0.295430631290173,0.343940476548062,0.24688919965777,"BAU"
2025,0.292825241835556,0.325294478789101,0.241198504006422,"BAU"
2026,0.268827140895789,0.304025379695039,0.223536005692169,"BAU"
2027,0.298202457882198,0.341311621170177,0.245186898675414,"BAU"
2028,0.295524126911492,0.332314680815068,0.242383408634629,"BAU"
2029,0.266221399871265,0.310480298986785,0.216528245236793,"BAU"
2030,0.297289924556924,0.33332905723558,0.239243776683882,"BAU"
2021,0.247066792798905,0.2912089508651,0.198451829573833,"GF"
2022,0.255263669032652,0.292509375329109,0.208142303369208,"GF"
2023,0.257830098081604,0.30381021786116,0.210648486282412,"GF"
2024,0.259799116522531,0.299889399408143,0.216648863904914,"GF"
2025,0.260579686720814,0.297952666617209,0.213586664240713,"GF"
2026,0.260999695790179,0.304885592177916,0.214634025442146,"GF"
2027,0.262500317730232,0.305374857601078,0.215340829793517,"GF"
2028,0.262175162236809,0.304397708690955,0.210760386442449,"GF"
2029,0.262788848288326,0.308680233930204,0.215224944802705,"GF"
2030,0.26119390554382,0.301961568041471,0.2177867932017,"GF"
2021,0.245876696871669,0.289635546399905,0.196873601811693,"GF with PBO"
2022,0.255939391095138,0.294978186981049,0.212059899956849,"GF with PBO"
2023,0.256961367953359,0.29908128370888,0.204817936083929,"GF with PBO"
2024,0.259734473272152,0.30511356539731,0.211610792265062,"GF with PBO"
2025,0.260075050806639,0.296340256242101,0.212684413194844,"GF with PBO"
2026,0.259957463021345,0.306789420764043,0.212636786684302,"GF with PBO"
2027,0.261442889089413,0.312571424204198,0.221062283644662,"GF with PBO"
2028,0.259341737007719,0.299487368133856,0.215452386754124,"GF with PBO"
2029,0.260281421866817,0.299498719894959,0.216961540526286,"GF with PBO"
2030,0.261809564268675,0.304418708392886,0.220019431303397,"GF with PBO"
2021,0.240646412132123,0.278397693163515,0.190617269238698,"GF at 80%"
2022,0.246594946345127,0.290311761685034,0.20053279516277,"GF at 80%"
2023,0.248215390767729,0.282050883595663,0.199581517710408,"GF at 80%"
2024,0.250891807642292,0.286743636100447,0.209195906660808,"GF at 80%"
2025,0.251294550953207,0.286794181338208,0.210639080537766,"GF at 80%"
2026,0.249477494287887,0.288196659472051,0.205199137121729,"GF at 80%"
2027,0.253161838108979,0.287370276084079,0.209613888250846,"GF at 80%"
2028,0.252666968045659,0.291639191965321,0.210017040413273,"GF at 80%"
2029,0.252835325270388,0.292971298397485,0.209503300188204,"GF at 80%"
2030,0.253388292293482,0.290173581637063,0.213142604883093,"GF at 80%"
2021,0.238320594909897,0.278420721496071,0.191105982532187,"GF at 80% with PBO"
2022,0.246422186562253,0.287595285450031,0.203398834665976,"GF at 80% with PBO"
2023,0.249118335292427,0.290812620007796,0.202484633946508,"GF at 80% with PBO"
2024,0.249847729817872,0.290820587558516,0.200859790790806,"GF at 80% with PBO"
2025,0.248619773991845,0.291377912932669,0.202498200417946,"GF at 80% with PBO"
2026,0.250919973005413,0.286193904273196,0.198998964545838,"GF at 80% with PBO"
2027,0.250928096589249,0.2928752917258,0.201958801098789,"GF at 80% with PBO"
2028,0.249635594202028,0.280731107186779,0.20771760093241,"GF at 80% with PBO"
2029,0.252097647500948,0.289314509627416,0.204403696582254,"GF at 80% with PBO"
2030,0.252510469109398,0.285526877317697,0.209722288664939,"GF at 80% with PBO"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"BAU"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF with PBO"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF at 80%"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF at 80% with PBO"
