"year","mean_burden","max_burden","min_burden","scenario"
2012,0.441815497799368,0.477648368798608,0.38837998440032,"to-present"
2013,0.422304552317769,0.451434710941868,0.367497339744273,"to-present"
2014,0.374674048981442,0.412423133440361,0.323622709479574,"to-present"
2015,0.350560596530265,0.381774979210541,0.29249286726614,"to-present"
2016,0.329289806768682,0.368857121031149,0.273119967834954,"to-present"
2017,0.299670780129218,0.339134210796401,0.238164354244048,"to-present"
2018,0.251746845036145,0.294594544839853,0.188376320109153,"to-present"
2019,0.288188276951249,0.33343729789864,0.214692728490761,"to-present"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"to-present"
2021,0.281266076344336,0.32398544416141,0.232104262609343,"BAU"
2022,0.291724252784696,0.337589931350395,0.243735871500162,"BAU"
2023,0.263365900500884,0.315183210837055,0.214298441262193,"BAU"
2024,0.295430631290173,0.343940476548062,0.24688919965777,"BAU"
2025,0.292825241835556,0.325294478789101,0.241198504006422,"BAU"
2026,0.268827140895789,0.304025379695039,0.223536005692169,"BAU"
2027,0.298202457882198,0.341311621170177,0.245186898675414,"BAU"
2028,0.295524126911492,0.332314680815068,0.242383408634629,"BAU"
2029,0.266221399871265,0.310480298986785,0.216528245236793,"BAU"
2030,0.297289924556924,0.33332905723558,0.239243776683882,"BAU"
2021,0.271810300513296,0.317434701283696,0.222333244270341,"GF"
2022,0.282957752773428,0.33357483255392,0.240551198208182,"GF"
2023,0.284324268346582,0.330210221615274,0.235602325124395,"GF"
2024,0.285608396997512,0.330241231419013,0.235266843443627,"GF"
2025,0.286497882446977,0.335232029157187,0.241176260220286,"GF"
2026,0.287272487305168,0.33650298203913,0.246361483484216,"GF"
2027,0.285885674131081,0.329427343700702,0.243926889800402,"GF"
2028,0.286421525815077,0.323935438927987,0.244709260237482,"GF"
2029,0.286159521042083,0.327453124052594,0.23673513561905,"GF"
2030,0.286792103245489,0.339135520030675,0.237099363424693,"GF"
2021,0.270099854116573,0.312899525233708,0.218732990619375,"GF with PBO"
2022,0.280956628160646,0.326675735894777,0.235488982287375,"GF with PBO"
2023,0.281887177711173,0.327818451897482,0.230326922554191,"GF with PBO"
2024,0.284086860725039,0.327378786093445,0.23262638323383,"GF with PBO"
2025,0.283327421673288,0.338904946173849,0.228027325617338,"GF with PBO"
2026,0.285382155004866,0.326963797000706,0.226083093882913,"GF with PBO"
2027,0.287687616069159,0.335157623119891,0.234453793597479,"GF with PBO"
2028,0.28817420901972,0.326894989159204,0.238205784664391,"GF with PBO"
2029,0.289012215975554,0.326801567709345,0.233758378754111,"GF with PBO"
2030,0.288361917339618,0.336078648631044,0.24119598419489,"GF with PBO"
2021,0.240646412132123,0.278397693163515,0.190617269238698,"GF at 80%"
2022,0.246594946345127,0.290311761685034,0.20053279516277,"GF at 80%"
2023,0.248215390767729,0.282050883595663,0.199581517710408,"GF at 80%"
2024,0.250891807642292,0.286743636100447,0.209195906660808,"GF at 80%"
2025,0.251294550953207,0.286794181338208,0.210639080537766,"GF at 80%"
2026,0.249477494287887,0.288196659472051,0.205199137121729,"GF at 80%"
2027,0.253161838108979,0.287370276084079,0.209613888250846,"GF at 80%"
2028,0.252666968045659,0.291639191965321,0.210017040413273,"GF at 80%"
2029,0.252835325270388,0.292971298397485,0.209503300188204,"GF at 80%"
2030,0.253388292293482,0.290173581637063,0.213142604883093,"GF at 80%"
2021,0.238320594909897,0.278420721496071,0.191105982532187,"GF at 80% with PBO"
2022,0.246422186562253,0.287595285450031,0.203398834665976,"GF at 80% with PBO"
2023,0.249118335292427,0.290812620007796,0.202484633946508,"GF at 80% with PBO"
2024,0.249847729817872,0.290820587558516,0.200859790790806,"GF at 80% with PBO"
2025,0.248619773991845,0.291377912932669,0.202498200417946,"GF at 80% with PBO"
2026,0.250919973005413,0.286193904273196,0.198998964545838,"GF at 80% with PBO"
2027,0.250928096589249,0.2928752917258,0.201958801098789,"GF at 80% with PBO"
2028,0.249635594202028,0.280731107186779,0.20771760093241,"GF at 80% with PBO"
2029,0.252097647500948,0.289314509627416,0.204403696582254,"GF at 80% with PBO"
2030,0.252510469109398,0.285526877317697,0.209722288664939,"GF at 80% with PBO"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"BAU"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF with PBO"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF at 80%"
2020,0.214056743629615,0.255568429746168,0.161950457685017,"GF at 80% with PBO"
