"year","mean_burden","max_burden","min_burden","scenario"
2012,0.300619713763047,0.313162862071964,0.281846012653792,"to-present"
2013,0.294989395613904,0.306638524186772,0.276426250057871,"to-present"
2014,0.272984227753192,0.28125475070382,0.255579469011277,"to-present"
2015,0.264923687617099,0.274718552236282,0.242395162877642,"to-present"
2016,0.260382933915604,0.273512719642932,0.240554105255892,"to-present"
2017,0.242147416971503,0.257418925742721,0.218757386708102,"to-present"
2018,0.21162569868526,0.229791513494542,0.181100465161124,"to-present"
2019,0.238258510568253,0.258055915434327,0.208325965840924,"to-present"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"to-present"
2021,0.23863758631994,0.260240495010735,0.208957346624038,"BAU"
2022,0.247238132412379,0.265199144254774,0.224087630360642,"BAU"
2023,0.233327717670166,0.249891204744695,0.212558599005824,"BAU"
2024,0.253123317922891,0.267639018874841,0.237638575396467,"BAU"
2025,0.255626846058041,0.267897745344512,0.242006453418526,"BAU"
2026,0.240284049591757,0.2584678955988,0.222063045407494,"BAU"
2027,0.26076996484417,0.274320097105635,0.244207818003523,"BAU"
2028,0.260068802263745,0.274303764749014,0.244104713202793,"BAU"
2029,0.244121543107415,0.260934851037869,0.22862059406972,"BAU"
2030,0.263969671966112,0.277867722721857,0.246617887102537,"BAU"
2021,0.221669057022022,0.240278781122526,0.196913016285012,"GF"
2022,0.232057503970729,0.249995876558004,0.209722226154417,"GF"
2023,0.235057176893671,0.250623127372161,0.214766820422819,"GF"
2024,0.237138208555099,0.252256758286601,0.21796381381243,"GF"
2025,0.238663315136425,0.252346010311935,0.219739067279244,"GF"
2026,0.239996117371936,0.252300173830984,0.220990764609374,"GF"
2027,0.242422218218388,0.256864747018669,0.222379131728186,"GF"
2028,0.243635266933623,0.256497234074822,0.227234010837393,"GF"
2029,0.244826408757081,0.257456137784174,0.22831953113738,"GF"
2030,0.24572376250201,0.262179061622398,0.229162547747026,"GF"
2021,0.221179150784729,0.238987823700982,0.19254430268949,"GF with PBO"
2022,0.230867524645867,0.247656687541336,0.209436042659303,"GF with PBO"
2023,0.233505370632691,0.251762060139075,0.211716609753292,"GF with PBO"
2024,0.235262448416339,0.250721276761423,0.211322489668204,"GF with PBO"
2025,0.23858438504221,0.251555670985336,0.216489169077269,"GF with PBO"
2026,0.239636566496495,0.252689086973059,0.22196640787708,"GF with PBO"
2027,0.240986018074471,0.253111562185199,0.220658310112016,"GF with PBO"
2028,0.242731387508409,0.255794185051323,0.223607444352133,"GF with PBO"
2029,0.244245491936949,0.255436270708619,0.228238322226836,"GF with PBO"
2030,0.244985908575921,0.25685460670642,0.228216665905897,"GF with PBO"
2021,0.21667953241723,0.238017655522422,0.189535017204903,"GF at 80%"
2022,0.226453692875823,0.242316088135835,0.204552899025527,"GF at 80%"
2023,0.229588908689894,0.247879715182601,0.208580616982823,"GF at 80%"
2024,0.232182426257051,0.248041068691762,0.215159783244502,"GF at 80%"
2025,0.234575575101733,0.251871597993519,0.218435035104456,"GF at 80%"
2026,0.237552170351537,0.252675083390398,0.215952004001854,"GF at 80%"
2027,0.238773373456101,0.255450130045153,0.220195636157413,"GF at 80%"
2028,0.241220383154073,0.255684020012688,0.223838661155041,"GF at 80%"
2029,0.242313257920406,0.259565636709235,0.226386802925882,"GF at 80%"
2030,0.244281811410791,0.258118282973117,0.228684522006642,"GF at 80%"
2021,0.216646831980348,0.238905141928808,0.189337904411427,"GF at 80% with PBO"
2022,0.22522300541316,0.241367009799683,0.20317190033873,"GF at 80% with PBO"
2023,0.227743749963813,0.244951752783241,0.210319412972643,"GF at 80% with PBO"
2024,0.231156232711833,0.246165178333215,0.209416094109381,"GF at 80% with PBO"
2025,0.234024985362369,0.248703785861403,0.215152428736663,"GF at 80% with PBO"
2026,0.23559650613473,0.248805973087015,0.214173022872407,"GF at 80% with PBO"
2027,0.238301270050068,0.251076308222339,0.221376552762492,"GF at 80% with PBO"
2028,0.239908858531544,0.258369766893575,0.217956591888464,"GF at 80% with PBO"
2029,0.241190910416275,0.259691584415731,0.221862124832767,"GF at 80% with PBO"
2030,0.242835496229316,0.261919753824971,0.217674023967974,"GF at 80% with PBO"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"BAU"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"GF"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"GF with PBO"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"GF at 80%"
2020,0.183074033208397,0.205506371446477,0.14897946093226,"GF at 80% with PBO"
