"year","mean_burden","max_burden","min_burden","scenario"
2012,0.29863380442803,0.308386863348453,0.277695932809175,"to-present"
2013,0.294580393369693,0.304202362552417,0.275140932418241,"to-present"
2014,0.273595014200193,0.284977892855893,0.253825093330067,"to-present"
2015,0.258812971344548,0.272944375226474,0.234275961864416,"to-present"
2016,0.257733245191691,0.270652017277786,0.235662508802782,"to-present"
2017,0.242345349754284,0.25922423723646,0.215715694522267,"to-present"
2018,0.207469901005171,0.231478999009042,0.176632200922653,"to-present"
2019,0.235772995323173,0.256530986925723,0.210186181996491,"to-present"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"to-present"
2021,0.234739048107605,0.256145493336532,0.212598040757718,"BAU"
2022,0.246984538028188,0.264384160228328,0.223806690200982,"BAU"
2023,0.230834185477107,0.252999246020897,0.205629803654699,"BAU"
2024,0.251614968671856,0.267442145149975,0.230881843842688,"BAU"
2025,0.255761852960363,0.272314090984544,0.230491169995001,"BAU"
2026,0.237421510905695,0.251835175660232,0.217842932906865,"BAU"
2027,0.257962579547138,0.2720959152091,0.237803258193484,"BAU"
2028,0.260930007939235,0.278298534824722,0.241034011365246,"BAU"
2029,0.241767453565964,0.257178676480391,0.22404951020952,"BAU"
2030,0.262169097441987,0.276279697420317,0.248021354210168,"BAU"
2021,0.217213208740258,0.237371581376084,0.190715093336288,"GF"
2022,0.231428635902279,0.250663842856051,0.207766460195449,"GF"
2023,0.235612557446305,0.249803161373999,0.213843104457436,"GF"
2024,0.237384506879454,0.256239364967566,0.218089032428616,"GF"
2025,0.239318204710125,0.253700719632503,0.223797139776814,"GF"
2026,0.240426655555623,0.25624515937514,0.218720650076292,"GF"
2027,0.241969643933617,0.258348064409593,0.219484434065012,"GF"
2028,0.243256775030893,0.260449789763602,0.226407829847574,"GF"
2029,0.245014493280858,0.26092701505556,0.227483222541484,"GF"
2030,0.245904107079566,0.262254205950115,0.22806263964876,"GF"
2021,0.216793822096299,0.238143874189717,0.190306916476359,"GF with PBO"
2022,0.229976641508523,0.248533185276214,0.209575835692337,"GF with PBO"
2023,0.233661528979314,0.251464803769766,0.212961251931417,"GF with PBO"
2024,0.236115977220501,0.251353362318162,0.214619588745794,"GF with PBO"
2025,0.238575965950955,0.256382731218937,0.220688482373248,"GF with PBO"
2026,0.239787705034724,0.256928823295264,0.222768530607731,"GF with PBO"
2027,0.241734978682654,0.261057845607614,0.22388128801722,"GF with PBO"
2028,0.242715730146305,0.262353581031301,0.22431872304103,"GF with PBO"
2029,0.24424621237465,0.266169755445712,0.226626735936989,"GF with PBO"
2030,0.245592218453636,0.263524012996478,0.227320471539153,"GF with PBO"
2021,0.212359851040724,0.232633092745813,0.186941057677973,"GF at 80%"
2022,0.2255146429953,0.242564025150574,0.202644285557611,"GF at 80%"
2023,0.230561961086102,0.244540563593124,0.210184826788834,"GF at 80%"
2024,0.233360476327768,0.247814508887403,0.210445602545794,"GF at 80%"
2025,0.235580742296729,0.250531248319093,0.213782591556342,"GF at 80%"
2026,0.236508227555901,0.24985850246013,0.216379765470739,"GF at 80%"
2027,0.23749824017607,0.249886967670825,0.21809717143846,"GF at 80%"
2028,0.240175919500415,0.252449657239083,0.220440794141697,"GF at 80%"
2029,0.242873324031701,0.257376328526298,0.221720117932059,"GF at 80%"
2030,0.243008728815116,0.256657541781967,0.221277382291206,"GF at 80%"
2021,0.212518834212931,0.233155255246733,0.187476218581536,"GF at 80% with PBO"
2022,0.224780919300592,0.24289723796081,0.199685036216152,"GF at 80% with PBO"
2023,0.230188237681428,0.246222203582917,0.206632325132709,"GF at 80% with PBO"
2024,0.231766568359842,0.247648156659099,0.208508197426513,"GF at 80% with PBO"
2025,0.234326459514653,0.251626045698983,0.211934842497102,"GF at 80% with PBO"
2026,0.236257569126997,0.252222349181759,0.215368666110855,"GF at 80% with PBO"
2027,0.239455455979839,0.252623029965384,0.222588582071619,"GF at 80% with PBO"
2028,0.240020401545874,0.25378541841231,0.221216317821028,"GF at 80% with PBO"
2029,0.242319599823927,0.257192192565034,0.226843192611103,"GF at 80% with PBO"
2030,0.243267953337507,0.256599891408686,0.226658052770841,"GF at 80% with PBO"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"BAU"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"GF"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"GF with PBO"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"GF at 80%"
2020,0.181969701517692,0.20989294255729,0.151503412624893,"GF at 80% with PBO"
