"year","mean_burden","max_burden","min_burden","scenario"
2012,0.216028241665583,0.227019861791204,0.201968008981511,"to-present"
2013,0.221218863209398,0.228925667373541,0.20837272508663,"to-present"
2014,0.195610820261631,0.204563230306074,0.182688453815636,"to-present"
2015,0.150872435113053,0.165831320610073,0.130574354070659,"to-present"
2016,0.192156601966777,0.202779748919954,0.179092848060994,"to-present"
2017,0.200637743460236,0.207580241249622,0.188021818759634,"to-present"
2018,0.132427748025652,0.148711631722313,0.112658547526322,"to-present"
2019,0.176162027039281,0.189145882478037,0.160481470201937,"to-present"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"to-present"
2021,0.195223867572689,0.210132140880558,0.184221578752208,"BAU"
2022,0.221663260392258,0.228021210280085,0.215682509627489,"BAU"
2023,0.166668216076059,0.182519832485887,0.149995299454059,"BAU"
2024,0.214142253269969,0.22300013203502,0.207354580982051,"BAU"
2025,0.229906362999957,0.236143715318373,0.223696727443673,"BAU"
2026,0.170353143303651,0.184507259723709,0.156886422082247,"BAU"
2027,0.217336084536526,0.227143687954557,0.208126534703179,"BAU"
2028,0.232456055762661,0.238638879172004,0.224522472793632,"BAU"
2029,0.172774997546832,0.18615118933935,0.160968193350033,"BAU"
2030,0.218895956083257,0.227047085253248,0.210739497855329,"BAU"
2021,0.188722481899055,0.20038670009635,0.177267313908413,"GF"
2022,0.213402352434888,0.221781726655331,0.206746218855428,"GF"
2023,0.150174715980352,0.167417436643373,0.135017731327966,"GF"
2024,0.201986462001811,0.211783876480083,0.192090521834257,"GF"
2025,0.222293001905916,0.230607305702518,0.212963481992484,"GF"
2026,0.155591879132003,0.171627225844625,0.142832617641383,"GF"
2027,0.206737061720689,0.214618342391718,0.200501822997001,"GF"
2028,0.226287556925688,0.233008447058919,0.214772850363802,"GF"
2029,0.159116201844807,0.177031048711628,0.14184802755847,"GF"
2030,0.210041531619779,0.220181526411719,0.198887352206899,"GF"
2021,0.18872248205006,0.200386700234478,0.177267314338444,"GF with PBO"
2022,0.213402352469279,0.221781726193472,0.206746218821882,"GF with PBO"
2023,0.150174715942854,0.167417436597297,0.135017731376616,"GF with PBO"
2024,0.201986462092811,0.211783876121025,0.192090521663476,"GF with PBO"
2025,0.222293002118046,0.230607306133603,0.2129634821608,"GF with PBO"
2026,0.155591879219414,0.171627226126017,0.142832617382114,"GF with PBO"
2027,0.206737061688411,0.214618342355384,0.2005018234737,"GF with PBO"
2028,0.226287556835907,0.233008447077932,0.21477285060847,"GF with PBO"
2029,0.159116201876737,0.177031049121478,0.141848027372551,"GF with PBO"
2030,0.210041531683727,0.220181526570882,0.19888735248662,"GF with PBO"
2021,0.179313451823006,0.191552346729527,0.168021557017196,"GF at 80%"
2022,0.197622247392853,0.20652482151464,0.185444015984391,"GF at 80%"
2023,0.131106981540828,0.144047509006831,0.114265664827539,"GF at 80%"
2024,0.181808573327901,0.192046810673739,0.161281988272281,"GF at 80%"
2025,0.204773366232063,0.212994875701953,0.188221701363048,"GF at 80%"
2026,0.13844554919464,0.150249440539817,0.12274834215936,"GF at 80%"
2027,0.191124522192488,0.203128405798371,0.176265586771413,"GF at 80%"
2028,0.211855185848195,0.220323318334999,0.202928325567873,"GF at 80%"
2029,0.142623107650571,0.155517216376646,0.126821022278755,"GF at 80%"
2030,0.196306913858835,0.204855244214806,0.185829454501828,"GF at 80%"
2021,0.179313451823006,0.191552346729527,0.168021557017196,"GF at 80% with PBO"
2022,0.197622247392853,0.20652482151464,0.185444015984391,"GF at 80% with PBO"
2023,0.131106981540828,0.144047509006831,0.114265664827539,"GF at 80% with PBO"
2024,0.181808573327901,0.192046810673739,0.161281988272281,"GF at 80% with PBO"
2025,0.204773366232063,0.212994875701953,0.188221701363048,"GF at 80% with PBO"
2026,0.13844554919464,0.150249440539817,0.12274834215936,"GF at 80% with PBO"
2027,0.191124522192488,0.203128405798371,0.176265586771413,"GF at 80% with PBO"
2028,0.211855185848195,0.220323318334999,0.202928325567873,"GF at 80% with PBO"
2029,0.142623107650571,0.155517216376646,0.126821022278755,"GF at 80% with PBO"
2030,0.196306913858835,0.204855244214806,0.185829454501828,"GF at 80% with PBO"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"BAU"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"GF"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"GF with PBO"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"GF at 80%"
2020,0.151300197814571,0.168033568594932,0.132744254675443,"GF at 80% with PBO"
