"year","mean_burden","max_burden","min_burden","scenario"
2012,2748.52969495172,2968.22777533087,2505.76301458126,"to-present"
2013,2841.14019088637,3048.82514391856,2577.82959728627,"to-present"
2014,2543.90939820992,2722.91996623194,2197.74585361278,"to-present"
2015,2449.51748132935,2677.10630602231,2044.36188133236,"to-present"
2016,3029.22520898853,3246.59603930505,2732.07789171303,"to-present"
2017,2908.37279203189,3127.65598132935,2616.80837405912,"to-present"
2018,2123.87121033991,2369.51871775292,1708.72395151434,"to-present"
2019,2770.52803567158,3035.69364042852,2320.90915959034,"to-present"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"to-present"
2021,3104.54664507216,3389.91276001448,2768.61945633122,"BAU"
2022,3207.75303428819,3421.06686603648,2920.14496892342,"BAU"
2023,2693.05657810554,2895.8301775908,2323.2604797388,"BAU"
2024,3256.66908277376,3465.15945804597,2943.02592771476,"BAU"
2025,3209.87967169114,3406.68707064374,2924.46096592087,"BAU"
2026,2682.25415621407,2964.48623444028,2365.50744549283,"BAU"
2027,3234.03169586296,3441.16820999863,2951.22588154109,"BAU"
2028,3201.65126955511,3402.67908094772,2934.83234008889,"BAU"
2029,2667.13691244425,2850.61816163761,2391.30108610544,"BAU"
2030,3231.03451364624,3442.60920075383,2947.00993947721,"BAU"
2021,3099.10988257519,3365.36364360121,2711.15750900888,"GF"
2022,3161.57106353988,3365.43089955007,2849.18489029987,"GF"
2023,2443.22824860011,2687.54085068818,2027.98303352955,"GF"
2024,3196.69675394159,3474.80969528262,2938.25326137843,"GF"
2025,3187.18433540809,3397.3541539191,2941.81593343625,"GF"
2026,2458.65931713651,2711.83053931211,2060.28564127448,"GF"
2027,3206.6545365522,3457.87191089322,2876.35781773016,"GF"
2028,3199.07640792579,3404.25506195924,2886.33897876551,"GF"
2029,2488.9925093496,2738.26110001043,2050.92737585131,"GF"
2030,3232.94783682988,3454.4103367894,2917.74689233576,"GF"
2021,3099.10988257519,3365.36364360121,2711.15750900888,"GF with PBO"
2022,3161.57106353988,3365.43089955007,2849.18489029987,"GF with PBO"
2023,2443.22824860011,2687.54085068818,2027.98303352955,"GF with PBO"
2024,3196.69675394159,3474.80969528262,2938.25326137843,"GF with PBO"
2025,3187.18433540809,3397.3541539191,2941.81593343625,"GF with PBO"
2026,2458.65931713651,2711.83053931211,2060.28564127448,"GF with PBO"
2027,3206.6545365522,3457.87191089322,2876.35781773016,"GF with PBO"
2028,3199.07640792579,3404.25506195924,2886.33897876551,"GF with PBO"
2029,2488.9925093496,2738.26110001043,2050.92737585131,"GF with PBO"
2030,3232.94783682988,3454.4103367894,2917.74689233576,"GF with PBO"
2021,3130.0527672305,3416.20723821085,2751.97599145602,"GF at 80%"
2022,3174.29789387732,3424.2283473625,2854.40267595563,"GF at 80%"
2023,2344.11305169206,2694.00726061383,1911.25597438766,"GF at 80%"
2024,3191.41433174842,3484.74019317062,2878.30652190839,"GF at 80%"
2025,3222.50632248479,3499.89403295051,2934.70075262008,"GF at 80%"
2026,2379.44958968813,2673.13608536085,1972.49144326656,"GF at 80%"
2027,3258.96525281001,3513.26988697942,2910.93100363136,"GF at 80%"
2028,3262.70705453458,3484.06627645277,2967.58755820494,"GF at 80%"
2029,2422.43284438262,2792.60833859471,2025.490963423,"GF at 80%"
2030,3291.05252523027,3558.62624497216,2981.0433407996,"GF at 80%"
2021,3130.05276815133,3416.20727226382,2751.97604727526,"GF at 80% with PBO"
2022,3174.29788308361,3424.22829511916,2854.40268783066,"GF at 80% with PBO"
2023,2344.11305365686,2694.00728843252,1911.25596007129,"GF at 80% with PBO"
2024,3191.4143395939,3484.74019915559,2878.3065150753,"GF at 80% with PBO"
2025,3222.50632966079,3499.89402253499,2934.70076646921,"GF at 80% with PBO"
2026,2379.44959312695,2673.13602943758,1972.4914515341,"GF at 80% with PBO"
2027,3258.965256065,3513.26983056097,2910.93100035503,"GF at 80% with PBO"
2028,3262.70703590593,3484.06623460259,2967.58755635873,"GF at 80% with PBO"
2029,2422.43284762977,2792.6083310129,2025.49096027092,"GF at 80% with PBO"
2030,3291.05252227433,3558.62628091882,2981.04333828014,"GF at 80% with PBO"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"BAU"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"GF"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"GF with PBO"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"GF at 80%"
2020,2290.62714493918,2528.09420390347,1834.52832785369,"GF at 80% with PBO"
