"year","mean_burden","max_burden","min_burden","scenario"
2012,2409.08762996323,2576.29857078764,2219.79347682964,"to-present"
2013,2514.44166233392,2684.82427026921,2279.14757297581,"to-present"
2014,2271.62235847855,2437.57741365874,2030.94066905003,"to-present"
2015,2185.62751254581,2374.94507160377,1913.23551610038,"to-present"
2016,2658.5069953441,2865.12492823365,2425.97597070563,"to-present"
2017,2545.89631884966,2721.56569992783,2284.70388314505,"to-present"
2018,1921.55327232409,2132.39589505513,1620.17178629769,"to-present"
2019,2434.35874425262,2697.13249998692,2106.53102381016,"to-present"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"to-present"
2021,2664.28103628104,2951.50733665281,2396.49633278121,"BAU"
2022,2753.6519970635,2959.27478800954,2515.55728340916,"BAU"
2023,2229.09727573477,2437.94167830813,1918.81506088894,"BAU"
2024,2785.88720918514,3003.39817635859,2593.94973004395,"BAU"
2025,2779.62544609553,2977.54029155375,2583.86053144395,"BAU"
2026,2241.23229815133,2447.54232720804,1982.00010524747,"BAU"
2027,2781.23381053638,2970.4863378307,2582.31019377524,"BAU"
2028,2772.75271964394,2977.44278426879,2575.33320857516,"BAU"
2029,2240.58372618939,2447.91564050925,1988.96029368683,"BAU"
2030,2788.61006697311,3013.86382574534,2573.24978909846,"BAU"
2021,2574.29818708006,2860.12069205239,2319.07027147398,"GF"
2022,2657.10506052064,2877.25806913242,2397.28408233252,"GF"
2023,2168.24729622782,2364.5584563505,1881.69673793231,"GF"
2024,2684.726718202,2891.58024842383,2443.6745640277,"GF"
2025,2712.21284680523,2934.15397375906,2517.19405344041,"GF"
2026,2196.74021044528,2429.04240538633,1902.75327827828,"GF"
2027,2706.55914087351,2936.65261828939,2456.91092988383,"GF"
2028,2731.63758505313,2964.34440953127,2503.52944164412,"GF"
2029,2211.72492190889,2429.01122350511,1911.14696990894,"GF"
2030,2737.07094681284,2946.66815321529,2523.13203284436,"GF"
2021,2560.36330063196,2833.49124987701,2297.88754639757,"GF with PBO"
2022,2644.64795503068,2879.32379642026,2361.52767327772,"GF with PBO"
2023,2145.27316751188,2347.13521088476,1821.86633891435,"GF with PBO"
2024,2664.94772343419,2869.34503806896,2423.94256187216,"GF with PBO"
2025,2695.2166908633,2905.06665460868,2470.83765335691,"GF with PBO"
2026,2177.16793237477,2398.09491911116,1895.34689735225,"GF with PBO"
2027,2695.01560019096,2933.45953031898,2473.40604927317,"GF with PBO"
2028,2723.68321304966,2957.53791621957,2508.32712131866,"GF with PBO"
2029,2196.70793562082,2413.74292704157,1897.05108163488,"GF with PBO"
2030,2725.4911122919,2942.7500017126,2525.44887228775,"GF with PBO"
2021,2557.11171060891,2850.60609031077,2250.41513240906,"GF at 80%"
2022,2619.97821820613,2861.01081936154,2349.20230430381,"GF at 80%"
2023,2062.91378727958,2339.31246540361,1752.10888136818,"GF at 80%"
2024,2625.04622532858,2835.97511024799,2277.56609964064,"GF at 80%"
2025,2657.66934655715,2860.55363314234,2359.72337539032,"GF at 80%"
2026,2105.7192569287,2410.53729791077,1793.52916198255,"GF at 80%"
2027,2690.53489947676,2958.64246081377,2402.27770207154,"GF at 80%"
2028,2728.56040040892,2975.54326661769,2466.82498382026,"GF at 80%"
2029,2152.06083078127,2444.16713330937,1852.26589153602,"GF at 80%"
2030,2735.02342508279,2961.62859851996,2471.54962674932,"GF at 80%"
2021,2539.32083300103,2836.191544326,2223.35422455965,"GF at 80% with PBO"
2022,2601.20394291265,2825.55139889139,2328.11386572936,"GF at 80% with PBO"
2023,2034.72790507333,2292.2656656263,1724.50990601363,"GF at 80% with PBO"
2024,2596.9130401998,2830.92523543013,2280.84526258269,"GF at 80% with PBO"
2025,2634.54475415637,2833.82053463616,2383.68941483497,"GF at 80% with PBO"
2026,2078.9127720038,2373.79974672205,1787.89836341714,"GF at 80% with PBO"
2027,2654.36725217818,2894.58288188365,2369.44590441848,"GF at 80% with PBO"
2028,2684.7727946153,2898.30999864227,2436.31636378218,"GF at 80% with PBO"
2029,2121.11875955011,2398.41826697124,1795.88606852908,"GF at 80% with PBO"
2030,2708.54186903636,2932.67153707491,2419.52900435405,"GF at 80% with PBO"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"BAU"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"GF"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"GF with PBO"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"GF at 80%"
2020,1956.12063290142,2184.85877029839,1596.80356437892,"GF at 80% with PBO"
