"year","mean_burden","max_burden","min_burden","scenario"
2012,1325.74894400136,1411.35611682035,1269.31088408341,"to-present"
2013,1370.74752412823,1460.60226648515,1263.1046435742,"to-present"
2014,1196.5549916274,1293.82345496785,1113.13198296958,"to-present"
2015,1184.94424221771,1274.10217790182,1046.33963645301,"to-present"
2016,1484.38835507316,1605.39559468762,1323.8710753547,"to-present"
2017,1425.66948673499,1549.01905067565,1288.83475730904,"to-present"
2018,1238.51175878355,1348.3630959853,1088.42704446083,"to-present"
2019,1570.59085350329,1717.1614555273,1358.99939185322,"to-present"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"to-present"
2021,1607.97670274157,1735.18215342495,1400.03499819957,"BAU"
2022,1616.89254516721,1727.88458809833,1512.891292731,"BAU"
2023,1387.1264723581,1552.80989650999,1245.03484729255,"BAU"
2024,1697.95409956447,1837.99539114883,1554.26429712571,"BAU"
2025,1641.07108178158,1741.14957507541,1500.11557723373,"BAU"
2026,1404.92913680705,1486.28798953058,1240.59373154645,"BAU"
2027,1703.06077198358,1795.01259238357,1570.02160648278,"BAU"
2028,1660.41936655291,1757.17019014218,1494.84296526072,"BAU"
2029,1419.90092416435,1546.69844112059,1303.11316086466,"BAU"
2030,1714.4627018412,1856.94696667174,1601.27672158368,"BAU"
2021,1125.33014058444,1301.09228798068,822.859041990899,"GF"
2022,1150.6689132724,1353.4402902729,756.792861821553,"GF"
2023,1209.0960952488,1424.9427121647,817.506949186782,"GF"
2024,1277.86112205807,1496.28130122152,874.586016341602,"GF"
2025,1334.39371794761,1575.87597914509,1047.94239854379,"GF"
2026,1381.50209107452,1598.32400667224,1127.98116348674,"GF"
2027,1422.08928454874,1598.01318997882,1185.49998466233,"GF"
2028,1452.20810471125,1616.2695694693,1213.83928772825,"GF"
2029,1478.49012725596,1678.13194889675,1247.35792534464,"GF"
2030,1497.84457138548,1643.72106815829,1277.43372666858,"GF"
2021,938.623342590406,1119.31117572337,580.27946705796,"GF with PBO"
2022,946.604598855299,1097.16569649665,617.894954208244,"GF with PBO"
2023,991.382120335317,1222.58144301196,633.505601345244,"GF with PBO"
2024,1059.33550913668,1316.6825352611,680.331824241174,"GF with PBO"
2025,1135.86058953328,1358.07491730244,837.723610040582,"GF with PBO"
2026,1196.44196717533,1387.90487555919,889.539325816595,"GF with PBO"
2027,1279.03713440148,1483.72878106945,978.024944865022,"GF with PBO"
2028,1323.98462779797,1551.45731569899,1015.86176179522,"GF with PBO"
2029,1368.86377746246,1566.58146851291,1111.77290239735,"GF with PBO"
2030,1419.02128925319,1588.77148973946,1160.29419507021,"GF with PBO"
2021,1138.3652071869,1311.7352750949,835.285164761492,"GF at 80%"
2022,1181.45859966576,1368.78194980568,839.26926342244,"GF at 80%"
2023,1233.35017076806,1377.10639407865,969.040273673783,"GF at 80%"
2024,1280.48574038326,1401.79195182252,1017.49104853602,"GF at 80%"
2025,1328.65169290281,1541.67808477883,1061.36938055817,"GF at 80%"
2026,1352.83711271426,1579.51465651284,1106.18722207295,"GF at 80%"
2027,1387.33403398187,1611.33604749297,1074.30151768285,"GF at 80%"
2028,1427.66777123873,1636.93308668142,1191.30731916918,"GF at 80%"
2029,1435.683928814,1600.45705142931,1216.2444484433,"GF at 80%"
2030,1454.3440369278,1601.25918862098,1235.80296276026,"GF at 80%"
2021,986.327758340042,1176.74145346825,670.999138325837,"GF at 80% with PBO"
2022,987.902991503162,1222.65787414283,588.727773094795,"GF at 80% with PBO"
2023,1043.93279099885,1254.07044642664,668.639827201124,"GF at 80% with PBO"
2024,1097.15448525557,1353.73937740277,737.278961654986,"GF at 80% with PBO"
2025,1159.31307432673,1375.14622257671,858.695098436684,"GF at 80% with PBO"
2026,1234.31589942542,1430.01445727479,922.480444884042,"GF at 80% with PBO"
2027,1274.63686327915,1482.94695992078,1015.61331454949,"GF at 80% with PBO"
2028,1319.8447314487,1482.2829955223,1091.15245550999,"GF at 80% with PBO"
2029,1352.91779785954,1485.37562693611,1087.77307558686,"GF at 80% with PBO"
2030,1382.15308354395,1502.25843590397,1201.76863607683,"GF at 80% with PBO"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"BAU"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF with PBO"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF at 80%"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF at 80% with PBO"
