"year","mean_burden","max_burden","min_burden","scenario"
2012,1076.26981707884,1125.91847124846,993.401569562108,"to-present"
2013,1135.33907443426,1192.04360438117,1045.98858191328,"to-present"
2014,989.885740312707,1038.93191452268,923.134430291835,"to-present"
2015,888.850059205628,961.487464719667,810.310543749551,"to-present"
2016,1144.98332478009,1203.33676234634,1062.9409345269,"to-present"
2017,1116.53936902883,1186.37620626542,1011.19028652208,"to-present"
2018,790.488306541663,881.520950266272,691.232072327081,"to-present"
2019,1083.28729348324,1180.86302122318,981.752108156184,"to-present"
2020,845.243342684959,939.215391576153,742.18897566484,"to-present"
2021,1217.78264217858,1305.32884906606,1157.22110537237,"BAU"
2022,1313.36186262107,1368.7368190034,1261.57229395816,"BAU"
2023,1068.06088861428,1120.9935248584,990.534436016522,"BAU"
2024,1357.84478919537,1413.27085395041,1295.77770446812,"BAU"
2025,1364.02092021328,1424.37002623891,1313.96464810544,"BAU"
2026,1079.94248283915,1151.54094119736,1025.72374376784,"BAU"
2027,1356.00380952369,1402.02330944232,1303.77998551163,"BAU"
2028,1366.1228024303,1410.25158328076,1312.80371400114,"BAU"
2029,1076.15085109711,1127.18264675024,1026.02446831379,"BAU"
2030,1352.30505845867,1395.4343794656,1305.31091462571,"BAU"
2021,1179.34175140133,1287.30062140962,1109.96713882066,"GF"
2022,1268.28706317782,1325.2779186347,1198.56171983683,"GF"
2023,980.815152168724,1059.11707472942,891.918948251011,"GF"
2024,1303.71573876524,1353.62216085713,1228.13669405723,"GF"
2025,1338.29880383545,1389.36535025951,1261.82664229188,"GF"
2026,1018.66415796338,1110.6740052187,933.952058740812,"GF"
2027,1336.31932690514,1389.7958699344,1273.51910061909,"GF"
2028,1362.0467251766,1409.11022524223,1291.8743231878,"GF"
2029,1034.01497981479,1108.61616138989,946.468052420824,"GF"
2030,1348.71656618628,1397.64174453189,1285.89915423766,"GF"
2021,1166.02648556973,1274.30467491627,1099.77099478179,"GF with PBO"
2022,1247.83485165097,1324.32065392392,1189.26928540967,"GF with PBO"
2023,942.347790436493,1033.51012000377,859.257088171056,"GF with PBO"
2024,1266.65301664304,1319.48350942912,1204.13305933692,"GF with PBO"
2025,1316.76146368583,1373.85403004199,1259.73611210419,"GF with PBO"
2026,982.129936121502,1069.75642023318,896.482801970923,"GF with PBO"
2027,1305.74499062663,1362.28358253418,1230.89857772073,"GF with PBO"
2028,1345.06329098272,1393.33744368732,1288.9988675732,"GF with PBO"
2029,1009.22221873276,1077.76188170002,939.398999870924,"GF with PBO"
2030,1328.89144653834,1382.43316204395,1266.73440961772,"GF with PBO"
2021,1135.86195277876,1243.18484971455,1045.62286034475,"GF at 80%"
2022,1181.97547713565,1243.1691539072,1094.15773867427,"GF at 80%"
2023,878.097325656234,968.818465160013,768.041208854759,"GF at 80%"
2024,1189.76485378413,1272.36190406676,1072.24408824452,"GF at 80%"
2025,1236.80985139102,1324.7824126593,1136.07336537167,"GF at 80%"
2026,928.663081144271,1043.78816529427,815.856419258176,"GF at 80%"
2027,1260.82300873926,1375.57613882401,1131.03069655926,"GF at 80%"
2028,1306.25416391894,1384.51728378804,1198.83748671874,"GF at 80%"
2029,969.527844866183,1074.34625347626,870.521096732925,"GF at 80%"
2030,1310.80554967236,1381.89749269667,1224.95538369075,"GF at 80%"
2021,1123.46334000785,1222.99120517999,1042.38192423057,"GF at 80% with PBO"
2022,1158.39254311493,1221.60102570357,1064.53159473771,"GF at 80% with PBO"
2023,846.445461079297,946.646522132151,716.09187989926,"GF at 80% with PBO"
2024,1158.66623940679,1225.78216378617,1032.45143718514,"GF at 80% with PBO"
2025,1207.41319725233,1280.80607730448,1089.03211827415,"GF at 80% with PBO"
2026,900.687011366668,993.958388286024,786.647510072546,"GF at 80% with PBO"
2027,1233.55094837143,1312.96928229888,1102.51317705332,"GF at 80% with PBO"
2028,1277.55081809038,1340.24621934662,1175.17720736608,"GF at 80% with PBO"
2029,940.879734253298,1031.49041146028,841.782676891997,"GF at 80% with PBO"
2030,1282.71555556667,1340.32122564781,1198.94725970643,"GF at 80% with PBO"
2020,845.243342684959,939.215391576153,742.18897566484,"BAU"
2020,845.243342684959,939.215391576153,742.18897566484,"GF"
2020,845.243342684959,939.215391576153,742.18897566484,"GF with PBO"
2020,845.243342684959,939.215391576153,742.18897566484,"GF at 80%"
2020,845.243342684959,939.215391576153,742.18897566484,"GF at 80% with PBO"
