"year","mean_burden","max_burden","min_burden","scenario"
2012,1296.55913917846,1365.19313684196,1200.074426097,"to-present"
2013,1355.62383242136,1414.41715826638,1233.60805572595,"to-present"
2014,1193.18526269067,1278.20455377514,1115.49092790459,"to-present"
2015,1084.46387110862,1189.61681002057,966.991366263059,"to-present"
2016,1430.72454118921,1545.91888660961,1313.64117364349,"to-present"
2017,1392.08993139815,1526.39087143405,1280.92889454886,"to-present"
2018,1135.90638437983,1205.18600426598,1042.002042885,"to-present"
2019,1521.61188401666,1633.09766628739,1407.87784678517,"to-present"
2020,1130.9065004568,1256.911068455,997.466036445731,"to-present"
2021,1545.80866063677,1690.18032173384,1387.29792345302,"BAU"
2022,1625.36347686529,1751.28418056768,1438.39779952745,"BAU"
2023,1337.52166676686,1474.49944490904,1202.55727129197,"BAU"
2024,1652.50313456682,1803.97722074229,1471.00609845128,"BAU"
2025,1661.41003757243,1805.83409747623,1492.36674979945,"BAU"
2026,1356.20849151285,1492.92725255791,1171.88343448605,"BAU"
2027,1683.52081475083,1833.18259499091,1462.53773057546,"BAU"
2028,1649.965204607,1804.2264325696,1435.86274747613,"BAU"
2029,1340.85428026067,1522.89242461112,1094.02724263806,"BAU"
2030,1665.58658258866,1788.17767342659,1465.03600945938,"BAU"
2021,1158.83465265648,1300.20140382603,948.523240817207,"GF"
2022,1232.53494365492,1366.90540940947,914.613707407898,"GF"
2023,1279.30335995023,1448.96993443984,1010.12537559494,"GF"
2024,1338.10185935158,1496.14443696372,1076.26444272224,"GF"
2025,1366.56390956206,1483.11865280731,1167.27618214254,"GF"
2026,1411.45126884418,1538.455524078,1184.71088149702,"GF"
2027,1439.19529934291,1595.93387118036,1169.43736049529,"GF"
2028,1445.26999632994,1635.42291987937,1272.38525985226,"GF"
2029,1475.0208753693,1621.23617035228,1281.03071077477,"GF"
2030,1486.78338521866,1655.03631677145,1306.8525015818,"GF"
2021,987.503117768613,1175.36463982786,731.657705465782,"GF with PBO"
2022,1037.66806849385,1216.8597816869,630.799629691334,"GF with PBO"
2023,1096.33879914843,1328.46333893236,729.062349513695,"GF with PBO"
2024,1156.97777530202,1328.94286494885,981.220825896467,"GF with PBO"
2025,1213.16923054397,1406.41498463209,996.980634658817,"GF with PBO"
2026,1267.88438174313,1452.52009157823,1029.83769413636,"GF with PBO"
2027,1299.4271870683,1504.53965372898,1047.49124835925,"GF with PBO"
2028,1345.33419429589,1578.4730417847,1090.89801960906,"GF with PBO"
2029,1379.13320648729,1620.15189378227,1088.6675679387,"GF with PBO"
2030,1391.60151431604,1589.04229412996,1137.20503270017,"GF with PBO"
2021,1155.71424667064,1334.53059837326,906.894457472437,"GF at 80%"
2022,1221.66121518685,1381.68601583056,936.207444496457,"GF at 80%"
2023,1275.48518196802,1404.88643141787,943.767462578479,"GF at 80%"
2024,1321.03500082667,1484.1719937383,1021.51307576552,"GF at 80%"
2025,1339.21315317119,1473.6460681732,1080.95049200189,"GF at 80%"
2026,1384.89034380241,1585.60697956308,1133.7477393666,"GF at 80%"
2027,1398.75983734054,1528.02662216534,1159.64140392998,"GF at 80%"
2028,1435.02707769386,1619.54773085789,1265.22735271435,"GF at 80%"
2029,1443.97804541333,1633.74585253327,1281.57296448286,"GF at 80%"
2030,1455.66524723561,1567.66171986685,1225.20252120313,"GF at 80%"
2021,990.968151253514,1168.18189888266,706.938339890336,"GF at 80% with PBO"
2022,993.506088654526,1283.82763540116,642.389760375234,"GF at 80% with PBO"
2023,1070.82102987754,1317.1238827318,677.742999993503,"GF at 80% with PBO"
2024,1129.67263271565,1374.49282345743,767.474779017657,"GF at 80% with PBO"
2025,1206.76551291767,1417.18242413342,907.672354513723,"GF at 80% with PBO"
2026,1256.03547585457,1422.57867370981,933.406373834937,"GF at 80% with PBO"
2027,1291.92508658903,1452.19146931832,928.795009951294,"GF at 80% with PBO"
2028,1323.46407479008,1547.88032694658,1095.9347825804,"GF at 80% with PBO"
2029,1345.43109774439,1518.13181612021,1073.63923334943,"GF at 80% with PBO"
2030,1386.40974604154,1536.17975005993,1160.2570060565,"GF at 80% with PBO"
2020,1130.9065004568,1256.911068455,997.466036445731,"BAU"
2020,1130.9065004568,1256.911068455,997.466036445731,"GF"
2020,1130.9065004568,1256.911068455,997.466036445731,"GF with PBO"
2020,1130.9065004568,1256.911068455,997.466036445731,"GF at 80%"
2020,1130.9065004568,1256.911068455,997.466036445731,"GF at 80% with PBO"
