"year","mean_burden","max_burden","min_burden","scenario"
2012,1173.24699558024,1210.79842691056,1118.0727388808,"to-present"
2013,1244.54982036806,1284.79218496289,1198.45251409783,"to-present"
2014,1078.64627834733,1130.26089553074,1021.99352138262,"to-present"
2015,910.267087901146,1003.83346257114,789.201757115578,"to-present"
2016,1236.04041082588,1292.5398136603,1156.34175598925,"to-present"
2017,1241.25231275599,1283.98949737738,1167.34285340257,"to-present"
2018,817.955650931058,917.228316339323,703.132048974087,"to-present"
2019,1166.74574248557,1225.35647083155,1086.11859972913,"to-present"
2020,941.92441702441,1030.37711419801,829.262178508677,"to-present"
2021,1325.33543688487,1385.514585434,1280.14982142721,"BAU"
2022,1462.22521665094,1509.59242898917,1410.53470730244,"BAU"
2023,1163.36946117539,1265.0098988299,1084.29971135454,"BAU"
2024,1485.86841587753,1524.8238786229,1439.8668481065,"BAU"
2025,1516.71514393767,1567.74971926769,1450.09933247744,"BAU"
2026,1182.05339306672,1264.63451345056,1117.03347491258,"BAU"
2027,1494.80640397873,1548.70294642738,1426.62694948813,"BAU"
2028,1517.71582081194,1573.69639743468,1460.97490562809,"BAU"
2029,1171.24503029596,1242.16994336448,1109.72891294564,"BAU"
2030,1483.17550472045,1531.17568937241,1433.10688273036,"BAU"
2021,1315.45113553299,1372.70030577036,1272.9709166019,"GF"
2022,1435.7934147102,1486.39425692069,1387.78955194866,"GF"
2023,1011.8186141163,1114.93388383114,924.055094987225,"GF"
2024,1424.80731882626,1485.5799415113,1333.52869178116,"GF"
2025,1496.02937705588,1532.9949063442,1439.29564919873,"GF"
2026,1049.51088045147,1149.57694328292,933.753278011805,"GF"
2027,1464.42480413176,1521.73466146741,1373.44257985951,"GF"
2028,1519.90546944258,1571.43175518433,1458.37525144992,"GF"
2029,1061.81033135396,1185.25438900253,951.027678988634,"GF"
2030,1477.6338329399,1531.26607486364,1414.73735923642,"GF"
2021,1315.45113629534,1372.70031076235,1272.97090710071,"GF with PBO"
2022,1435.79341474973,1486.39425735698,1387.78954636894,"GF with PBO"
2023,1011.81861517418,1114.93388188037,924.055092030736,"GF with PBO"
2024,1424.80731815935,1485.57994180041,1333.52868320083,"GF with PBO"
2025,1496.02937741874,1532.9949094955,1439.29565726697,"GF with PBO"
2026,1049.5108793512,1149.57694102282,933.753281552393,"GF with PBO"
2027,1464.42480475613,1521.73466176205,1373.44257383584,"GF with PBO"
2028,1519.90546969151,1571.43176138765,1458.37524077523,"GF with PBO"
2029,1061.81033157064,1185.25438938446,951.027683892154,"GF with PBO"
2030,1477.63383360106,1531.26607897185,1414.73735362188,"GF with PBO"
2021,1295.84250713845,1353.52347682997,1252.16634171233,"GF at 80%"
2022,1392.92443576323,1447.9908644339,1321.07815935042,"GF at 80%"
2023,917.049888465431,1009.24646713478,800.148932533704,"GF at 80%"
2024,1352.82411664556,1411.83944829796,1221.92722159252,"GF at 80%"
2025,1460.42772296734,1509.93634829541,1344.60938929733,"GF at 80%"
2026,970.212934134513,1056.68105845302,842.102160744043,"GF at 80%"
2027,1432.02913521325,1476.98732148715,1309.01494486037,"GF at 80%"
2028,1518.71836004887,1590.64330997911,1405.61221214877,"GF at 80%"
2029,994.94552972138,1097.83699670395,881.772751406808,"GF at 80%"
2030,1465.5345085436,1522.07897172782,1374.0697545596,"GF at 80%"
2021,1295.84250713845,1353.52347682997,1252.16634171233,"GF at 80% with PBO"
2022,1392.92443576323,1447.9908644339,1321.07815935042,"GF at 80% with PBO"
2023,917.049888465431,1009.24646713478,800.148932533704,"GF at 80% with PBO"
2024,1352.82411664556,1411.83944829796,1221.92722159252,"GF at 80% with PBO"
2025,1460.42772296734,1509.93634829541,1344.60938929733,"GF at 80% with PBO"
2026,970.212934134513,1056.68105845302,842.102160744043,"GF at 80% with PBO"
2027,1432.02913521325,1476.98732148715,1309.01494486037,"GF at 80% with PBO"
2028,1518.71836004887,1590.64330997911,1405.61221214877,"GF at 80% with PBO"
2029,994.94552972138,1097.83699670395,881.772751406808,"GF at 80% with PBO"
2030,1465.5345085436,1522.07897172782,1374.0697545596,"GF at 80% with PBO"
2020,941.92441702441,1030.37711419801,829.262178508677,"BAU"
2020,941.92441702441,1030.37711419801,829.262178508677,"GF"
2020,941.92441702441,1030.37711419801,829.262178508677,"GF with PBO"
2020,941.92441702441,1030.37711419801,829.262178508677,"GF at 80%"
2020,941.92441702441,1030.37711419801,829.262178508677,"GF at 80% with PBO"
