"year","mean_burden","max_burden","min_burden","scenario"
2012,1325.74894400136,1411.35611682035,1269.31088408341,"to-present"
2013,1370.74752412823,1460.60226648515,1263.1046435742,"to-present"
2014,1196.5549916274,1293.82345496785,1113.13198296958,"to-present"
2015,1184.94424221771,1274.10217790182,1046.33963645301,"to-present"
2016,1484.38835507316,1605.39559468762,1323.8710753547,"to-present"
2017,1425.66948673499,1549.01905067565,1288.83475730904,"to-present"
2018,1238.51175878355,1348.3630959853,1088.42704446083,"to-present"
2019,1570.59085350329,1717.1614555273,1358.99939185322,"to-present"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"to-present"
2021,1611.92867852414,1731.95225465094,1393.35611271246,"BAU"
2022,1603.02467046002,1753.21779065245,1360.78759578142,"BAU"
2023,1305.92599780523,1442.64067409208,1137.51170619543,"BAU"
2024,1670.31285505506,1828.82998633366,1479.29580311762,"BAU"
2025,1644.93294865632,1788.65612496511,1449.53156102182,"BAU"
2026,1346.84342033209,1505.69347913195,1083.41568010848,"BAU"
2027,1696.72959890614,1878.37975082524,1537.91495571369,"BAU"
2028,1646.97029878707,1843.53367855743,1488.72180718068,"BAU"
2029,1352.79900131142,1525.79406526565,1224.86120162325,"BAU"
2030,1703.14552672229,1871.57341405649,1616.60515759057,"BAU"
2021,1060.44528332819,1226.26708129377,762.166553025782,"GF"
2022,1063.98577538209,1294.3418536571,765.705667152802,"GF"
2023,1143.34746774981,1365.25718164317,844.57080894808,"GF"
2024,1185.80440521931,1396.28871788021,826.353340471545,"GF"
2025,1254.07740314603,1363.12139472214,943.509239882141,"GF"
2026,1303.85790857329,1478.9121265511,1031.81027906109,"GF"
2027,1341.26185009324,1457.87461436537,1146.09157600117,"GF"
2028,1369.87996329502,1524.22708433231,1209.07761717547,"GF"
2029,1392.12370503844,1480.1950781939,1263.12142522923,"GF"
2030,1428.26055242328,1581.55406612164,1218.28825281513,"GF"
2021,967.282429821129,1102.79216447128,660.967626619507,"GF with PBO"
2022,973.213986854529,1156.10665438633,659.827451955426,"GF with PBO"
2023,1066.03830921881,1291.45042026002,638.678481823265,"GF with PBO"
2024,1118.35567882943,1324.36598403231,824.896742054951,"GF with PBO"
2025,1167.77647283752,1337.5454792208,892.792785646782,"GF with PBO"
2026,1238.75089657321,1421.11352881668,940.320649297222,"GF with PBO"
2027,1283.13194465715,1479.88834063965,1038.15501922981,"GF with PBO"
2028,1335.51227190229,1467.10676364773,1056.1886619451,"GF with PBO"
2029,1350.49593062608,1492.4353918373,1169.20669778743,"GF with PBO"
2030,1394.22300207172,1594.89322742234,1160.89235586139,"GF with PBO"
2021,1055.11918175122,1226.32463354995,767.183977452947,"GF at 80%"
2022,1069.84349897968,1259.39765894708,766.932963927126,"GF at 80%"
2023,1139.09154075996,1341.19403623766,762.652289767072,"GF at 80%"
2024,1203.53516342167,1376.71888800627,867.502262790264,"GF at 80%"
2025,1252.22150445555,1449.49267594959,925.107497792853,"GF at 80%"
2026,1308.697809521,1485.16468979843,1068.49534794515,"GF at 80%"
2027,1351.92198491567,1511.62451383219,1097.42921094242,"GF at 80%"
2028,1377.51481308243,1550.54322540296,1133.93963018514,"GF at 80%"
2029,1382.3344478006,1539.78088505636,1191.23845586738,"GF at 80%"
2030,1413.88135136596,1583.4807764114,1216.03391621783,"GF at 80%"
2021,958.703034861417,1167.34330333024,698.397731575271,"GF at 80% with PBO"
2022,960.626066807281,1181.07982688745,684.511623058631,"GF at 80% with PBO"
2023,1011.6743215428,1219.65006087593,700.983186147578,"GF at 80% with PBO"
2024,1083.17160750062,1331.02924400368,743.820389633056,"GF at 80% with PBO"
2025,1164.05355057374,1303.83418662392,859.511318793483,"GF at 80% with PBO"
2026,1235.87849921915,1428.82253542802,972.069129492481,"GF at 80% with PBO"
2027,1287.16283562999,1442.35116323907,1057.55751410447,"GF at 80% with PBO"
2028,1310.45012454551,1543.45694648056,1071.49950548484,"GF at 80% with PBO"
2029,1343.85539453137,1486.67453856868,1094.29191054075,"GF at 80% with PBO"
2030,1369.49302796396,1504.36180740053,1112.07946980614,"GF at 80% with PBO"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"BAU"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF with PBO"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF at 80%"
2020,1195.19032451532,1374.67248457747,1043.92807845227,"GF at 80% with PBO"
