"year","mean_burden","max_burden","min_burden","scenario"
2012,1507.00967290241,1608.32212391004,1396.04325548527,"to-present"
2013,1545.1596473427,1644.01764585677,1459.4950802303,"to-present"
2014,1464.60538550253,1538.90757694612,1356.4643243194,"to-present"
2015,1531.06986777554,1586.07513174373,1393.22465909855,"to-present"
2016,1576.37314124926,1683.06317062448,1441.99085056798,"to-present"
2017,1415.22573329217,1518.33860280701,1273.86025428133,"to-present"
2018,1303.48726083373,1441.20673480435,1108.19021068739,"to-present"
2019,1447.46790843076,1596.65871464993,1292.2834163926,"to-present"
2020,1110.66881018743,1319.79728706786,936.338546130833,"to-present"
2021,1538.66603038192,1648.21461155503,1433.82183345935,"BAU"
2022,1557.12219968332,1674.08789164725,1450.95267200758,"BAU"
2023,1473.87191740533,1571.01534135756,1362.34046485516,"BAU"
2024,1651.6916810133,1759.6378492297,1547.41462283431,"BAU"
2025,1617.34445295451,1728.79092550731,1509.66941419688,"BAU"
2026,1531.25317480985,1661.41363796333,1409.29072545723,"BAU"
2027,1694.26023276378,1794.97661133546,1570.03914395542,"BAU"
2028,1646.26926125666,1757.85896439427,1525.44618868913,"BAU"
2029,1536.48755087099,1686.66289348143,1421.35667935553,"BAU"
2030,1714.85607839594,1834.44103017562,1591.4474075464,"BAU"
2021,1552.10736436483,1666.41997889395,1425.83812173317,"GF"
2022,1625.23807490277,1751.96988682038,1491.41625376004,"GF"
2023,1649.75648113285,1790.65918195586,1517.96048986043,"GF"
2024,1668.31544492593,1808.06497821688,1557.80318707468,"GF"
2025,1687.82142119158,1810.96309847106,1599.30839421911,"GF"
2026,1696.51224323077,1844.64634319002,1622.91886545867,"GF"
2027,1699.30328165841,1833.12766831953,1611.00595475747,"GF"
2028,1703.83548844942,1814.0565908374,1581.16474378237,"GF"
2029,1701.44377152657,1835.33484827501,1549.54497267627,"GF"
2030,1705.67237046053,1878.33493915517,1602.4504273855,"GF"
2021,1553.29487536277,1698.83214342355,1434.82305876292,"GF with PBO"
2022,1622.10016435148,1737.79458075236,1528.64650154548,"GF with PBO"
2023,1643.75401082949,1757.18337421241,1558.05653205582,"GF with PBO"
2024,1658.37957965939,1756.63452387039,1539.39001282537,"GF with PBO"
2025,1672.06583093239,1777.03509065482,1571.89696717892,"GF with PBO"
2026,1693.05391385619,1779.87917540995,1572.74717747562,"GF with PBO"
2027,1702.28466254727,1791.39928104568,1596.53597848637,"GF with PBO"
2028,1714.13915769948,1818.81346156962,1647.26701026587,"GF with PBO"
2029,1717.70060601494,1810.12288395616,1585.34223868315,"GF with PBO"
2030,1716.75958048817,1805.23031289844,1645.68203432808,"GF with PBO"
2021,1475.2805102411,1603.83079508563,1323.38978254068,"GF at 80%"
2022,1545.41103346713,1643.03112209714,1414.19283562154,"GF at 80%"
2023,1585.72550173834,1683.26348809914,1470.90790257409,"GF at 80%"
2024,1610.15252227284,1727.62105568311,1489.90240694965,"GF at 80%"
2025,1628.35990667435,1750.31901777828,1511.98528039246,"GF at 80%"
2026,1645.14864997324,1750.81330642144,1487.70438880091,"GF at 80%"
2027,1673.33156919543,1788.31618691119,1557.14919100905,"GF at 80%"
2028,1693.50755140512,1826.68996639709,1566.28406693906,"GF at 80%"
2029,1703.47636689939,1826.46602345967,1560.67085759199,"GF at 80%"
2030,1712.8871416721,1842.96403291014,1587.13908788361,"GF at 80%"
2021,1472.750055245,1596.21675338123,1329.77896143901,"GF at 80% with PBO"
2022,1544.8888105408,1675.45806506834,1428.81550468726,"GF at 80% with PBO"
2023,1574.65535792574,1722.63312391729,1460.32566348236,"GF at 80% with PBO"
2024,1604.58374208397,1720.12016726455,1481.77701861278,"GF at 80% with PBO"
2025,1628.72666520624,1760.3055850334,1514.86586365748,"GF at 80% with PBO"
2026,1648.93185397032,1769.97628742888,1472.87720107821,"GF at 80% with PBO"
2027,1651.2419883427,1764.55270495483,1532.52363367563,"GF at 80% with PBO"
2028,1660.70864255048,1770.9550488019,1545.60560773855,"GF at 80% with PBO"
2029,1679.52678535662,1796.53425703969,1508.94274540545,"GF at 80% with PBO"
2030,1690.3605997984,1825.08550989125,1564.50235651527,"GF at 80% with PBO"
2020,1110.66881018743,1319.79728706786,936.338546130833,"BAU"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF with PBO"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF at 80%"
2020,1110.66881018743,1319.79728706786,936.338546130833,"GF at 80% with PBO"
