"year","mean_burden","max_burden","min_burden","scenario"
2012,4.30856742705612,5.38204299968453,3.48125171135903,"to-present"
2013,3.88442296484244,5.10420042632342,3.15280375920663,"to-present"
2014,2.98517372616187,3.69671339823879,2.35933259647878,"to-present"
2015,2.62951558114803,3.43186297116605,2.26123396682231,"to-present"
2016,2.86491184618326,3.53925715147105,2.27620487233206,"to-present"
2017,2.69369946210529,3.38886275183929,1.92963377967759,"to-present"
2018,2.09288297338163,2.71384220272011,1.54782114121247,"to-present"
2019,2.69613381602435,3.31632625761365,2.04009790323497,"to-present"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"to-present"
2021,3.05571857665435,4.5373557024135,2.4749900369166,"BAU"
2022,3.1709556060139,3.62376707177493,2.39025206875068,"BAU"
2023,2.49077649949931,3.08949733216407,1.89723487484986,"BAU"
2024,3.31894286738293,4.06954080021673,2.45235569639873,"BAU"
2025,3.192020380558,3.73495682967518,2.49424954063683,"BAU"
2026,2.49397459359317,3.03976845603425,1.99894661902299,"BAU"
2027,3.20372768605566,4.34672922361059,2.43575348336631,"BAU"
2028,3.13356989590337,3.96532814851438,2.51605604325237,"BAU"
2029,2.41571726522147,2.884279426354,1.93939934836069,"BAU"
2030,3.18016884043242,3.7792051195792,2.6199077555559,"BAU"
2021,2.876580441069,3.64938086067826,2.32086167587172,"GF"
2022,3.01042326582119,3.57394108772345,2.49961944151566,"GF"
2023,2.27447247218718,3.25476222090561,1.68156687064746,"GF"
2024,2.93252362338281,3.39338409449143,2.24921543326192,"GF"
2025,2.91413841829506,3.37792176241582,2.26853008982972,"GF"
2026,2.31986041830817,2.89641648140526,1.80845671977569,"GF"
2027,2.96888191270762,4.2578846296528,2.26180697331399,"GF"
2028,2.93346297961364,3.51844170255265,2.41393110591162,"GF"
2029,2.31433191723251,2.78865147821724,1.59753285407527,"GF"
2030,2.96799843028715,3.57331698431793,2.20471493817814,"GF"
2021,2.94398664481759,3.66176981406511,2.3019175726249,"GF with PBO"
2022,2.83542569227243,3.58935601442287,2.27963897338185,"GF with PBO"
2023,2.22873348360126,3.27135009036398,1.52799145454347,"GF with PBO"
2024,2.92490101888304,3.49531355989187,2.25200204240096,"GF with PBO"
2025,2.9144400247242,3.67900945452858,2.06053669942884,"GF with PBO"
2026,2.19887523631935,2.84272429368683,1.66954833674523,"GF with PBO"
2027,2.75608773443309,3.73193149565718,2.07530375019699,"GF with PBO"
2028,2.85805081913675,3.45243065131999,2.40893249726816,"GF with PBO"
2029,2.23054866637518,2.58505389430185,1.58211532570716,"GF with PBO"
2030,2.95363343913587,3.55224252880446,2.2183228064971,"GF with PBO"
2021,2.30917575654532,2.8825358107154,1.6806348061943,"GF at 80%"
2022,2.27192003137549,2.86756475385232,1.78033583215809,"GF at 80%"
2023,1.75295247888775,2.2076713638782,1.24927121416082,"GF at 80%"
2024,2.21033886582223,2.7110294477856,1.50286559196139,"GF at 80%"
2025,2.33467423292343,3.1116477035421,1.58725309723286,"GF at 80%"
2026,1.79438175853874,2.47927217984668,1.21638546953763,"GF at 80%"
2027,2.26866744721288,2.83267077837798,1.73328195702644,"GF at 80%"
2028,2.3367707317038,3.38830669347778,1.71314546016898,"GF at 80%"
2029,1.7496344155205,2.45895027254207,1.34306650876785,"GF at 80%"
2030,2.37379452892688,3.15378096390753,1.73679234602927,"GF at 80%"
2021,2.26910292530021,3.01570316880733,1.69545470706825,"GF at 80% with PBO"
2022,2.2312359051373,2.57614478288839,1.7514591271075,"GF at 80% with PBO"
2023,1.65052326258925,2.16919271348922,1.13418810717509,"GF at 80% with PBO"
2024,2.14771660474647,2.72152017389428,1.40136132179138,"GF at 80% with PBO"
2025,2.34591833437886,3.09825159320932,1.57030131933651,"GF at 80% with PBO"
2026,1.66478399498087,2.35166898251287,1.24734045528225,"GF at 80% with PBO"
2027,2.2261625861983,2.67676745227543,1.70943195522913,"GF at 80% with PBO"
2028,2.24243688798742,2.92675811135953,1.63979173902127,"GF at 80% with PBO"
2029,1.72385472570647,2.35620225124398,1.21496891022741,"GF at 80% with PBO"
2030,2.34520663197457,2.76156188599006,1.77723740513086,"GF at 80% with PBO"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"BAU"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"GF"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"GF with PBO"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"GF at 80%"
2020,2.22312325402718,3.1124543643002,1.59002727322592,"GF at 80% with PBO"
