"year","mean_burden","max_burden","min_burden","scenario"
2012,4.49059652555419,6.28029044393821,3.6765480717533,"to-present"
2013,3.9036357942863,5.16040667048171,2.91058105682541,"to-present"
2014,3.2615117962935,4.08275762290774,2.43298480092511,"to-present"
2015,2.59308941204993,3.66424148258335,2.03304833367056,"to-present"
2016,3.008917510507,4.04204173205277,2.44637582568039,"to-present"
2017,3.0940361915238,3.90560372551832,1.7233544359177,"to-present"
2018,2.18323615820939,2.78162659732192,1.45430289870845,"to-present"
2019,2.89633616831215,3.7631049674355,2.03769409790478,"to-present"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"to-present"
2021,3.24484843898064,4.36007997319109,2.26879043631638,"BAU"
2022,3.64792263538336,4.60249799789401,2.81210559765982,"BAU"
2023,2.6531411493372,3.35723112245918,1.9087401350666,"BAU"
2024,3.48044868706491,4.82465471303422,2.4342656505651,"BAU"
2025,3.49794880177816,4.79762768132685,2.71214326224693,"BAU"
2026,2.69397334168818,3.32887932233839,1.89659464033338,"BAU"
2027,3.57197566980922,4.44194704346719,2.81823477884935,"BAU"
2028,3.59012058242411,4.36177397197513,2.79554409791356,"BAU"
2029,2.66443586983589,3.65289150807639,1.8412841638657,"BAU"
2030,3.3779929485899,4.22511713067592,2.13905443671931,"BAU"
2021,3.10250365820668,4.03907734550385,2.12555265535888,"GF"
2022,3.4815799836512,4.6381123053589,2.67603111493197,"GF"
2023,2.33423870462009,3.20766695560558,1.36781290817893,"GF"
2024,3.2999364564157,4.46915596320493,2.53814612549998,"GF"
2025,3.22647707982985,4.00806797898619,2.58937107372071,"GF"
2026,2.34582108353775,2.85616395484614,1.63925001768837,"GF"
2027,3.18301884165573,4.72278489239882,2.66947899530077,"GF"
2028,3.35143274619172,4.17263740643633,2.36502440630494,"GF"
2029,2.38574611196101,3.16057580549552,1.76297972275025,"GF"
2030,3.254729784628,4.05684976514284,2.38389781532103,"GF"
2021,3.10250367006493,4.03907737502618,2.12555267206128,"GF with PBO"
2022,3.48157998464811,4.6381123506546,2.67603109418959,"GF with PBO"
2023,2.33423871396255,3.2076670405765,1.36781291087007,"GF with PBO"
2024,3.29993645433184,4.46915599261961,2.53814608953173,"GF with PBO"
2025,3.22647707566624,4.00806800540549,2.58937107640626,"GF with PBO"
2026,2.34582108825621,2.85616396284103,1.63925002633803,"GF with PBO"
2027,3.18301884268673,4.72278490742987,2.66947895383279,"GF with PBO"
2028,3.35143274778758,4.17263737512845,2.36502437939896,"GF with PBO"
2029,2.38574610791732,3.16057581814735,1.76297973599982,"GF with PBO"
2030,3.25472979014905,4.05684974336143,2.38389780977982,"GF with PBO"
2021,2.44993103251881,3.1466489723418,1.69066429189554,"GF at 80%"
2022,2.67185820961591,3.74359061331272,1.90801397359783,"GF at 80%"
2023,1.87759462332427,2.32960669245916,1.31045892252535,"GF at 80%"
2024,2.42446966819015,3.23724245370293,1.58244871496295,"GF at 80%"
2025,2.63724314416217,3.67138089327918,1.90006244416287,"GF at 80%"
2026,1.7995084224272,2.43595111619415,1.14238227655332,"GF at 80%"
2027,2.52678463610891,3.60906724726834,2.04788992796232,"GF at 80%"
2028,2.55845524299009,3.36237815543425,1.88925968669661,"GF at 80%"
2029,1.75017606523644,2.2733606354022,1.0366195008026,"GF at 80%"
2030,2.58290203395265,3.27116803442878,1.66609625167693,"GF at 80%"
2021,2.45398453956258,3.1478787958023,1.69507043879581,"GF at 80% with PBO"
2022,2.67185820961591,3.74359061331272,1.90801397359783,"GF at 80% with PBO"
2023,1.87759462332427,2.32960669245916,1.31045892252535,"GF at 80% with PBO"
2024,2.42446966819015,3.23724245370293,1.58244871496295,"GF at 80% with PBO"
2025,2.63724314416217,3.67138089327918,1.90006244416287,"GF at 80% with PBO"
2026,1.7995084224272,2.43595111619415,1.14238227655332,"GF at 80% with PBO"
2027,2.52678463610891,3.60906724726834,2.04788992796232,"GF at 80% with PBO"
2028,2.55845524299009,3.36237815543425,1.88925968669661,"GF at 80% with PBO"
2029,1.75017606523644,2.2733606354022,1.0366195008026,"GF at 80% with PBO"
2030,2.58290203395265,3.27116803442878,1.66609625167693,"GF at 80% with PBO"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"BAU"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"GF"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"GF with PBO"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"GF at 80%"
2020,2.51698616794779,3.2789019582096,1.67857623790032,"GF at 80% with PBO"
