"year","mean_burden","max_burden","min_burden","scenario"
2012,4.19032987333971,5.42579181281609,3.37668931198728,"to-present"
2013,3.70763143524258,4.63936801120159,2.62522147600126,"to-present"
2014,3.00980332282621,3.52682426691565,2.27722295038558,"to-present"
2015,2.38340302071826,2.97533707286635,1.84903671312523,"to-present"
2016,2.72068851409431,3.40329520388122,2.34269430605136,"to-present"
2017,2.69507847166762,3.5211916023616,1.71506419995787,"to-present"
2018,1.9703362612178,2.43610789140222,1.20603317102562,"to-present"
2019,2.66020579188626,3.61108128918288,2.13348546959889,"to-present"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"to-present"
2021,2.72307086261595,3.34126017698592,2.23244679882777,"BAU"
2022,3.09570222553821,3.78058788919874,2.45968188691051,"BAU"
2023,2.17865970909006,2.75741488058014,1.47985794923346,"BAU"
2024,3.03894295648086,3.57025360442581,2.40532031348088,"BAU"
2025,3.0899581354745,3.78884027887248,2.49873095180109,"BAU"
2026,2.21331813249231,2.69033773438455,1.66583413079235,"BAU"
2027,2.99408294411184,3.96160668736935,2.08382558611954,"BAU"
2028,3.01972096254258,3.84263629155898,2.14514488695822,"BAU"
2029,2.39905378371775,3.13662611511409,1.83250782925711,"BAU"
2030,3.03418750767965,4.51601801965006,2.37932738616711,"BAU"
2021,2.33087772953036,2.93555366867883,1.9212017683609,"GF"
2022,2.46764021382967,3.26208572355194,1.67080727199558,"GF"
2023,2.02225763150193,2.72169793902007,1.5125180661158,"GF"
2024,2.36325063921346,2.79968097163889,1.83091878318442,"GF"
2025,2.63036622871222,3.51465867775118,2.03009703552381,"GF"
2026,2.03791718061617,2.69950943345245,1.47325482709325,"GF"
2027,2.54424352598771,3.55484224369227,1.91373178378864,"GF"
2028,2.68032154541487,3.37545395703843,2.09089061558055,"GF"
2029,1.9560480421192,2.33611141132907,1.67942252740211,"GF"
2030,2.52357073984483,3.20709899797446,2.02998442989518,"GF"
2021,2.24510366097353,2.7291511180029,1.80997284217032,"GF with PBO"
2022,2.46272588063867,3.44862444762933,1.79532175740121,"GF with PBO"
2023,1.93832902773172,2.46631196349902,1.51474612123,"GF with PBO"
2024,2.34729450683576,2.8932383822403,1.99846052316506,"GF with PBO"
2025,2.5335297968662,3.5107187177726,1.9369524648098,"GF with PBO"
2026,2.04015599121785,2.59349097372003,1.40702781081205,"GF with PBO"
2027,2.56644332203725,3.49574219230313,1.6320083619913,"GF with PBO"
2028,2.57105707000224,3.23482924901073,2.05030970711927,"GF with PBO"
2029,2.01159832158951,2.48177881062774,1.53402587163725,"GF with PBO"
2030,2.43610035818084,3.10870533928114,1.96238357908206,"GF with PBO"
2021,2.20555861110251,2.50368199709868,1.52342646787053,"GF at 80%"
2022,2.16347804484146,2.829371777881,1.65750537820893,"GF at 80%"
2023,1.64468027897804,2.20277695828259,1.26722910218611,"GF at 80%"
2024,2.11627345082892,2.71386103564841,1.6469478341835,"GF at 80%"
2025,2.18891782827916,2.90659851782251,1.63229746948177,"GF at 80%"
2026,1.64718367594141,2.08822844482182,1.07191859836662,"GF at 80%"
2027,2.1692200828422,2.64067887620816,1.57460098745127,"GF at 80%"
2028,2.22409469884584,2.93668592273866,1.57701044903675,"GF at 80%"
2029,1.69703950067449,2.48685975933192,1.19495726268434,"GF at 80%"
2030,2.19588697450579,2.83633262469261,1.64409346550921,"GF at 80%"
2021,2.17217163881558,2.9006489069183,1.68320414993812,"GF at 80% with PBO"
2022,2.15430415927017,2.74336933227569,1.63717506815521,"GF at 80% with PBO"
2023,1.6848742492716,2.27221086272217,1.24492901963536,"GF at 80% with PBO"
2024,2.05544376894195,2.84315545066131,1.6533977904743,"GF at 80% with PBO"
2025,2.27609512218125,3.24961183142053,1.66523492916652,"GF at 80% with PBO"
2026,1.63265604472454,2.16523883655297,1.22886037410403,"GF at 80% with PBO"
2027,2.12441006312775,2.67972290382793,1.4867879350008,"GF at 80% with PBO"
2028,2.21888670233879,2.8729328503625,1.69819240158988,"GF at 80% with PBO"
2029,1.64412786474964,2.05036755121826,1.26440404385986,"GF at 80% with PBO"
2030,2.20531695905491,3.09931381970115,1.66024546161889,"GF at 80% with PBO"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"BAU"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF with PBO"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF at 80%"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF at 80% with PBO"
