"year","mean_burden","max_burden","min_burden","scenario"
2012,9.43839731537277,13.8654503879065,4.2285602895988,"to-present"
2013,8.06031532986802,12.4640280287574,4.65587547239099,"to-present"
2014,5.9367402864044,9.15411026825261,3.59532667209737,"to-present"
2015,6.24553728788783,10.6716247588269,2.56845835952146,"to-present"
2016,5.10965200283383,8.42854125738563,2.68329909710452,"to-present"
2017,4.68780413733417,7.54087139087023,1.92947984956083,"to-present"
2018,4.05597389974963,7.78367541640714,1.89361856033287,"to-present"
2019,5.16382383234108,9.05484613429751,2.57642156514173,"to-present"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"to-present"
2021,5.90162531342476,9.0701919060416,3.0080229429301,"BAU"
2022,5.12745265332194,9.88338279992557,3.3384398966779,"BAU"
2023,4.85329653121225,7.75289798547812,2.94924174264987,"BAU"
2024,5.35600584219152,8.26993519200695,2.48645506607229,"BAU"
2025,5.12319845866145,7.66522678773499,2.51280300420021,"BAU"
2026,5.07615474144523,8.61752108166111,2.65163283761771,"BAU"
2027,5.43004385972348,9.03837924638944,3.38219603732027,"BAU"
2028,5.30738760771209,8.94943961985628,2.31500932351356,"BAU"
2029,4.50046437423713,7.45227340649881,2.21847085133731,"BAU"
2030,5.90609267747175,8.59900037895427,3.3212334979474,"BAU"
2021,4.80970628208945,7.74725067408044,2.34956372069224,"GF"
2022,4.92525438766138,7.18400024528284,2.51226027234942,"GF"
2023,4.6627164344296,7.64529339756567,2.3501770935557,"GF"
2024,4.46814052959836,7.37128899590251,1.66669557659766,"GF"
2025,4.33215663395062,6.50072042042339,1.9699151907303,"GF"
2026,4.8845498190632,8.29547515424545,2.02409112412793,"GF"
2027,4.10660437457936,6.99537038878029,1.84154642148022,"GF"
2028,4.73840033243909,7.63113626264581,2.07012871747564,"GF"
2029,4.65564943751569,8.10060537183724,2.44757142697357,"GF"
2030,4.94716394602937,8.00732423310663,2.35110118359443,"GF"
2021,5.26972047619624,8.74162976493773,2.26421956599927,"GF with PBO"
2022,4.46189970997969,9.39832762572524,2.2652838454935,"GF with PBO"
2023,4.417807257051,6.92969967803339,1.88116187028298,"GF with PBO"
2024,4.67596540461045,8.73037964910897,1.72572081030793,"GF with PBO"
2025,4.45197744039427,8.33054926408883,1.90108852824564,"GF with PBO"
2026,4.95442703853013,8.20783655117421,2.53260748591804,"GF with PBO"
2027,4.7444924799733,7.17182404190435,3.35330386106196,"GF with PBO"
2028,4.67911047376174,7.69344503002192,2.91293350797517,"GF with PBO"
2029,4.24944035991261,6.97413063239143,1.64880167716375,"GF with PBO"
2030,4.97785983394121,7.7116021429123,2.10802264851528,"GF with PBO"
2021,4.21909193456198,7.39819990133556,1.37964479638822,"GF at 80%"
2022,4.20077571203862,7.06055322780395,2.06821337010155,"GF at 80%"
2023,4.07928285661886,6.27147671191427,1.46516815275389,"GF at 80%"
2024,4.44948221445947,6.83241019326834,2.7996332525001,"GF at 80%"
2025,4.40331056061092,8.02852634857788,2.08844655696251,"GF at 80%"
2026,3.7823073302988,7.02590366428014,1.81988911458899,"GF at 80%"
2027,4.30023418222978,5.91877934138759,2.58431705480016,"GF at 80%"
2028,4.23028578731232,7.48695632274207,1.82898781334398,"GF at 80%"
2029,4.46495860055167,8.74116559740382,2.48878202458502,"GF at 80%"
2030,4.26492243213038,7.34168849029692,1.91409503366271,"GF at 80%"
2021,4.50875138115825,6.90782244333509,2.90976803609816,"GF at 80% with PBO"
2022,3.96857453710221,6.80793735207531,1.74636198177747,"GF at 80% with PBO"
2023,4.71669105983415,8.08535726622007,1.94227226499506,"GF at 80% with PBO"
2024,4.27244783080416,7.3213152940416,1.76398117682735,"GF at 80% with PBO"
2025,4.0949485920764,7.1151236076271,2.09070576728894,"GF at 80% with PBO"
2026,4.34426413272597,6.82560503126092,1.82168542472559,"GF at 80% with PBO"
2027,4.21939000163581,6.82695672515993,2.17865762546009,"GF at 80% with PBO"
2028,4.09171803788294,6.40662758598609,2.24498134235717,"GF at 80% with PBO"
2029,4.54768358593544,7.8778500920749,1.93976514890523,"GF at 80% with PBO"
2030,4.06978137618648,6.36371545107052,1.615788381931,"GF at 80% with PBO"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"BAU"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"GF"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"GF with PBO"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"GF at 80%"
2020,3.7396844942575,6.62273237802324,1.41398730210742,"GF at 80% with PBO"
