"year","mean_burden","max_burden","min_burden","scenario"
2012,4.19032987333971,5.42579181281609,3.37668931198728,"to-present"
2013,3.70763143524258,4.63936801120159,2.62522147600126,"to-present"
2014,3.00980332282621,3.52682426691565,2.27722295038558,"to-present"
2015,2.38340302071826,2.97533707286635,1.84903671312523,"to-present"
2016,2.72068851409431,3.40329520388122,2.34269430605136,"to-present"
2017,2.69507847166762,3.5211916023616,1.71506419995787,"to-present"
2018,1.9703362612178,2.43610789140222,1.20603317102562,"to-present"
2019,2.66020579188626,3.61108128918288,2.13348546959889,"to-present"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"to-present"
2021,2.72307086261595,3.34126017698592,2.23244679882777,"BAU"
2022,3.09570222553821,3.78058788919874,2.45968188691051,"BAU"
2023,2.17865970909006,2.75741488058014,1.47985794923346,"BAU"
2024,3.03894295648086,3.57025360442581,2.40532031348088,"BAU"
2025,3.0899581354745,3.78884027887248,2.49873095180109,"BAU"
2026,2.21331813249231,2.69033773438455,1.66583413079235,"BAU"
2027,2.99408294411184,3.96160668736935,2.08382558611954,"BAU"
2028,3.01972096254258,3.84263629155898,2.14514488695822,"BAU"
2029,2.39905378371775,3.13662611511409,1.83250782925711,"BAU"
2030,3.03418750767965,4.51601801965006,2.37932738616711,"BAU"
2021,2.60619235891134,3.10238331142491,1.82221200281471,"GF"
2022,2.74353509485276,3.10806480172851,2.18381658332041,"GF"
2023,2.03136784995533,2.6418357522481,1.65816940913006,"GF"
2024,2.79313457284053,3.26529563029997,2.29158585131553,"GF"
2025,2.8922218587797,3.46062713436438,2.11384742192943,"GF"
2026,2.16424060491545,2.58397693556467,1.47814438441854,"GF"
2027,2.76303018843474,3.47573318647839,2.17046177184097,"GF"
2028,2.87062055605528,3.39809397509258,2.3089612885574,"GF"
2029,2.1859626810506,2.7184143133367,1.6257963616416,"GF"
2030,2.79067991368093,3.30780255329499,1.95479589923325,"GF"
2021,2.56221677811038,3.10936830776705,1.80449229039882,"GF with PBO"
2022,2.76030026607574,3.18991327170231,2.2922071684149,"GF with PBO"
2023,2.06720103800702,2.81785719445668,1.63752810119806,"GF with PBO"
2024,2.75875254639838,3.39672348265642,2.28414671887452,"GF with PBO"
2025,2.75801550414505,3.44140468206605,2.02947690087467,"GF with PBO"
2026,2.15089727141212,2.73186032428244,1.55356131008725,"GF with PBO"
2027,2.71481651489453,3.56036172205877,2.1865296939318,"GF with PBO"
2028,2.84615028393265,3.56860722203686,2.22933950053178,"GF with PBO"
2029,2.15050327592896,2.81977967254747,1.64793365379841,"GF with PBO"
2030,2.78067649886584,3.3705731265061,2.15071912926533,"GF with PBO"
2021,2.20555861110251,2.50368199709868,1.52342646787053,"GF at 80%"
2022,2.16347804484146,2.829371777881,1.65750537820893,"GF at 80%"
2023,1.64468027897804,2.20277695828259,1.26722910218611,"GF at 80%"
2024,2.11627345082892,2.71386103564841,1.6469478341835,"GF at 80%"
2025,2.18891782827916,2.90659851782251,1.63229746948177,"GF at 80%"
2026,1.64718367594141,2.08822844482182,1.07191859836662,"GF at 80%"
2027,2.1692200828422,2.64067887620816,1.57460098745127,"GF at 80%"
2028,2.22409469884584,2.93668592273866,1.57701044903675,"GF at 80%"
2029,1.69703950067449,2.48685975933192,1.19495726268434,"GF at 80%"
2030,2.19588697450579,2.83633262469261,1.64409346550921,"GF at 80%"
2021,2.17217163881558,2.9006489069183,1.68320414993812,"GF at 80% with PBO"
2022,2.15430415927017,2.74336933227569,1.63717506815521,"GF at 80% with PBO"
2023,1.6848742492716,2.27221086272217,1.24492901963536,"GF at 80% with PBO"
2024,2.05544376894195,2.84315545066131,1.6533977904743,"GF at 80% with PBO"
2025,2.27609512218125,3.24961183142053,1.66523492916652,"GF at 80% with PBO"
2026,1.63265604472454,2.16523883655297,1.22886037410403,"GF at 80% with PBO"
2027,2.12441006312775,2.67972290382793,1.4867879350008,"GF at 80% with PBO"
2028,2.21888670233879,2.8729328503625,1.69819240158988,"GF at 80% with PBO"
2029,1.64412786474964,2.05036755121826,1.26440404385986,"GF at 80% with PBO"
2030,2.20531695905491,3.09931381970115,1.66024546161889,"GF at 80% with PBO"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"BAU"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF with PBO"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF at 80%"
2020,2.1282430399107,2.65416501936362,1.29267458118303,"GF at 80% with PBO"
