"year","mean_burden","max_burden","min_burden","scenario"
2012,1.11998793018355,1.30260841636708,0.94330877265919,"to-present"
2013,1.04500532369974,1.29505603731407,0.905254800448643,"to-present"
2014,0.861027555350057,0.996449389802327,0.738055069908124,"to-present"
2015,0.742898482223173,0.868164772988756,0.663689268513096,"to-present"
2016,0.833012846998709,0.96037520855053,0.722250310358376,"to-present"
2017,0.808452384430512,0.998955968217399,0.676088988617402,"to-present"
2018,0.631508059226589,0.74864572063086,0.503931774761099,"to-present"
2019,0.795004275682253,0.926634197382686,0.647770932050835,"to-present"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"to-present"
2021,0.890878394461694,1.25237594787494,0.752581009205249,"BAU"
2022,0.945281562132949,1.04461039709949,0.785939067488741,"BAU"
2023,0.764779267832538,0.847816741709296,0.621336531847097,"BAU"
2024,0.965883099496941,1.1078448169882,0.715737568690777,"BAU"
2025,0.972322286664746,1.11938775575983,0.822421184561521,"BAU"
2026,0.747274255124829,0.839346429994705,0.651250389559817,"BAU"
2027,0.935940862180347,1.11080629820915,0.81147171909633,"BAU"
2028,0.925944075306236,1.07295630997063,0.690256002397183,"BAU"
2029,0.739327961897003,0.861933763792638,0.634233488563582,"BAU"
2030,0.945168520444409,1.12618263148712,0.751128566378689,"BAU"
2021,0.787506247493364,0.894756395224299,0.654758651801119,"GF"
2022,0.818566657869932,0.959616275729753,0.677522752235458,"GF"
2023,0.682928906426997,0.820740454537694,0.54850599829774,"GF"
2024,0.828638784240415,0.98536527755798,0.669058238991735,"GF"
2025,0.818256736260578,0.950240537434965,0.705120554827901,"GF"
2026,0.649168822290462,0.766315100061642,0.565423753685834,"GF"
2027,0.81112994021769,1.01802828017273,0.668625399683053,"GF"
2028,0.860920361870382,1.02975735698042,0.699646966532054,"GF"
2029,0.671317612419348,0.835852977216659,0.528660588374255,"GF"
2030,0.853648843609865,1.037024708264,0.686774250292919,"GF"
2021,0.775661144975955,0.891905466051035,0.666608510865479,"GF with PBO"
2022,0.799542994544888,0.914168292128258,0.683300581296376,"GF with PBO"
2023,0.657860166787411,0.78824806455258,0.559531014655876,"GF with PBO"
2024,0.800232531709768,0.895068698496842,0.668936266647945,"GF with PBO"
2025,0.80224865502969,0.952934694395084,0.712746468361312,"GF with PBO"
2026,0.642279694725724,0.78230911488447,0.541473230047188,"GF with PBO"
2027,0.792508353981261,0.917720230255588,0.647130450022161,"GF with PBO"
2028,0.847750631331041,1.00762613688242,0.754477819927916,"GF with PBO"
2029,0.660592853407079,0.75080944566131,0.484930996339637,"GF with PBO"
2030,0.844657854551584,0.998982863536592,0.678143541567299,"GF with PBO"
2021,0.67413713201065,0.808093528008874,0.499406202065867,"GF at 80%"
2022,0.689691816823068,0.871991847345326,0.556814181310625,"GF at 80%"
2023,0.539924887845173,0.633618353262711,0.392052927439887,"GF at 80%"
2024,0.65948533246469,0.824990276138832,0.527479491676513,"GF at 80%"
2025,0.691031792746297,0.856653866948475,0.530413323923451,"GF at 80%"
2026,0.551686112514706,0.706278602053945,0.44096587345973,"GF at 80%"
2027,0.680204714883552,0.816860699158156,0.585395821068435,"GF at 80%"
2028,0.718531790168504,0.884638472582202,0.554681209977524,"GF at 80%"
2029,0.540300682178694,0.688435925595075,0.44479456844451,"GF at 80%"
2030,0.706617340201749,0.897469004712851,0.536223577805574,"GF at 80%"
2021,0.657502280058473,0.814696118017091,0.511459918521104,"GF at 80% with PBO"
2022,0.669974023022763,0.772884197892135,0.528237771736217,"GF at 80% with PBO"
2023,0.497842202839221,0.641553447562052,0.383759545105424,"GF at 80% with PBO"
2024,0.637434321790115,0.817816883501886,0.446970659140277,"GF at 80% with PBO"
2025,0.685840488740442,0.846294167273527,0.516758960419386,"GF at 80% with PBO"
2026,0.518108084395943,0.636617108822894,0.41773565660338,"GF at 80% with PBO"
2027,0.676821999900638,0.819993574222413,0.582000450267151,"GF at 80% with PBO"
2028,0.693508601567704,0.83931068411853,0.513628613909893,"GF at 80% with PBO"
2029,0.54421044505885,0.639433416649811,0.429262153497353,"GF at 80% with PBO"
2030,0.699948861159473,0.831363428933509,0.597850596079209,"GF at 80% with PBO"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"BAU"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"GF"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"GF with PBO"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"GF at 80%"
2020,0.677517379247958,0.817986202202197,0.527701249290654,"GF at 80% with PBO"
