"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.475818865614173,0.524358429837678,0.439850866692231,"to-present"
1,2013,"2013-01-01",0.448246751889635,0.490787287344019,0.391688413458307,"to-present"
1,2014,"2014-01-01",0.431395173275963,0.476108667443934,0.371922442667131,"to-present"
1,2015,"2015-01-01",0.35934638004385,0.412916670738438,0.29858413458663,"to-present"
1,2016,"2016-01-01",0.376801804504437,0.406308157506827,0.328869236722288,"to-present"
1,2017,"2017-01-01",0.367266221667155,0.411049529375575,0.308835434248631,"to-present"
1,2018,"2018-01-01",0.257229773945384,0.305318616830996,0.208066730494052,"to-present"
1,2019,"2019-01-01",0.346278284393197,0.384329069886898,0.296402641506477,"to-present"
1,2020,"2020-01-01",0.251499263634572,0.29810482285761,0.202371717665259,"to-present"
2,2012,"2012-02-01",0.444912667405216,0.477003483016305,0.403027165102662,"to-present"
2,2013,"2013-02-01",0.42772035833262,0.473785083639574,0.368751512336015,"to-present"
2,2014,"2014-02-01",0.407056450690705,0.444159798136433,0.36331927709482,"to-present"
2,2015,"2015-02-01",0.334441553905263,0.380186207129126,0.291087789122793,"to-present"
2,2016,"2016-02-01",0.348541303436417,0.396019552060334,0.282691056230772,"to-present"
2,2017,"2017-02-01",0.35217650138528,0.393459841878182,0.305744036308875,"to-present"
2,2018,"2018-02-01",0.236739034860885,0.28685846250589,0.181718866869282,"to-present"
2,2019,"2019-02-01",0.336429972979362,0.370791306257528,0.279615478269474,"to-present"
2,2020,"2020-02-01",0.214469754015038,0.260821526403906,0.159011274264819,"to-present"
3,2012,"2012-03-01",0.411364017068418,0.456138035470864,0.35814628598626,"to-present"
3,2013,"2013-03-01",0.394090168122039,0.431658764004486,0.356639385293993,"to-present"
3,2014,"2014-03-01",0.37348951083675,0.413784793926316,0.314936178862082,"to-present"
3,2015,"2015-03-01",0.301318976373175,0.36463878981275,0.259781941757772,"to-present"
3,2016,"2016-03-01",0.317594331560376,0.373086592831835,0.252435307595847,"to-present"
3,2017,"2017-03-01",0.32233624603805,0.367203758243131,0.259628357127847,"to-present"
3,2018,"2018-03-01",0.212918528933205,0.264998565594664,0.171782616003591,"to-present"
3,2019,"2019-03-01",0.302424990974374,0.337080072299113,0.235156413279464,"to-present"
3,2020,"2020-03-01",0.173227266670928,0.213071312505129,0.127661726676211,"to-present"
4,2012,"2012-04-01",0.425112486776181,0.466795885092426,0.346237337708435,"to-present"
4,2013,"2013-04-01",0.402723093936835,0.439279152932145,0.357717737790387,"to-present"
4,2014,"2014-04-01",0.387904126304412,0.435345688693644,0.307097489482424,"to-present"
4,2015,"2015-04-01",0.321204837599494,0.368605201078067,0.268715918727875,"to-present"
4,2016,"2016-04-01",0.332576406337545,0.369055991626311,0.270032093558031,"to-present"
4,2017,"2017-04-01",0.337617137599368,0.386077131536197,0.274158336142424,"to-present"
4,2018,"2018-04-01",0.244489795247231,0.299484271021248,0.19202395781287,"to-present"
4,2019,"2019-04-01",0.321619004823635,0.362541002717791,0.27217100508783,"to-present"
4,2020,"2020-04-01",0.204321962091953,0.263734942207841,0.158252486863343,"to-present"
5,2012,"2012-05-01",0.444945758670631,0.487832400982221,0.369234400431737,"to-present"
5,2013,"2013-05-01",0.424596947631116,0.463952403794424,0.36442958675991,"to-present"
5,2014,"2014-05-01",0.401977208524117,0.45176663598372,0.339186630244146,"to-present"
5,2015,"2015-05-01",0.337813976060741,0.382524206414416,0.286102092088765,"to-present"
5,2016,"2016-05-01",0.325737718359898,0.357952979820933,0.249871728496289,"to-present"
5,2017,"2017-05-01",0.315117354257048,0.360548011706759,0.252158192459439,"to-present"
5,2018,"2018-05-01",0.244921240166997,0.306898147302994,0.174663302335428,"to-present"
5,2019,"2019-05-01",0.309552020470664,0.358778257857991,0.259525586726657,"to-present"
5,2020,"2020-05-01",0.205115987806592,0.246559227039835,0.166447078635255,"to-present"
6,2012,"2012-06-01",0.457524863205822,0.508337707517453,0.385357813656208,"to-present"
