"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",354.428988177895,397.832080243876,316.960930661121,"to-present"
1,2013,"2013-01-01",394.543742527759,461.097678019914,339.218112313585,"to-present"
1,2014,"2014-01-01",408.811832149854,461.101961830532,352.197246370989,"to-present"
1,2015,"2015-01-01",374.245319501241,426.76016535563,324.592753111485,"to-present"
1,2016,"2016-01-01",441.980466426869,481.949061925416,399.645305412477,"to-present"
1,2017,"2017-01-01",485.071915519179,550.096547893634,436.419105212246,"to-present"
1,2018,"2018-01-01",309.763689352257,369.806460125253,258.556564128362,"to-present"
1,2019,"2019-01-01",460.214198060558,521.847849995158,378.570345045014,"to-present"
1,2020,"2020-01-01",290.858439275744,364.7686424135,226.512279696476,"to-present"
2,2012,"2012-02-01",366.975716290114,420.524327249915,318.500472538361,"to-present"
2,2013,"2013-02-01",375.890136418248,421.075770253903,343.388993257676,"to-present"
2,2014,"2014-02-01",390.531192159902,475.656465260901,323.162196366342,"to-present"
2,2015,"2015-02-01",356.188912555561,418.139750400201,299.253304654922,"to-present"
2,2016,"2016-02-01",415.736787822078,502.037619309093,374.507922346845,"to-present"
2,2017,"2017-02-01",428.143664073133,498.75927656409,374.747311770765,"to-present"
2,2018,"2018-02-01",279.210457021735,325.689353931779,238.451405880074,"to-present"
2,2019,"2019-02-01",423.818862586858,478.210011967585,340.897048479068,"to-present"
2,2020,"2020-02-01",235.964855967639,295.979142505952,181.647229680895,"to-present"
3,2012,"2012-03-01",328.529987358384,389.543857461014,278.896879604921,"to-present"
3,2013,"2013-03-01",339.874054507756,392.586384270261,283.27355416161,"to-present"
3,2014,"2014-03-01",351.044160029388,400.49677686478,301.608003195899,"to-present"
3,2015,"2015-03-01",303.028897817054,350.579288690764,253.296068996884,"to-present"
3,2016,"2016-03-01",368.141937578124,424.351353463624,313.108870239415,"to-present"
3,2017,"2017-03-01",383.552721212731,459.420718536622,325.487041789804,"to-present"
3,2018,"2018-03-01",248.287594890471,335.277234600193,193.646699056264,"to-present"
3,2019,"2019-03-01",368.822858622077,444.910307449738,307.048892300951,"to-present"
3,2020,"2020-03-01",196.471947330085,257.139872360721,140.368082787392,"to-present"
4,2012,"2012-04-01",400.390429102264,457.021175157824,343.219887115962,"to-present"
4,2013,"2013-04-01",411.272725937915,485.094066935512,342.199419069352,"to-present"
4,2014,"2014-04-01",425.893228989138,503.640929351184,352.931279359052,"to-present"
4,2015,"2015-04-01",403.703455465666,442.697009435144,329.459702727987,"to-present"
4,2016,"2016-04-01",456.19784664381,509.101543899906,392.540360821643,"to-present"
4,2017,"2017-04-01",466.180078243075,533.638054630633,374.674612010812,"to-present"
4,2018,"2018-04-01",367.634316953803,424.344387148093,280.059433704877,"to-present"
4,2019,"2019-04-01",457.668675625404,519.377056455141,413.834437112182,"to-present"
4,2020,"2020-04-01",310.824208562192,405.461146694552,224.796768749397,"to-present"
5,2012,"2012-05-01",382.808808598822,449.706177525638,324.745649877584,"to-present"
5,2013,"2013-05-01",403.17681484499,447.34021067919,346.597986988354,"to-present"
5,2014,"2014-05-01",421.593399128341,474.941530521903,371.47151217365,"to-present"
5,2015,"2015-05-01",398.275927398979,463.98592197797,320.538568630924,"to-present"
5,2016,"2016-05-01",404.817678967828,479.192667477394,324.542636624756,"to-present"
5,2017,"2017-05-01",374.578554070779,445.232728460977,286.096833493193,"to-present"
5,2018,"2018-05-01",306.734800492182,406.735337133494,221.412011999375,"to-present"
5,2019,"2019-05-01",372.539939891345,448.286566828897,294.413807855726,"to-present"
5,2020,"2020-05-01",260.930869607379,311.558021788801,193.624951742833,"to-present"
6,2012,"2012-06-01",402.628818869512,451.750336582073,336.1122456792,"to-present"
6,2013,"2013-06-01",419.623767587354,487.233217413875,360.807425506286,"to-present"
6,2014,"2014-06-01",442.567130303004,486.311476309697,391.025530551685,"to-present"
6,2015,"2015-06-01",430.250815586211,498.770226558734,373.473340043784,"to-present"
6,2016,"2016-06-01",385.428376465002,464.714274306139,328.144275636461,"to-present"
6,2017,"2017-06-01",326.129738082709,389.545843437273,248.539930979006,"to-present"
6,2018,"2018-06-01",282.155924006999,341.946970775057,213.045029241046,"to-present"
6,2019,"2019-06-01",294.139985345173,387.739018982309,217.084965019241,"to-present"
6,2020,"2020-06-01",258.515151023463,348.739910744215,180.922299179335,"to-present"
7,2012,"2012-07-01",320.792709950764,380.089634704503,277.912001851521,"to-present"
7,2013,"2013-07-01",338.515589694098,382.650933242922,260.127550578601,"to-present"
7,2014,"2014-07-01",353.329007207676,400.16793223538,307.162761007981,"to-present"
7,2015,"2015-07-01",327.306256991741,382.894901105548,278.980800659838,"to-present"
7,2016,"2016-07-01",294.296700097483,357.753590650749,236.843480798281,"to-present"
7,2017,"2017-07-01",247.250357737157,315.353222160951,186.314306452656,"to-present"
7,2018,"2018-07-01",217.205170632878,288.394976980036,170.565760560818,"to-present"
7,2019,"2019-07-01",217.522630386529,273.72557328397,161.459926495291,"to-present"
7,2020,"2020-07-01",179.244113458179,233.472840890756,122.017071333157,"to-present"
8,2012,"2012-08-01",282.170886883076,351.355253058461,231.492660523366,"to-present"
8,2013,"2013-08-01",290.012814075422,350.952620177133,253.370481271177,"to-present"
8,2014,"2014-08-01",258.09166182937,313.725504092155,197.17533154295,"to-present"
8,2015,"2015-08-01",273.565907326145,319.488367640992,219.228332933494,"to-present"
8,2016,"2016-08-01",250.227233188115,307.258029480642,182.569191291752,"to-present"
8,2017,"2017-08-01",219.842150531119,305.273417914263,155.294709849917,"to-present"
8,2018,"2018-08-01",182.715255458908,250.049500302613,125.785077800588,"to-present"
8,2019,"2019-08-01",172.331066339153,261.534818042171,115.015017658371,"to-present"
8,2020,"2020-08-01",150.057957888861,197.422070374521,96.3264884249063,"to-present"
9,2012,"2012-09-01",347.9571677243,430.733082447463,294.456450940776,"to-present"
9,2013,"2013-09-01",358.56904188298,419.947598116123,288.334837354068,"to-present"
9,2014,"2014-09-01",266.437916962576,324.994048622868,214.806601398555,"to-present"
9,2015,"2015-09-01",362.621279521203,458.75509156327,272.641147008688,"to-present"
9,2016,"2016-09-01",355.368599158288,423.38117168844,277.731582166949,"to-present"
9,2017,"2017-09-01",331.835174727449,435.643308846781,247.995215314876,"to-present"
9,2018,"2018-09-01",288.368402129924,387.757752819642,222.146757458802,"to-present"
9,2019,"2019-09-01",290.856459133066,385.730673019373,210.242530861856,"to-present"
9,2020,"2020-09-01",248.098815812306,333.066818786323,174.390525411095,"to-present"
10,2012,"2012-10-01",480.487598125718,518.216081022655,440.222891060143,"to-present"
10,2013,"2013-10-01",502.13631439391,582.109599415591,440.657346436153,"to-present"
10,2014,"2014-10-01",425.771133072844,506.307294568542,382.908638229982,"to-present"
10,2015,"2015-10-01",515.693311315352,583.909979195341,467.783237199131,"to-present"
10,2016,"2016-10-01",531.951150597208,621.146372674729,417.360205028647,"to-present"
10,2017,"2017-10-01",489.033531750078,549.440826869041,383.202971689744,"to-present"
10,2018,"2018-10-01",475.46913440892,547.406400814656,349.695054669957,"to-present"
10,2019,"2019-10-01",462.692960234196,543.968216006402,332.546748100947,"to-present"
10,2020,"2020-10-01",405.679829903255,493.907307534678,280.186440766514,"to-present"
11,2012,"2012-11-01",433.703125671465,489.555314829771,374.068912845846,"to-present"
11,2013,"2013-11-01",458.146704832365,495.460056930155,401.290607807663,"to-present"
11,2014,"2014-11-01",408.370224484619,461.680673330974,358.767003446275,"to-present"
11,2015,"2015-11-01",500.17797944945,568.850237127716,431.999944030348,"to-present"
11,2016,"2016-11-01",522.773136740092,598.124056746061,461.86509434083,"to-present"
11,2017,"2017-11-01",424.487249674637,503.656481690234,349.958547826825,"to-present"
11,2018,"2018-11-01",489.230908592791,565.952008086264,393.97746337832,"to-present"
11,2019,"2019-11-01",488.528348904726,548.522990812819,346.586868910283,"to-present"
11,2020,"2020-11-01",434.075086110785,508.35683065885,310.524088878749,"to-present"
12,2012,"2012-12-01",370.016986520998,420.31284725133,325.568915769189,"to-present"
12,2013,"2013-12-01",398.078168345335,470.714290346139,352.986597316792,"to-present"
12,2014,"2014-12-01",358.721216744082,425.580938788035,310.280845396457,"to-present"
12,2015,"2015-12-01",428.239518022056,487.800883448214,385.541291975064,"to-present"
12,2016,"2016-12-01",464.049630408447,513.042664559168,402.503363434053,"to-present"
12,2017,"2017-12-01",332.168042639579,390.606715104417,267.484123677732,"to-present"
12,2018,"2018-12-01",449.008937436687,532.329536200049,387.52303688693,"to-present"
12,2019,"2019-12-01",365.020493998572,430.392913873165,307.223684822965,"to-present"
12,2020,"2020-12-01",396.273117679527,464.269737554415,318.735506096839,"to-present"
1,2021,"2021-01-01",420.112823495251,482.788835544094,360.03234746687,"BAU"
1,2022,"2022-01-01",460.582746460626,515.989895656024,387.078442565387,"BAU"
1,2023,"2023-01-01",385.337093260687,453.933158675458,329.353083396229,"BAU"
1,2024,"2024-01-01",460.965321512952,517.141659812092,405.783875520414,"BAU"
1,2025,"2025-01-01",471.737190187156,528.46749759182,385.806336596918,"BAU"
1,2026,"2026-01-01",385.479535063504,456.098355900726,348.861984009443,"BAU"
1,2027,"2027-01-01",461.506819666582,534.945351672592,403.157813284618,"BAU"
1,2028,"2028-01-01",466.452329487726,521.217355251456,393.508775044565,"BAU"
1,2029,"2029-01-01",383.831810581851,478.951942068099,324.438343279758,"BAU"
1,2030,"2030-01-01",462.924998822094,527.753690055599,398.605444027226,"BAU"
2,2021,"2021-02-01",268.579903370725,319.388569493297,203.627790762674,"BAU"
2,2022,"2022-02-01",284.810781157523,343.332597151427,241.457646053437,"BAU"
2,2023,"2023-02-01",253.527853738395,308.023226165958,195.969602341949,"BAU"
2,2024,"2024-02-01",285.587296233735,365.7166645376,230.379478259967,"BAU"
2,2025,"2025-02-01",295.825638434334,366.375716599219,226.64833597259,"BAU"
2,2026,"2026-02-01",243.787259519828,286.665488645726,194.879010366059,"BAU"
2,2027,"2027-02-01",286.328318574986,329.951600738073,215.440448593085,"BAU"
2,2028,"2028-02-01",297.833418222492,389.189671270776,244.472074727517,"BAU"
2,2029,"2029-02-01",250.244608286303,312.613439044551,190.112499718398,"BAU"
2,2030,"2030-02-01",288.917531041717,367.221564052324,210.20429782345,"BAU"
3,2021,"2021-03-01",215.074452463129,273.66693112607,170.321971860674,"BAU"
3,2022,"2022-03-01",230.437383079168,285.314311280497,160.573897714773,"BAU"
3,2023,"2023-03-01",192.112481424891,239.963486435848,144.469802035835,"BAU"
3,2024,"2024-03-01",228.105805195859,303.713761373266,171.59513984683,"BAU"
3,2025,"2025-03-01",233.787020328175,301.755805313507,166.149735891102,"BAU"
3,2026,"2026-03-01",194.985025268175,285.232165279728,132.920511829927,"BAU"
3,2027,"2027-03-01",222.567419773183,293.030528784799,155.964223527537,"BAU"
3,2028,"2028-03-01",230.800722595499,291.472046180816,179.291664954559,"BAU"
3,2029,"2029-03-01",195.149043746337,243.35315000728,139.923866123908,"BAU"
3,2030,"2030-03-01",222.501943015155,284.507868500493,146.379294052879,"BAU"
4,2021,"2021-04-01",338.766555569949,402.019982033366,226.478468298161,"BAU"
4,2022,"2022-04-01",350.830558933437,412.997945854028,269.688216545789,"BAU"
4,2023,"2023-04-01",312.757584360052,387.8663497245,242.013032558937,"BAU"
4,2024,"2024-04-01",352.186992492885,430.443707244562,262.876114994225,"BAU"
4,2025,"2025-04-01",357.100854595993,440.892770035727,263.574817994389,"BAU"
4,2026,"2026-04-01",311.035450480587,392.72168224888,241.56328288377,"BAU"
4,2027,"2027-04-01",351.278848848049,417.390447157271,264.253068746783,"BAU"
4,2028,"2028-04-01",355.053941136139,436.563348572203,274.549966885878,"BAU"
4,2029,"2029-04-01",307.697709080923,380.944928115623,236.017038891514,"BAU"
4,2030,"2030-04-01",350.294390927503,428.231741004528,257.662696775765,"BAU"
5,2021,"2021-05-01",339.963637780656,411.627643126808,258.739184047901,"BAU"
5,2022,"2022-05-01",359.316240269598,428.279305420911,263.75574193259,"BAU"
5,2023,"2023-05-01",309.975491963697,381.144982081038,231.968312851594,"BAU"
5,2024,"2024-05-01",360.178252002699,422.787604727778,260.911948407189,"BAU"
5,2025,"2025-05-01",372.721163458358,425.523466389932,281.131799123808,"BAU"
5,2026,"2026-05-01",312.874667126895,413.773654226951,212.125415288906,"BAU"
5,2027,"2027-05-01",368.730078564522,430.768889401242,271.805956278517,"BAU"
5,2028,"2028-05-01",370.491916510297,459.236758220703,257.415459030496,"BAU"
5,2029,"2029-05-01",315.780361611289,380.426571051651,237.998764159622,"BAU"
5,2030,"2030-05-01",362.918895216423,439.312970022225,260.702403588796,"BAU"
6,2021,"2021-06-01",403.673653789003,492.240401720255,322.500987736198,"BAU"
6,2022,"2022-06-01",424.000040481647,479.700705397812,347.636393152856,"BAU"
6,2023,"2023-06-01",372.071314419198,446.783340027672,292.493411045537,"BAU"
6,2024,"2024-06-01",414.838496771619,486.525541291281,338.705005521553,"BAU"
6,2025,"2025-06-01",432.209241497805,480.418422212889,336.48045935288,"BAU"
6,2026,"2026-06-01",373.94382200265,445.92275610151,286.289197077822,"BAU"
6,2027,"2027-06-01",416.692621902934,485.915570211566,335.086749257958,"BAU"
6,2028,"2028-06-01",434.867423586372,507.386544623734,328.434105530652,"BAU"
6,2029,"2029-06-01",378.341597925437,445.321956753433,288.270127020464,"BAU"
6,2030,"2030-06-01",429.778789579893,503.083373165517,353.170104456357,"BAU"
7,2021,"2021-07-01",290.994161161981,347.003632800461,256.532271888883,"BAU"
7,2022,"2022-07-01",326.335458518616,389.828953252274,225.434815189131,"BAU"
7,2023,"2023-07-01",263.791967982813,321.141431617798,200.612272746073,"BAU"
7,2024,"2024-07-01",314.000101462789,366.885299569631,230.004111727188,"BAU"
7,2025,"2025-07-01",321.211043906375,397.535641694214,237.023802829281,"BAU"
7,2026,"2026-07-01",279.480833149784,360.476577152053,218.319845199626,"BAU"
7,2027,"2027-07-01",313.577932888602,369.784692141367,243.952911930825,"BAU"
7,2028,"2028-07-01",323.993367542903,401.211212405253,250.891388439795,"BAU"
7,2029,"2029-07-01",281.148049212957,350.936134523423,196.324942159886,"BAU"
7,2030,"2030-07-01",317.852533153505,390.900364819685,247.453388809743,"BAU"
8,2021,"2021-08-01",265.706884982345,335.426176961854,195.580140356441,"BAU"
8,2022,"2022-08-01",277.88718520098,352.496862136186,213.862686620754,"BAU"
8,2023,"2023-08-01",236.675115903615,302.880510174301,169.916760078952,"BAU"
8,2024,"2024-08-01",275.107823728498,335.61815236027,192.234168201575,"BAU"
8,2025,"2025-08-01",285.377816191962,348.809559820422,223.720220652508,"BAU"
8,2026,"2026-08-01",228.624092384246,298.58222560027,177.666300143543,"BAU"
