"year","mean_coverage","max_coverage","min_coverage","new_net_per_cap","irs_per_cap","scenario"
2012,0.301341084409915,0.348204973928828,0.256920879762057,0.0799557668951086,0,"to-present"
2013,0.246635601142666,0.273907389677988,0.217211934815111,0.0880226576323676,0,"to-present"
2014,0.42661103551906,0.479999184428452,0.365529535888752,0.780504782494435,0,"to-present"
2015,0.561979838325629,0.637489544619915,0.476037055729156,0.1041021773359,0,"to-present"
2016,0.413797517689501,0.457597862041374,0.359375176107079,0.111621852321096,0.0305323186430697,"to-present"
2017,0.440514901295736,0.48325726822429,0.389889125858856,0.819307566793715,0.0848851070159839,"to-present"
2018,0.625654112098338,0.697446132116045,0.542955902447455,0.116689001624796,0.190659518383348,"to-present"
2019,0.470939168362451,0.515529365357408,0.419565085475741,0.836630974839934,0.130861939503129,"to-present"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"to-present"
2021,0.513028164781687,0.559540586076641,0.459337038641868,0.117773227051977,0.0535112449358578,"BAU"
2022,0.462489249324556,0.501202770886027,0.417003271320719,0.837388476846506,0.0535723907180509,"BAU"
2023,0.65439022200823,0.721078901787339,0.573607667545129,0.117590142590296,0.0531448872793535,"BAU"
2024,0.48139063620354,0.523080828913398,0.43148234112573,0.118281572277237,0.0531810050395522,"BAU"
2025,0.446356054088468,0.481611159014935,0.403472955874474,0.836068516852064,0.0535072604911055,"BAU"
2026,0.65130387057021,0.720767445280342,0.568358206307019,0.118179233660958,0.0532244999117472,"BAU"
2027,0.479739589454122,0.525203141986577,0.428499564353312,0.118228825915152,0.0535371724029948,"BAU"
2028,0.445995335107428,0.48512258168166,0.400837857066654,0.835891965551698,0.0532677522296583,"BAU"
2029,0.65129475977752,0.720087440937546,0.569953772619673,0.118478020433219,0.0531794673269932,"BAU"
2030,0.479706484046751,0.522827628277292,0.426169528608365,0.117524251041862,0.0533462433641404,"BAU"
2021,0.533267743120589,0.577481674405256,0.481475518918051,0.17626000511053,0.0535038096491859,"GF"
2022,0.474333675014259,0.510459306448067,0.43245794387271,0.772436108253046,0.0532663564491528,"GF"
2023,0.626076563741666,0.684913916048945,0.557490743097328,0.175734682067475,0.0532864184118918,"GF"
2024,0.478827291787657,0.515298924744221,0.434815012322982,0.176756404154419,0.0531436896186223,"GF"
2025,0.447628547081049,0.478194499009216,0.408359767991323,0.771704167488654,0.0531065833463263,"GF"
2026,0.616457307961108,0.674884758581594,0.546719983921143,0.176578646503056,0.0531593412251267,"GF"
2027,0.472739354313161,0.507664751791008,0.427913283253348,0.176742517522327,0.0533084379742711,"GF"
2028,0.444694301495438,0.474537655699941,0.405966729679952,0.772409500275299,0.0534315116586023,"GF"
2029,0.615102009005418,0.673607497293553,0.547647444081955,0.176640629686554,0.0531161236659232,"GF"
2030,0.472374044883254,0.510677183020462,0.427769079075031,0.176293620224556,0.0533345537188764,"GF"
2021,0.533313250333746,0.577401931154736,0.481603379555388,0.176318190205479,0.0535083744707281,"GF with PBO"
2022,0.47436684485114,0.509964699555041,0.431218506679546,0.772167336512069,0.0533063926101734,"GF with PBO"
2023,0.625926302619478,0.685470378678677,0.557704063458618,0.176019415336935,0.0533551427081934,"GF with PBO"
2024,0.479229843741886,0.517279806608962,0.434254377381958,0.176994761930013,0.0534843132164969,"GF with PBO"
2025,0.447648876829127,0.479685931574188,0.408841732024851,0.772191314039814,0.0531629197818808,"GF with PBO"
2026,0.616646695150031,0.675498105571598,0.546361305914686,0.176482456384958,0.0531434063033061,"GF with PBO"
2027,0.473202270968881,0.50776471558847,0.429532858901472,0.176548144627362,0.0532453340865773,"GF with PBO"
2028,0.444771549057921,0.475394808936354,0.406287310847099,0.772550434989448,0.0533272924324172,"GF with PBO"
2029,0.615036410919774,0.674621537958796,0.545414207949714,0.176258895374992,0.0532624655945485,"GF with PBO"
2030,0.47204330660616,0.509499599942742,0.42738618695675,0.175828931831852,0.0533822137030683,"GF with PBO"
2021,0.535224291132363,0.579340692485724,0.483589808128517,0.181199777859395,0.069935359349144,"GF at 80%"
2022,0.487009549609793,0.513543346531589,0.458272176877184,0.856796279855283,0.0702070938068384,"GF at 80%"
2023,0.668022698665424,0.689183431121995,0.658167423226052,0.181588628056031,0.0700002153884962,"GF at 80%"
2024,0.506607048081104,0.521240318901142,0.498562179971417,0.181517889135147,0.0700363310212858,"GF at 80%"
2025,0.472861441596934,0.485924448752047,0.465900402460442,0.856874990757551,0.0702001075539478,"GF at 80%"
2026,0.660551177199877,0.678985901094938,0.653671269514841,0.18185475368119,0.0702395622768925,"GF at 80%"
2027,0.502309587049213,0.513177291126028,0.496185859970966,0.18198172778206,0.0702205063818987,"GF at 80%"
2028,0.470738386898478,0.481575075335322,0.46448812688827,0.856537998576857,0.0702199828552752,"GF at 80%"
2029,0.659381939950188,0.678403807305144,0.65304451037389,0.18121283129427,0.0701236518308879,"GF at 80%"
2030,0.501951886127467,0.51698367720007,0.495801269212942,0.180911339551933,0.0702429953652655,"GF at 80%"
2021,0.535106706006007,0.578989699569168,0.483927082606449,0.181363539829633,0.0699350020935461,"GF at 80% with PBO"
2022,0.487169255399115,0.513810480146372,0.460528813373274,0.856944829754244,0.0702052869295122,"GF at 80% with PBO"
2023,0.667731847517801,0.687719719238492,0.658889157787128,0.181008636378727,0.0701342889777542,"GF at 80% with PBO"
2024,0.50707838642193,0.521932597341166,0.498181518853472,0.181901190201048,0.0703611825366183,"GF at 80% with PBO"
2025,0.472931630902778,0.484573178891597,0.466292525921918,0.856790720689075,0.0700009510296379,"GF at 80% with PBO"
2026,0.660611213085768,0.678372582142479,0.653522180692788,0.181608136086645,0.0701801590923009,"GF at 80% with PBO"
2027,0.501901208422877,0.513847433177198,0.495683927080114,0.18172767430035,0.0701602915796558,"GF at 80% with PBO"
2028,0.470051841978256,0.481696553192943,0.465074910628407,0.856201038291229,0.0700157832528606,"GF at 80% with PBO"
2029,0.659095568641604,0.677660014066345,0.652259910586508,0.181160206271463,0.0701267269552205,"GF at 80% with PBO"
2030,0.501724756209044,0.512762928938252,0.496038901659982,0.180772655362652,0.0700084183903454,"GF at 80% with PBO"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"BAU"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"GF"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"GF with PBO"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"GF at 80%"
2020,0.688262104406613,0.756114759923801,0.606765735920847,0.118561061325874,0.0714987871736394,"GF at 80% with PBO"
